iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration,target
0,0.001,0.8779949051417846,0.8220865682449012,0.0559083368968833,9,Default_2
1,0.0111,0.8792820272172689,0.8209903857757754,0.0582916414414934,9,Default_2
2,0.0212,0.8814506938392438,0.8178225190072006,0.0636281748320432,9,Default_2
3,0.0312,0.8843266072266541,0.814111589364013,0.0702150178626411,9,Default_2
4,0.0413,0.8878259703693772,0.8100185043646164,0.0778074660047607,9,Default_2
5,0.0514,0.8978363611986324,0.8065388792791344,0.091297481919498,7,Default_2
6,0.0615,0.9019122477709997,0.8029888571543505,0.098923390616649,7,Default_2
7,0.0716,0.9019893410203124,0.7976587956072249,0.1043305454130876,7,Default_2
8,0.0816,0.9654119461017632,0.7733315901685506,0.1920803559332125,33,Default_2
9,0.0917,0.9601528457464638,0.7564564141759523,0.2036964315705114,22,Default_2
10,0.1018,0.8470000670376082,0.7251397884066132,0.121860278630995,6,Default_2
11,0.1119,0.919420795066032,0.7540981133593467,0.1653226817066853,11,Default_2
12,0.122,0.8374237447207885,0.8216390442093405,0.0157847005114479,4,Default_2
13,0.1321,0.9437822618488972,0.8884609195864677,0.0553213422624295,14,Default_2
14,0.1421,0.9674297781055172,0.6901826300333883,0.2772471480721288,22,Default_2
15,0.1522,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
16,0.1623,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
17,0.1724,0.91119528055239,0.7213584617241241,0.1898368188282657,10,Default_2
18,0.1825,0.9013206408795336,0.6845709803290558,0.2167496605504776,8,Default_2
19,0.1925,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
20,0.2026,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
21,0.2127,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
22,0.2228,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
23,0.2329,0.979285379097674,0.6876785067782292,0.2916068723194447,26,Default_2
24,0.2429,0.9825735737748876,0.68940826260107,0.2931653111738176,26,Default_2
25,0.253,0.9806261312596368,0.6854559716802768,0.2951701595793599,26,Default_2
26,0.2631,0.9201481531138967,0.7083601512530673,0.2117880018608295,6,Default_2
27,0.2732,0.914513642153248,0.7217506738002334,0.1927629683530146,6,Default_2
28,0.2833,0.6826556948448079,0.6721006476527616,0.0105550471920463,0,Default_2
29,0.2933,0.8760424348059261,0.8596685305120881,0.016373904293838,6,Default_2
30,0.3034,0.87436481866327,0.9079206725934268,0.0335558539301569,6,Default_2
31,0.3135,0.8747268217470001,0.9084134518685384,0.0336866301215383,6,Default_2
