target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ30_0,87,0.878,1.0,0.9995173162785084,0.0004826837214915,35
Default_2,31,0.3135,0.8747268217470001,0.9084134518685384,0.0336866301215383,6
DQ30_1,30,0.3034,0.9645756482313644,0.8992437042400837,0.0653319439912808,74
DQ15_0,26,0.2631,0.9487650389529384,0.8220862846104313,0.1266787543425072,37
DQ1_24,4,0.0413,0.8237481179669387,0.7643154031819144,0.0594327147850243,554
DQ1_23,14,0.1421,0.8260463627771153,0.7612156443265441,0.0648307184505712,174
DQ1_22,4,0.0413,0.8275183299971616,0.7583353962731474,0.0691829337240141,565
DQ60_21,9,0.0917,0.8189163722812105,0.7576351270086067,0.0612812452726038,296
DQ60_22,2,0.0212,0.8062559314649812,0.7568579451457051,0.049397986319276,999
DQ60_20,4,0.0413,0.8326247832252119,0.7564691617349575,0.0761556214902544,753
DQ1_21,8,0.0816,0.8266163432436338,0.7558390471280295,0.0707772961156042,292
DQ60_23,2,0.0212,0.8069150070445751,0.7551729683030399,0.0517420387415351,926
DQ60_19,3,0.0312,0.8089298550391493,0.7548506437183706,0.0540792113207786,730
DQ1_20,7,0.0716,0.8465402214882821,0.7544297327560225,0.0921104887322595,495
DQ90_23,3,0.0312,0.8260231739532771,0.7533105814403592,0.0727125925129178,887
DQ90_22,2,0.0212,0.8083308508769312,0.7531886430980931,0.0551422077788381,961
DQ90_21,6,0.0615,0.8308044723683896,0.7528264741586193,0.0779779982097703,504
DQ60_24,2,0.0212,0.8027632925394462,0.7524163447357946,0.0503469478036516,908
DQ1_19,6,0.0615,0.8392981507626824,0.7516437858908787,0.0876543648718037,520
DQ90_24,5,0.0514,0.8398357971760115,0.7515859023444207,0.0882498948315908,663
DQ60_18,2,0.0212,0.8059152823441936,0.7511312062370609,0.0547840761071327,990
DQ1_17,3,0.0312,0.8036562714736116,0.7502583699389687,0.0533979015346429,573
DQ1_18,2,0.0212,0.8148133617522338,0.7501248640097895,0.0646884977424443,960
DQ30_20,5,0.0514,0.8258660013173204,0.7488674614459843,0.076998539871336,705
DQ90_20,3,0.0312,0.8123670189854003,0.7488267421503115,0.0635402768350887,703
DQ60_17,3,0.0312,0.8090011277386431,0.7477907152935559,0.0612104124450871,701
DQ1_16,7,0.0716,0.842285389453739,0.7472530545133833,0.0950323349403556,525
DQ30_18,8,0.0816,0.8412187159943041,0.746799710807654,0.0944190051866501,566
DQ30_19,3,0.0312,0.7931514229167735,0.7467676130764469,0.0463838098403266,626
DQ30_21,6,0.0615,0.7953078908628898,0.7467561019554887,0.048551788907401,349
DQ30_23,3,0.0312,0.8098836117464241,0.7466648896552708,0.0632187220911533,832
DQ60_16,4,0.0413,0.8367056309818127,0.746615916955425,0.0900897140263877,792
DQ30_24,4,0.0413,0.8130676675318824,0.7462305425453282,0.0668371249865542,648
DQ90_19,3,0.0312,0.8181899607118766,0.74587633582662,0.0723136248852565,718
DQ60_15,6,0.0615,0.8190252662507101,0.7454280365429997,0.0735972297077104,399
DQ1_15,4,0.0413,0.8259919849629686,0.7452984195570168,0.0806935654059517,724
DQ30_22,5,0.0514,0.8146463723350804,0.7452475939557824,0.0693987783792979,567
DQ90_17,3,0.0312,0.8435850940763732,0.7452471320653812,0.0983379620109919,994
Default_23,3,0.0312,0.8111710507242402,0.7449397800649733,0.0662312706592669,677
Default_24,3,0.0312,0.8288577114860693,0.744800102549288,0.0840576089367813,863
Default_21,3,0.0312,0.8391677390512585,0.7443724931406096,0.0947952459106489,989
DQ60_14,5,0.0514,0.8068132532115123,0.7442805594335641,0.0625326937779482,371
DQ90_16,2,0.0212,0.7951034311032057,0.7433829764212704,0.0517204546819353,687
DQ30_17,6,0.0615,0.778249363072906,0.7429994988840116,0.0352498641888944,245
DQ60_13,2,0.0212,0.8090355218838384,0.7424160986080406,0.0666194232757978,903
DQ90_18,2,0.0212,0.8172163147422882,0.7422735506983507,0.0749427640439375,974
DQ90_15,3,0.0312,0.7985663547685116,0.7419799992164501,0.0565863555520614,470
Default_22,6,0.0615,0.8305436693105869,0.7419376925105473,0.0886059768000395,468
DQ30_14,9,0.0917,0.8240534599808683,0.7417845703738459,0.0822688896070223,373
DQ1_14,5,0.0514,0.8161397494324947,0.74146758363439,0.0746721657981046,509
DQ30_16,3,0.0312,0.8055881232801531,0.7412753765653212,0.0643127467148318,773
DQ1_13,3,0.0312,0.8134143778890405,0.7410697425514436,0.0723446353375968,807
DQ30_13,6,0.0615,0.8328550611047296,0.7410179707007826,0.091837090403947,650
DQ30_15,4,0.0413,0.7868830868904806,0.7409611576848641,0.0459219292056164,439
DQ30_12,3,0.0312,0.8169508453703771,0.7403138770425857,0.0766369683277914,845
DQ15_24,5,0.0514,0.8414642862921837,0.7403133360291786,0.1011509502630051,955
DQ90_9,3,0.0312,0.8039527414987176,0.7401249328895002,0.0638278086092174,370
DQ15_23,5,0.0514,0.8289469945340173,0.7400255334431938,0.0889214610908235,807
DQ30_11,5,0.0514,0.8299674717249046,0.7398476755279041,0.0901197961970005,628
DQ90_10,4,0.0413,0.8087857492286652,0.7397675363458497,0.0690182128828155,334
