target,iteration,learning_rate,flt_eval_metric_train,flt_eval_metric_valid,diff,best_iteration
DQ30_0,87,0.878,0.991305092529852,0.9999507704425736,0.0086456779127217,19
DQ30_1,90,0.9083,0.8305894946139986,0.948104382077794,0.1175148874637955,18
Default_2,66,0.6663,0.7791152158815657,0.941509526857368,0.1623943109758022,6
DQ15_0,88,0.8881,0.8929568217056141,0.8086041919465552,0.0843526297590588,12
DQ1_24,4,0.0413,0.8171335852230153,0.7611867806401206,0.0559468045828946,647
DQ1_23,6,0.0615,0.8154552493567557,0.7600450197937678,0.0554102295629879,417
DQ1_22,3,0.0312,0.8201063856643601,0.7580497791173306,0.0620566065470294,925
DQ1_21,5,0.0514,0.7990295495480388,0.7553864324096851,0.0436431171383537,365
DQ60_21,4,0.0413,0.8272906434618036,0.7544076034256804,0.0728830400361232,964
DQ60_19,4,0.0413,0.8250177763768713,0.7544042593307705,0.0706135170461008,890
DQ60_22,4,0.0413,0.8110061933072289,0.7537687871414225,0.0572374061658064,729
DQ1_20,2,0.0212,0.800646323651382,0.752779914812788,0.0478664088385939,963
DQ1_19,2,0.0212,0.8007292145955083,0.7522056734720657,0.0485235411234425,998
DQ60_20,4,0.0413,0.8003803175366231,0.7522007640393515,0.0481795534972715,579
DQ60_23,5,0.0514,0.792057830827097,0.7521453626418811,0.0399124681852158,414
DQ1_17,5,0.0514,0.8157585550363033,0.7512636763161099,0.0644948787201934,617
DQ90_21,5,0.0514,0.8417821281706637,0.7505269771492211,0.0912551510214425,878
DQ60_24,3,0.0312,0.8119295676004088,0.7501069301491002,0.0618226374513085,976
DQ1_18,4,0.0413,0.8186372876165019,0.7499488671092328,0.068688420507269,784
DQ90_23,3,0.0312,0.8016614413933125,0.7495042738371976,0.0521571675561148,786
DQ90_22,8,0.0816,0.8471732588022731,0.7492455082614224,0.0979277505408506,634
DQ60_18,4,0.0413,0.811928950689276,0.7482953259888807,0.0636336247003952,711
DQ90_20,5,0.0514,0.8052125194458222,0.7476901861394316,0.0575223333063905,493
DQ60_17,5,0.0514,0.8118791747877439,0.7473658292129685,0.0645133455747754,559
DQ90_24,3,0.0312,0.7986857666808129,0.7472226287505355,0.0514631379302774,723
DQ1_16,5,0.0514,0.807644350241019,0.7471288555793735,0.0605154946616455,553
DQ30_20,4,0.0413,0.8082451564437895,0.7469831802644965,0.0612619761792929,794
DQ30_21,4,0.0413,0.8187544281969303,0.7468736075211119,0.0718808206758184,987
DQ30_24,3,0.0312,0.8068007991429089,0.7468420920994157,0.0599587070434932,999
DQ30_19,4,0.0413,0.8109824509326622,0.7464904848076097,0.0644919661250524,835
DQ30_23,8,0.0816,0.8265877585346784,0.7461385500755172,0.0804492084591611,584
DQ1_15,7,0.0716,0.8109867638778787,0.7452781507532841,0.0657086131245946,453
DQ30_22,5,0.0514,0.8174594421344903,0.7452384544052403,0.07222098772925,777
DQ90_17,3,0.0312,0.8173551891854235,0.7448500844768441,0.0725051047085794,869
DQ30_18,4,0.0413,0.7995133099186096,0.7446976861896344,0.0548156237289751,654
DQ90_16,8,0.0816,0.8140743107496135,0.7444801471754031,0.0695941635742103,301
DQ60_16,4,0.0413,0.8113509394415431,0.7443836761608378,0.0669672632807053,684
DQ90_15,2,0.0212,0.808219252684464,0.7439257022963315,0.0642935503881325,997
DQ90_19,4,0.0413,0.7988412839630457,0.7438109709006628,0.0550303130623828,516
DQ60_15,4,0.0413,0.818898499460539,0.7433223545103822,0.0755761449501568,737
DQ1_14,3,0.0312,0.8047993458317675,0.7427018164689914,0.0620975293627761,960
DQ1_13,6,0.0615,0.8256684922246487,0.7424080601372152,0.0832604320874335,757
