indicator,mean_train_target,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.19842143595128808,0.004084967320261438,2021-10,2022-02,1,30
DQ1_2,0.36320523026371504,0.44362745098039214,2021-10,2022-02,1,60
DQ1_3,0.4827154011619044,0.610498366013072,2021-10,2022-02,1,90
DQ1_4,0.5659965108992057,0.7199754901960784,2021-10,2022-02,1,120
DQ1_5,0.6263274673531952,0.7839052287581699,2021-10,2022-02,1,150
DQ1_6,0.6715164038549483,0.8253676470588235,2021-10,2022-02,1,180
DQ1_7,0.7060009146186549,0.8553921568627451,2021-10,2022-02,1,210
DQ1_8,0.731830422926441,0.8725490196078431,2021-10,2022-02,1,240
DQ1_9,0.7541030809098762,0.8880718954248366,2021-10,2022-02,1,270
DQ1_10,0.7707355905218407,0.8978758169934641,2021-10,2022-02,1,300
DQ1_11,0.784810555376772,0.9080882352941176,2021-10,2022-02,1,330
DQ1_12,0.7966667231246083,0.9140114379084967,2021-10,2022-02,1,360
DQ1_13,0.8074388983926424,0.9185049019607843,2021-10,2022-02,1,390
DQ1_14,0.8173811419183279,0.9225898692810458,2021-10,2022-02,1,420
DQ1_15,0.8252908995443844,0.926062091503268,2021-10,2022-02,1,450
DQ1_16,0.8317609796582036,0.9301470588235294,2021-10,2022-02,1,480
DQ1_17,0.8379431242695754,0.9344362745098039,2021-10,2022-02,1,510
DQ1_18,0.8429565894886604,0.9393382352941176,2021-10,2022-02,1,540
DQ1_19,0.8479869920902424,0.9415849673202614,2021-10,2022-02,1,570
DQ1_20,0.8525262105994139,0.9428104575163399,2021-10,2022-02,1,600
DQ1_21,0.8563201842787216,0.9448529411764706,2021-10,2022-02,1,630
DQ1_22,0.8596399112481157,0.9487336601307189,2021-10,2022-02,1,660
DQ1_23,0.8630104503650006,0.952001633986928,2021-10,2022-02,1,690
DQ1_24,0.8659914296844565,0.954452614379085,2021-10,2022-02,1,720
DQ15_1,0.010399552853102081,0.0008169934640522876,2021-10,2022-02,15,30
DQ15_2,0.038159922765535814,0.136437908496732,2021-10,2022-02,15,60
DQ15_3,0.07083213360207313,0.23733660130718953,2021-10,2022-02,15,90
DQ15_4,0.10457139953591572,0.3290441176470588,2021-10,2022-02,15,120
DQ15_5,0.1392422215070883,0.40808823529411764,2021-10,2022-02,15,150
DQ15_6,0.1731847360308938,0.4699754901960784,2021-10,2022-02,15,180
DQ15_7,0.20350265070036078,0.5236928104575164,2021-10,2022-02,15,210
DQ15_8,0.23007740383801087,0.5645424836601307,2021-10,2022-02,15,240
DQ15_9,0.2563472840907166,0.5978349673202614,2021-10,2022-02,15,270
DQ15_10,0.2803475550888366,0.6311274509803921,2021-10,2022-02,15,300
DQ15_11,0.30285733642722856,0.6601307189542484,2021-10,2022-02,15,330
DQ15_12,0.3233007571009976,0.6799428104575164,2021-10,2022-02,15,360
DQ15_13,0.3436086787147914,0.6946486928104575,2021-10,2022-02,15,390
DQ15_14,0.3610541826866076,0.7093545751633987,2021-10,2022-02,15,420
DQ15_15,0.37702613438119276,0.7240604575163399,2021-10,2022-02,15,450
DQ15_16,0.3938788299656171,0.7399918300653595,2021-10,2022-02,15,480
DQ15_17,0.4095797835402517,0.7508169934640523,2021-10,2022-02,15,510
DQ15_18,0.42338375027523245,0.7606209150326797,2021-10,2022-02,15,540
DQ15_19,0.43745871513016377,0.7714460784313726,2021-10,2022-02,15,570
DQ15_20,0.4503650005928084,0.7816584967320261,2021-10,2022-02,15,600
DQ15_21,0.4622550431056385,0.7886029411764706,2021-10,2022-02,15,630
DQ15_22,0.4731627174336478,0.7963643790849673,2021-10,2022-02,15,660
DQ15_23,0.48334208431429004,0.8063725490196079,2021-10,2022-02,15,690
DQ15_24,0.4927423316000745,0.8127042483660131,2021-10,2022-02,15,720
DQ30_1,0.0005081214749072679,0.0006127450980392157,2021-10,2022-02,30,30
DQ30_2,0.005978896021408851,0.06433823529411764,2021-10,2022-02,30,60
DQ30_3,0.017276130146847105,0.1256127450980392,2021-10,2022-02,30,90
DQ30_4,0.03157128097423824,0.18443627450980393,2021-10,2022-02,30,120
DQ30_5,0.04828847749868735,0.2375408496732026,2021-10,2022-02,30,150
DQ30_6,0.06573398147050355,0.2908496732026144,2021-10,2022-02,30,180
DQ30_7,0.08278992564489084,0.34334150326797386,2021-10,2022-02,30,210
DQ30_8,0.09718670076726342,0.3874591503267974,2021-10,2022-02,30,240
DQ30_9,0.11007604884741112,0.4170751633986928,2021-10,2022-02,30,270
