indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.18678127540945522,0.0,2021-10,2022-02,1,30
DQ1_2,0.3298873272157045,0.36727272727272725,2021-10,2022-02,1,60
DQ1_3,0.4419793239632942,0.5309090909090909,2021-10,2022-02,1,90
DQ1_4,0.5220118480659774,0.6254545454545455,2021-10,2022-02,1,120
DQ1_5,0.5766058775699849,0.6763636363636364,2021-10,2022-02,1,150
DQ1_6,0.617377163433616,0.7127272727272728,2021-10,2022-02,1,180
DQ1_7,0.6509466837031014,0.7418181818181818,2021-10,2022-02,1,210
DQ1_8,0.6761528632826113,0.7672727272727272,2021-10,2022-02,1,240
DQ1_9,0.6967127424788012,0.7854545454545454,2021-10,2022-02,1,270
DQ1_10,0.7136717388779185,0.8,2021-10,2022-02,1,300
DQ1_11,0.7293530026716227,0.8109090909090909,2021-10,2022-02,1,330
DQ1_12,0.7431757463119991,0.8109090909090909,2021-10,2022-02,1,360
DQ1_13,0.7549076547798815,0.8218181818181818,2021-10,2022-02,1,390
DQ1_14,0.7653618306423511,0.8363636363636363,2021-10,2022-02,1,420
DQ1_15,0.7741898013706586,0.8436363636363636,2021-10,2022-02,1,450
DQ1_16,0.7827854570798002,0.8618181818181818,2021-10,2022-02,1,480
DQ1_17,0.788941805087699,0.8618181818181818,2021-10,2022-02,1,510
DQ1_18,0.7942850505285167,0.8690909090909091,2021-10,2022-02,1,540
DQ1_19,0.8002090835172494,0.8690909090909091,2021-10,2022-02,1,570
DQ1_20,0.8055523289580672,0.8763636363636363,2021-10,2022-02,1,600
DQ1_21,0.808688581716808,0.8763636363636363,2021-10,2022-02,1,630
DQ1_22,0.8126379370426298,0.8763636363636363,2021-10,2022-02,1,660
DQ1_23,0.8167034498780346,0.88,2021-10,2022-02,1,690
DQ1_24,0.8206528052038564,0.8945454545454545,2021-10,2022-02,1,720
DQ15_1,0.013241956092461378,0.0,2021-10,2022-02,15,30
DQ15_2,0.04193286095946103,0.10545454545454545,2021-10,2022-02,15,60
DQ15_3,0.07480543617144848,0.18181818181818182,2021-10,2022-02,15,90
DQ15_4,0.10721338134510396,0.2545454545454545,2021-10,2022-02,15,120
DQ15_5,0.1402021140666744,0.3090909090909091,2021-10,2022-02,15,150
DQ15_6,0.17644325705656871,0.3563636363636364,2021-10,2022-02,15,180
DQ15_7,0.20687652456731329,0.41454545454545455,2021-10,2022-02,15,210
DQ15_8,0.23080497154141016,0.4509090909090909,2021-10,2022-02,15,240
DQ15_9,0.25647578115925196,0.46545454545454545,2021-10,2022-02,15,270
DQ15_10,0.2791264955279359,0.4690909090909091,2021-10,2022-02,15,300
DQ15_11,0.2999186897432919,0.48727272727272725,2021-10,2022-02,15,330
DQ15_12,0.3172261586711581,0.49454545454545457,2021-10,2022-02,15,360
DQ15_13,0.3365083052619352,0.52,2021-10,2022-02,15,390
DQ15_14,0.35230572656522247,0.5454545454545454,2021-10,2022-02,15,420
DQ15_15,0.3662446277151818,0.5490909090909091,2021-10,2022-02,15,450
DQ15_16,0.38285515158555,0.5672727272727273,2021-10,2022-02,15,480
DQ15_17,0.39853641537925427,0.5781818181818181,2021-10,2022-02,15,510
DQ15_18,0.4099198513183877,0.5818181818181818,2021-10,2022-02,15,540
DQ15_19,0.42234870484376813,0.6072727272727273,2021-10,2022-02,15,570
DQ15_20,0.4340806133116506,0.6145454545454545,2021-10,2022-02,15,600
DQ15_21,0.44511557672203506,0.6363636363636364,2021-10,2022-02,15,630
DQ15_22,0.4555697525845046,0.6472727272727272,2021-10,2022-02,15,660
DQ15_23,0.46521082587989315,0.6545454545454545,2021-10,2022-02,15,690
DQ15_24,0.4748518991752817,0.6581818181818182,2021-10,2022-02,15,720
DQ30_1,0.0018585201533279127,0.0,2021-10,2022-02,30,30
DQ30_2,0.008247183180392612,0.04363636363636364,2021-10,2022-02,30,60
DQ30_3,0.020559879196190033,0.06545454545454546,2021-10,2022-02,30,90
DQ30_4,0.03600882797072831,0.10909090909090909,2021-10,2022-02,30,120
DQ30_5,0.0533162968985945,0.14181818181818182,2021-10,2022-02,30,150
DQ30_6,0.07062376582646068,0.1781818181818182,2021-10,2022-02,30,180
DQ30_7,0.09037054245556975,0.23272727272727273,2021-10,2022-02,30,210
DQ30_8,0.10686490881635498,0.28,2021-10,2022-02,30,240
DQ30_9,0.12243001510047624,0.29454545454545455,2021-10,2022-02,30,270
DQ30_10,0.13660123126960158,0.31636363636363635,2021-10,2022-02,30,300
DQ30_11,0.14961087234289697,0.32,2021-10,2022-02,30,330
DQ30_12,0.1640144035311883,0.33454545454545453,2021-10,2022-02,30,360
DQ30_13,0.17830177720989662,0.34545454545454546,2021-10,2022-02,30,390
DQ30_14,0.19212452085027298,0.3527272727272727,2021-10,2022-02,30,420
DQ30_15,0.20362411429898944,0.3781818181818182,2021-10,2022-02,30,450
DQ30_16,0.21663375537228483,0.4109090909090909,2021-10,2022-02,30,480
DQ30_17,0.23103728656057615,0.41818181818181815,2021-10,2022-02,30,510
DQ30_18,0.24311766755720757,0.41818181818181815,2021-10,2022-02,30,540
DQ30_19,0.25647578115925196,0.43636363636363634,2021-10,2022-02,30,570
DQ30_20,0.26844000464630036,0.44727272727272727,2021-10,2022-02,30,600
DQ30_21,0.2804042281333488,0.48363636363636364,2021-10,2022-02,30,630
DQ30_22,0.2908584039958183,0.5054545454545455,2021-10,2022-02,30,660
DQ30_23,0.3001510047624579,0.5127272727272727,2021-10,2022-02,30,690
DQ30_24,0.31037286560576144,0.5309090909090909,2021-10,2022-02,30,720
DQ60_3,0.0029039377395748637,0.025454545454545455,2021-10,2022-02,60,90
DQ60_4,0.006737135555813683,0.03636363636363636,2021-10,2022-02,60,120
DQ60_5,0.01405505865954234,0.04363636363636364,2021-10,2022-02,60,150
DQ60_6,0.022999186897432917,0.05818181818181818,2021-10,2022-02,60,180
DQ60_7,0.031130212568242537,0.08727272727272728,2021-10,2022-02,60,210
DQ60_8,0.03984202578696713,0.11272727272727273,2021-10,2022-02,60,240
DQ60_9,0.049018469044023696,0.12,2021-10,2022-02,60,270
DQ60_10,0.055987919619003367,0.12727272727272726,2021-10,2022-02,60,300
DQ60_11,0.063770472761064,0.13818181818181818,2021-10,2022-02,60,330
DQ60_12,0.07364386107561854,0.14545454545454545,2021-10,2022-02,60,360
DQ60_13,0.08328493437100709,0.15272727272727274,2021-10,2022-02,60,390
DQ60_14,0.09222906260889767,0.16727272727272727,2021-10,2022-02,60,420
DQ60_15,0.10268323847136718,0.1890909090909091,2021-10,2022-02,60,450
DQ60_16,0.11197583923800673,0.21454545454545454,2021-10,2022-02,60,480
DQ60_17,0.12208154257172726,0.21454545454545454,2021-10,2022-02,60,510
DQ60_18,0.1318387733766988,0.22545454545454546,2021-10,2022-02,60,540
DQ60_19,0.13996979904750842,0.24727272727272728,2021-10,2022-02,60,570
DQ60_20,0.14972702985247996,0.2545454545454545,2021-10,2022-02,60,600
DQ60_21,0.15994889069578347,0.2727272727272727,2021-10,2022-02,60,630
DQ60_22,0.170403066558253,0.2872727272727273,2021-10,2022-02,60,660
DQ60_23,0.1786502497386456,0.29818181818181816,2021-10,2022-02,60,690
DQ60_24,0.1870135904286212,0.3054545454545455,2021-10,2022-02,60,720
DQ90_4,0.0016262051341619235,0.014545454545454545,2021-10,2022-02,90,120
DQ90_5,0.0034847252874898363,0.02181818181818182,2021-10,2022-02,90,150
DQ90_6,0.009176443257056568,0.02909090909090909,2021-10,2022-02,90,180
DQ90_7,0.015565106284121269,0.04363636363636364,2021-10,2022-02,90,210
DQ90_8,0.021024509234522013,0.06181818181818182,2021-10,2022-02,90,240
DQ90_9,0.026019282146590775,0.07636363636363637,2021-10,2022-02,90,270
DQ90_10,0.03368567777906842,0.08,2021-10,2022-02,90,300
DQ90_11,0.03809966314322221,0.09090909090909091,2021-10,2022-02,90,330
DQ90_12,0.04228133348821001,0.10909090909090909,2021-10,2022-02,90,360
DQ90_13,0.04994772912068765,0.11272727272727273,2021-10,2022-02,90,390
DQ90_14,0.056452549657335344,0.12,2021-10,2022-02,90,420
DQ90_15,0.06469973283772795,0.13090909090909092,2021-10,2022-02,90,450
DQ90_16,0.07341154605645255,0.15272727272727274,2021-10,2022-02,90,480
DQ90_17,0.08014868161226624,0.15272727272727274,2021-10,2022-02,90,510
DQ90_18,0.08909280985015681,0.16,2021-10,2022-02,90,540
DQ90_19,0.09885004065512835,0.17454545454545456,2021-10,2022-02,90,570
DQ90_20,0.10523870368219305,0.17454545454545456,2021-10,2022-02,90,600
DQ90_21,0.11441514693924962,0.18545454545454546,2021-10,2022-02,90,630
DQ90_22,0.12231385759089325,0.19272727272727272,2021-10,2022-02,90,660
DQ90_23,0.1317226158671158,0.19636363636363635,2021-10,2022-02,90,690
DQ90_24,0.13938901149959346,0.19636363636363635,2021-10,2022-02,90,720
