indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.09533201840894148,0.0,2021-10,2022-02,1,30
DQ1_2,0.1913214990138067,0.3877551020408163,2021-10,2022-02,1,60
DQ1_3,0.27087442472057854,0.5306122448979592,2021-10,2022-02,1,90
DQ1_4,0.3510848126232742,0.6530612244897959,2021-10,2022-02,1,120
DQ1_5,0.4069690992767916,0.673469387755102,2021-10,2022-02,1,150
DQ1_6,0.44904667981591057,0.673469387755102,2021-10,2022-02,1,180
DQ1_7,0.4930966469428008,0.7346938775510204,2021-10,2022-02,1,210
DQ1_8,0.5154503616042078,0.7551020408163265,2021-10,2022-02,1,240
DQ1_9,0.5424063116370809,0.7551020408163265,2021-10,2022-02,1,270
DQ1_10,0.5548980933596318,0.7551020408163265,2021-10,2022-02,1,300
DQ1_11,0.5706771860618014,0.7551020408163265,2021-10,2022-02,1,330
DQ1_12,0.5838264299802761,0.7551020408163265,2021-10,2022-02,1,360
DQ1_13,0.5976331360946746,0.7551020408163265,2021-10,2022-02,1,390
DQ1_14,0.6061801446416831,0.7551020408163265,2021-10,2022-02,1,420
DQ1_15,0.6140696909927679,0.7551020408163265,2021-10,2022-02,1,450
DQ1_16,0.6186719263642341,0.7755102040816326,2021-10,2022-02,1,480
DQ1_17,0.62853385930309,0.7755102040816326,2021-10,2022-02,1,510
DQ1_18,0.6416831032215647,0.7755102040816326,2021-10,2022-02,1,540
DQ1_19,0.646285338593031,0.7959183673469388,2021-10,2022-02,1,570
DQ1_20,0.6515450361604208,0.7959183673469388,2021-10,2022-02,1,600
DQ1_21,0.6561472715318869,0.7959183673469388,2021-10,2022-02,1,630
DQ1_22,0.6600920447074293,0.7959183673469388,2021-10,2022-02,1,660
DQ1_23,0.666009204470743,0.8367346938775511,2021-10,2022-02,1,690
DQ1_24,0.6719263642340565,0.8367346938775511,2021-10,2022-02,1,720
DQ15_1,0.0019723865877712033,0.0,2021-10,2022-02,15,30
DQ15_2,0.005917159763313609,0.061224489795918366,2021-10,2022-02,15,60
DQ15_3,0.014464168310322156,0.10204081632653061,2021-10,2022-02,15,90
DQ15_4,0.023668639053254437,0.14285714285714285,2021-10,2022-02,15,120
DQ15_5,0.032215647600262985,0.1836734693877551,2021-10,2022-02,15,150
DQ15_6,0.03550295857988166,0.22448979591836735,2021-10,2022-02,15,180
DQ15_7,0.042735042735042736,0.2653061224489796,2021-10,2022-02,15,210
DQ15_8,0.04930966469428008,0.2857142857142857,2021-10,2022-02,15,240
DQ15_9,0.05456936226166995,0.2857142857142857,2021-10,2022-02,15,270
