indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.1324728260869565,0.0,2021-10,2022-02,1,30
DQ1_2,0.2418478260869565,0.3055555555555556,2021-10,2022-02,1,60
DQ1_3,0.34035326086956524,0.4444444444444444,2021-10,2022-02,1,90
DQ1_4,0.41508152173913043,0.5,2021-10,2022-02,1,120
DQ1_5,0.47214673913043476,0.5694444444444444,2021-10,2022-02,1,150
DQ1_6,0.515625,0.5972222222222222,2021-10,2022-02,1,180
DQ1_7,0.546875,0.6527777777777778,2021-10,2022-02,1,210
DQ1_8,0.5849184782608695,0.6805555555555556,2021-10,2022-02,1,240
DQ1_9,0.609375,0.6944444444444444,2021-10,2022-02,1,270
DQ1_10,0.6297554347826086,0.6944444444444444,2021-10,2022-02,1,300
DQ1_11,0.6494565217391305,0.6944444444444444,2021-10,2022-02,1,330
DQ1_12,0.6657608695652174,0.6944444444444444,2021-10,2022-02,1,360
DQ1_13,0.6813858695652174,0.7083333333333334,2021-10,2022-02,1,390
DQ1_14,0.6922554347826086,0.7222222222222222,2021-10,2022-02,1,420
DQ1_15,0.6976902173913043,0.7222222222222222,2021-10,2022-02,1,450
DQ1_16,0.7092391304347826,0.7222222222222222,2021-10,2022-02,1,480
DQ1_17,0.7194293478260869,0.7222222222222222,2021-10,2022-02,1,510
DQ1_18,0.7269021739130435,0.7222222222222222,2021-10,2022-02,1,540
DQ1_19,0.733016304347826,0.7222222222222222,2021-10,2022-02,1,570
DQ1_20,0.7391304347826086,0.7222222222222222,2021-10,2022-02,1,600
DQ1_21,0.7418478260869565,0.7222222222222222,2021-10,2022-02,1,630
DQ1_22,0.7459239130434783,0.7361111111111112,2021-10,2022-02,1,660
DQ1_23,0.75,0.7638888888888888,2021-10,2022-02,1,690
DQ1_24,0.7527173913043478,0.7638888888888888,2021-10,2022-02,1,720
DQ15_1,0.002717391304347826,0.0,2021-10,2022-02,15,30
DQ15_2,0.010869565217391304,0.041666666666666664,2021-10,2022-02,15,60
DQ15_3,0.016983695652173912,0.08333333333333333,2021-10,2022-02,15,90
DQ15_4,0.025135869565217392,0.16666666666666666,2021-10,2022-02,15,120
DQ15_5,0.029891304347826088,0.2777777777777778,2021-10,2022-02,15,150
DQ15_6,0.041440217391304345,0.3194444444444444,2021-10,2022-02,15,180
DQ15_7,0.05434782608695652,0.375,2021-10,2022-02,15,210
DQ15_8,0.06317934782608696,0.4305555555555556,2021-10,2022-02,15,240
DQ15_9,0.07880434782608696,0.4722222222222222,2021-10,2022-02,15,270
DQ15_10,0.08899456521739131,0.5138888888888888,2021-10,2022-02,15,300
DQ15_11,0.09714673913043478,0.5277777777777778,2021-10,2022-02,15,330
DQ15_12,0.10733695652173914,0.5416666666666666,2021-10,2022-02,15,360
DQ15_13,0.12160326086956522,0.5555555555555556,2021-10,2022-02,15,390
DQ15_14,0.13519021739130435,0.5555555555555556,2021-10,2022-02,15,420
DQ15_15,0.14334239130434784,0.5555555555555556,2021-10,2022-02,15,450
DQ15_16,0.1514945652173913,0.5555555555555556,2021-10,2022-02,15,480
DQ15_17,0.1637228260869565,0.5694444444444444,2021-10,2022-02,15,510
DQ15_18,0.17051630434782608,0.5833333333333334,2021-10,2022-02,15,540
DQ15_19,0.1793478260869565,0.5833333333333334,2021-10,2022-02,15,570
DQ15_20,0.18478260869565216,0.5972222222222222,2021-10,2022-02,15,600
DQ15_21,0.19157608695652173,0.5972222222222222,2021-10,2022-02,15,630
DQ15_22,0.19701086956521738,0.6111111111111112,2021-10,2022-02,15,660
DQ15_23,0.20720108695652173,0.625,2021-10,2022-02,15,690
DQ15_24,0.21331521739130435,0.625,2021-10,2022-02,15,720
DQ30_1,0.0,0.0,2021-10,2022-02,30,30
DQ30_2,0.001358695652173913,0.027777777777777776,2021-10,2022-02,30,60
DQ30_3,0.005434782608695652,0.05555555555555555,2021-10,2022-02,30,90
DQ30_4,0.008152173913043478,0.06944444444444445,2021-10,2022-02,30,120
DQ30_5,0.009510869565217392,0.125,2021-10,2022-02,30,150
DQ30_6,0.012907608695652174,0.125,2021-10,2022-02,30,180
DQ30_7,0.018342391304347828,0.125,2021-10,2022-02,30,210
DQ30_8,0.020380434782608696,0.19444444444444445,2021-10,2022-02,30,240
DQ30_9,0.024456521739130436,0.2222222222222222,2021-10,2022-02,30,270
DQ30_10,0.027853260869565216,0.25,2021-10,2022-02,30,300
