indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.1493984347622941,0.0,2021-10,2022-02,1,30
DQ1_2,0.2773040532648055,0.36401673640167365,2021-10,2022-02,1,60
DQ1_3,0.38535217848382197,0.5251046025104602,2021-10,2022-02,1,90
DQ1_4,0.4657166218899661,0.6297071129707112,2021-10,2022-02,1,120
DQ1_5,0.5256395280925126,0.6882845188284519,2021-10,2022-02,1,150
DQ1_6,0.5711949538605303,0.7238493723849372,2021-10,2022-02,1,180
DQ1_7,0.6097418525873146,0.7468619246861925,2021-10,2022-02,1,210
DQ1_8,0.6401121364326597,0.7635983263598326,2021-10,2022-02,1,240
DQ1_9,0.6640579371568742,0.7803347280334728,2021-10,2022-02,1,270
DQ1_10,0.6850835182805747,0.801255230125523,2021-10,2022-02,1,300
DQ1_11,0.701670365611494,0.8263598326359832,2021-10,2022-02,1,330
DQ1_12,0.7172059338862282,0.8410041841004184,2021-10,2022-02,1,360
DQ1_13,0.7305221352645719,0.8451882845188284,2021-10,2022-02,1,390
DQ1_14,0.7438383366429155,0.8577405857740585,2021-10,2022-02,1,420
DQ1_15,0.7561032589650741,0.8577405857740585,2021-10,2022-02,1,450
DQ1_16,0.7649807265506366,0.8702928870292888,2021-10,2022-02,1,480
DQ1_17,0.7735077677841373,0.8765690376569037,2021-10,2022-02,1,510
DQ1_18,0.7786473542810419,0.8849372384937239,2021-10,2022-02,1,540
DQ1_19,0.7853054549702138,0.8849372384937239,2021-10,2022-02,1,570
DQ1_20,0.7911458941712417,0.8891213389121339,2021-10,2022-02,1,600
DQ1_21,0.7969863333722695,0.893305439330544,2021-10,2022-02,1,630
DQ1_22,0.8017754935171125,0.895397489539749,2021-10,2022-02,1,660
DQ1_23,0.805863800957832,0.899581589958159,2021-10,2022-02,1,690
DQ1_24,0.8099521083985516,0.9016736401673641,2021-10,2022-02,1,720
DQ15_1,0.004672351360822334,0.0,2021-10,2022-02,15,30
DQ15_2,0.015418759490713701,0.07112970711297072,2021-10,2022-02,15,60
DQ15_3,0.03025347506132461,0.1401673640167364,2021-10,2022-02,15,90
DQ15_4,0.04602266090409999,0.19665271966527198,2021-10,2022-02,15,120
DQ15_5,0.061675037962854805,0.25732217573221755,2021-10,2022-02,15,150
DQ15_6,0.07989720827006191,0.3117154811715481,2021-10,2022-02,15,180
DQ15_7,0.09858661371335124,0.35355648535564854,2021-10,2022-02,15,210
DQ15_8,0.11529026982829109,0.39748953974895396,2021-10,2022-02,15,240
DQ15_9,0.12954094147879922,0.40794979079497906,2021-10,2022-02,15,270
DQ15_10,0.14566055367363626,0.42677824267782427,2021-10,2022-02,15,300
DQ15_11,0.1609625043803294,0.4769874476987448,2021-10,2022-02,15,330
DQ15_12,0.17427870575867305,0.49372384937238495,2021-10,2022-02,15,360
DQ15_13,0.19028150916948955,0.5083682008368201,2021-10,2022-02,15,390
DQ15_14,0.2044153720359771,0.5292887029288703,2021-10,2022-02,15,420
DQ15_15,0.2156290153019507,0.5606694560669456,2021-10,2022-02,15,450
DQ15_16,0.22836117276019158,0.5711297071129707,2021-10,2022-02,15,480
DQ15_17,0.2394580072421446,0.5774058577405857,2021-10,2022-02,15,510
DQ15_18,0.25172292956430325,0.5962343096234309,2021-10,2022-02,15,540
DQ15_19,0.26258614647821515,0.600418410041841,2021-10,2022-02,15,570
DQ15_20,0.2736829809601682,0.6108786610878661,2021-10,2022-02,15,600
DQ15_21,0.28442938909005955,0.6255230125523012,2021-10,2022-02,15,630
DQ15_22,0.2961102674921154,0.6401673640167364,2021-10,2022-02,15,660
DQ15_23,0.305221352645719,0.6548117154811716,2021-10,2022-02,15,690
DQ15_24,0.31281392360705523,0.6652719665271967,2021-10,2022-02,15,720
DQ30_1,0.00035042635206167504,0.0,2021-10,2022-02,30,30
DQ30_2,0.001985749328349492,0.029288702928870293,2021-10,2022-02,30,60
DQ30_3,0.005490012848966243,0.05439330543933055,2021-10,2022-02,30,90
DQ30_4,0.009344702721644668,0.09205020920502092,2021-10,2022-02,30,120
DQ30_5,0.015068333138652027,0.12552301255230125,2021-10,2022-02,30,150
DQ30_6,0.021609625043803295,0.15271966527196654,2021-10,2022-02,30,180
DQ30_7,0.02826772573297512,0.1694560669456067,2021-10,2022-02,30,210
DQ30_8,0.03469220885410583,0.20920502092050208,2021-10,2022-02,30,240
DQ30_9,0.04018222170307207,0.23221757322175732,2021-10,2022-02,30,270
DQ30_10,0.0454386169839972,0.2489539748953975,2021-10,2022-02,30,300
DQ30_11,0.05279757037729237,0.2719665271966527,2021-10,2022-02,30,330
DQ30_12,0.05933886228244364,0.2824267782426778,2021-10,2022-02,30,360
DQ30_13,0.06704824202780049,0.3075313807531381,2021-10,2022-02,30,390
DQ30_14,0.07230463730872562,0.3284518828451883,2021-10,2022-02,30,420
DQ30_15,0.07791145894171242,0.3514644351464435,2021-10,2022-02,30,450
DQ30_16,0.08375189814274034,0.37656903765690375,2021-10,2022-02,30,480
DQ30_17,0.09017638126387105,0.39330543933054396,2021-10,2022-02,30,510
DQ30_18,0.09601682046489896,0.41422594142259417,2021-10,2022-02,30,540
DQ30_19,0.10314215629015303,0.4309623430962343,2021-10,2022-02,30,570
DQ30_20,0.10874897792313983,0.4435146443514644,2021-10,2022-02,30,600
DQ30_21,0.11575750496437331,0.4581589958158996,2021-10,2022-02,30,630
DQ30_22,0.12311645835766849,0.4769874476987448,2021-10,2022-02,30,660
DQ30_23,0.12884008877467584,0.4811715481171548,2021-10,2022-02,30,690
DQ30_24,0.135147763111786,0.4916317991631799,2021-10,2022-02,30,720
DQ60_3,0.0008176614881439084,0.02510460251046025,2021-10,2022-02,60,90
DQ60_4,0.002569793248452284,0.03347280334728033,2021-10,2022-02,60,120
DQ60_5,0.004789160144842892,0.0502092050209205,2021-10,2022-02,60,150
DQ60_6,0.00782618852937741,0.07112970711297072,2021-10,2022-02,60,180
DQ60_7,0.009461511505665226,0.08158995815899582,2021-10,2022-02,60,210
DQ60_8,0.01343301016236421,0.10251046025104603,2021-10,2022-02,60,240
DQ60_9,0.01623642097885761,0.1087866108786611,2021-10,2022-02,60,270
DQ60_10,0.01892302301133045,0.1087866108786611,2021-10,2022-02,60,300
DQ60_11,0.020908772339679943,0.11297071129707113,2021-10,2022-02,60,330
DQ60_12,0.023712183156173343,0.13389121338912133,2021-10,2022-02,60,360
DQ60_13,0.026749211540707862,0.14853556485355648,2021-10,2022-02,60,390
DQ60_14,0.02978623992524238,0.1589958158995816,2021-10,2022-02,60,420
DQ60_15,0.032823268309776894,0.18200836820083682,2021-10,2022-02,60,450
DQ60_16,0.036561149398434765,0.19246861924686193,2021-10,2022-02,60,480
DQ60_17,0.039364560214928165,0.20292887029288703,2021-10,2022-02,60,510
DQ60_18,0.04275201495152436,0.2175732217573222,2021-10,2022-02,60,540
DQ60_19,0.04602266090409999,0.2301255230125523,2021-10,2022-02,60,570
DQ60_20,0.04999415956079897,0.2384937238493724,2021-10,2022-02,60,600
DQ60_21,0.05279757037729237,0.25732217573221755,2021-10,2022-02,60,630
DQ60_22,0.05723630417007359,0.2719665271966527,2021-10,2022-02,60,660
DQ60_23,0.06027333255460811,0.28661087866108786,2021-10,2022-02,60,690
DQ60_24,0.06354397850718374,0.2907949790794979,2021-10,2022-02,60,720
DQ90_4,0.0008176614881439084,0.01882845188284519,2021-10,2022-02,90,120
DQ90_5,0.0017521317603083752,0.027196652719665274,2021-10,2022-02,90,150
