indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.1624799572421165,0.006825938566552901,2021-10,2022-02,1,30
DQ1_2,0.31320149652592194,0.4061433447098976,2021-10,2022-02,1,60
DQ1_3,0.4307856761090326,0.5870307167235495,2021-10,2022-02,1,90
DQ1_4,0.5109567076429716,0.7030716723549488,2021-10,2022-02,1,120
DQ1_5,0.5836451095670764,0.7713310580204779,2021-10,2022-02,1,150
DQ1_6,0.6333511491181186,0.8225255972696246,2021-10,2022-02,1,180
DQ1_7,0.6734366648850882,0.8498293515358362,2021-10,2022-02,1,210
DQ1_8,0.7057723142704436,0.8668941979522184,2021-10,2022-02,1,240
DQ1_9,0.7327632282202031,0.8873720136518771,2021-10,2022-02,1,270
DQ1_10,0.7549438802779262,0.9010238907849829,2021-10,2022-02,1,300
DQ1_11,0.7704436130411545,0.9112627986348123,2021-10,2022-02,1,330
DQ1_12,0.7827365045430251,0.9146757679180887,2021-10,2022-02,1,360
DQ1_13,0.796098343132015,0.9146757679180887,2021-10,2022-02,1,390
DQ1_14,0.8054516301443079,0.9146757679180887,2021-10,2022-02,1,420
DQ1_15,0.8150721539283805,0.9215017064846417,2021-10,2022-02,1,450
DQ1_16,0.8217530732228755,0.9215017064846417,2021-10,2022-02,1,480
DQ1_17,0.8278995189738108,0.9215017064846417,2021-10,2022-02,1,510
DQ1_18,0.8340459647247461,0.9351535836177475,2021-10,2022-02,1,540
DQ1_19,0.8383217530732229,0.9419795221843004,2021-10,2022-02,1,570
DQ1_20,0.843399251737039,0.9419795221843004,2021-10,2022-02,1,600
DQ1_21,0.8468733297701764,0.9419795221843004,2021-10,2022-02,1,630
DQ1_22,0.8503474078033137,0.9419795221843004,2021-10,2022-02,1,660
DQ1_23,0.8551576696953501,0.9419795221843004,2021-10,2022-02,1,690
DQ1_24,0.8588989845002672,0.9488054607508533,2021-10,2022-02,1,720
DQ15_1,0.004008551576696953,0.0,2021-10,2022-02,15,30
DQ15_2,0.01977552111170497,0.09215017064846416,2021-10,2022-02,15,60
DQ15_3,0.03768038482095136,0.17064846416382254,2021-10,2022-02,15,90
DQ15_4,0.0606627471940139,0.26621160409556316,2021-10,2022-02,15,120
DQ15_5,0.0863174772848744,0.32081911262798635,2021-10,2022-02,15,150
DQ15_6,0.10823089257081775,0.3822525597269625,2021-10,2022-02,15,180
DQ15_7,0.13281667557455906,0.4334470989761092,2021-10,2022-02,15,210
DQ15_8,0.15152324959914484,0.46757679180887374,2021-10,2022-02,15,240
DQ15_9,0.17156600748262962,0.5187713310580204,2021-10,2022-02,15,270
DQ15_10,0.19454836985569215,0.5733788395904437,2021-10,2022-02,15,300
DQ15_11,0.21672902191341528,0.6006825938566553,2021-10,2022-02,15,330
DQ15_12,0.23383217530732228,0.6143344709897611,2021-10,2022-02,15,360
DQ15_13,0.2509353287012293,0.6382252559726962,2021-10,2022-02,15,390
DQ15_14,0.2664350614644575,0.6484641638225256,2021-10,2022-02,15,420
DQ15_15,0.2822020309994655,0.6689419795221843,2021-10,2022-02,15,450
DQ15_16,0.2993051843933725,0.6962457337883959,2021-10,2022-02,15,480
DQ15_17,0.310529128808124,0.7167235494880546,2021-10,2022-02,15,510
DQ15_18,0.324959914484233,0.726962457337884,2021-10,2022-02,15,540
DQ15_19,0.3388562266167825,0.7372013651877133,2021-10,2022-02,15,570
DQ15_20,0.3522180652057723,0.7508532423208191,2021-10,2022-02,15,600
DQ15_21,0.36584714056654194,0.7542662116040956,2021-10,2022-02,15,630
DQ15_22,0.37707108498129344,0.7610921501706485,2021-10,2022-02,15,660
DQ15_23,0.3880277926242651,0.764505119453925,2021-10,2022-02,15,690
DQ15_24,0.3984500267236772,0.7781569965870307,2021-10,2022-02,15,720
DQ30_1,0.0002672367717797969,0.0,2021-10,2022-02,30,30
DQ30_2,0.0018706574024585784,0.040955631399317405,2021-10,2022-02,30,60
DQ30_3,0.0074826296098343134,0.10238907849829351,2021-10,2022-02,30,90
DQ30_4,0.012827365045430252,0.15358361774744028,2021-10,2022-02,30,120
DQ30_5,0.018439337252805985,0.17747440273037543,2021-10,2022-02,30,150
DQ30_6,0.02859433458043827,0.2354948805460751,2021-10,2022-02,30,180
DQ30_7,0.03874933190807055,0.28668941979522183,2021-10,2022-02,30,210
DQ30_8,0.04676643506146446,0.310580204778157,2021-10,2022-02,30,240
DQ30_9,0.05291288081239979,0.3378839590443686,2021-10,2022-02,30,270
