indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.1599259846682527,0.010443864229765013,2021-10,2022-02,1,30
DQ1_2,0.3222310335712398,0.3968668407310705,2021-10,2022-02,1,60
DQ1_3,0.4393338620142744,0.5639686684073107,2021-10,2022-02,1,90
DQ1_4,0.5273592386994449,0.7049608355091384,2021-10,2022-02,1,120
DQ1_5,0.5921226539783241,0.7597911227154047,2021-10,2022-02,1,150
DQ1_6,0.6463124504361618,0.793733681462141,2021-10,2022-02,1,180
DQ1_7,0.6849061591329633,0.8328981723237598,2021-10,2022-02,1,210
DQ1_8,0.7171556965371398,0.8485639686684073,2021-10,2022-02,1,240
DQ1_9,0.7425323817076395,0.8720626631853786,2021-10,2022-02,1,270
DQ1_10,0.761036214644462,0.8877284595300261,2021-10,2022-02,1,300
DQ1_11,0.7739888977002379,0.8955613577023499,2021-10,2022-02,1,330
DQ1_12,0.7879989426381179,0.9007832898172323,2021-10,2022-02,1,360
DQ1_13,0.7998942638117896,0.9138381201044387,2021-10,2022-02,1,390
DQ1_14,0.8109965635738832,0.9138381201044387,2021-10,2022-02,1,420
DQ1_15,0.8220988633359767,0.9164490861618799,2021-10,2022-02,1,450
DQ1_16,0.8297647369812319,0.9216710182767625,2021-10,2022-02,1,480
DQ1_17,0.8411313772138514,0.9321148825065274,2021-10,2022-02,1,510
DQ1_18,0.8469468675654243,0.9347258485639687,2021-10,2022-02,1,540
DQ1_19,0.8532910388580491,0.9399477806788512,2021-10,2022-02,1,570
DQ1_20,0.8585778482685699,0.9425587467362925,2021-10,2022-02,1,600
DQ1_21,0.8643933386201428,0.9477806788511749,2021-10,2022-02,1,630
DQ1_22,0.8686227861485594,0.95822454308094,2021-10,2022-02,1,660
DQ1_23,0.8715305313243458,0.9634464751958225,2021-10,2022-02,1,690
DQ1_24,0.8744382765001322,0.9712793733681462,2021-10,2022-02,1,720
DQ15_1,0.0084588950568332,0.0026109660574412533,2021-10,2022-02,15,30
DQ15_2,0.026169706582077717,0.09921671018276762,2021-10,2022-02,15,60
DQ15_3,0.046788263283108644,0.18276762402088773,2021-10,2022-02,15,90
DQ15_4,0.06952154374834787,0.2689295039164491,2021-10,2022-02,15,120
DQ15_5,0.10256410256410256,0.3002610966057441,2021-10,2022-02,15,150
DQ15_6,0.133756278086175,0.37597911227154046,2021-10,2022-02,15,180
