indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.190649843191598,0.002628120893561104,2021-10,2022-02,1,30
DQ1_2,0.3481146524688207,0.4073587385019711,2021-10,2022-02,1,60
DQ1_3,0.4625847859382977,0.5558475689881734,2021-10,2022-02,1,90
DQ1_4,0.5440157537743417,0.668856767411301,2021-10,2022-02,1,120
DQ1_5,0.6038946831011597,0.7240473061760841,2021-10,2022-02,1,150
DQ1_6,0.646050616293487,0.7621550591327201,2021-10,2022-02,1,180
DQ1_7,0.6787615782947998,0.8015768725361366,2021-10,2022-02,1,210
DQ1_8,0.7050178688644154,0.8199737187910644,2021-10,2022-02,1,240
DQ1_9,0.7275909853402378,0.8396846254927727,2021-10,2022-02,1,270
DQ1_10,0.744219969367661,0.8515111695137977,2021-10,2022-02,1,300
DQ1_11,0.7592079352344833,0.8699080157687253,2021-10,2022-02,1,330
DQ1_12,0.7714244037634016,0.8725361366622865,2021-10,2022-02,1,360
DQ1_13,0.7826197943257238,0.8817345597897503,2021-10,2022-02,1,390
DQ1_14,0.7927576398512144,0.8948751642575559,2021-10,2022-02,1,420
DQ1_15,0.8015462037779885,0.897503285151117,2021-10,2022-02,1,450
DQ1_16,0.8083655459120415,0.9053876478318003,2021-10,2022-02,1,480
DQ1_17,0.8144555466413829,0.9053876478318003,2021-10,2022-02,1,510
DQ1_18,0.819269199912479,0.9132720105124835,2021-10,2022-02,1,540
DQ1_19,0.82470279337758,0.9132720105124835,2021-10,2022-02,1,570
DQ1_20,0.8291517759463205,0.9172141918528253,2021-10,2022-02,1,600
DQ1_21,0.8325796805484648,0.9211563731931669,2021-10,2022-02,1,630
DQ1_22,0.836262854642258,0.923784494086728,2021-10,2022-02,1,660
DQ1_23,0.8401648311574648,0.926412614980289,2021-10,2022-02,1,690
DQ1_24,0.8433009991977245,0.9329829172141918,2021-10,2022-02,1,720
DQ15_1,0.009809641893370287,0.0,2021-10,2022-02,15,30
DQ15_2,0.0353001239880388,0.11432325886990802,2021-10,2022-02,15,60
DQ15_3,0.06735467872511122,0.21419185282522996,2021-10,2022-02,15,90
DQ15_4,0.10072204799066443,0.31011826544021026,2021-10,2022-02,15,120
DQ15_5,0.1345999562395157,0.38107752956636004,2021-10,2022-02,15,150
DQ15_6,0.16727445117059295,0.4231274638633377,2021-10,2022-02,15,180
DQ15_7,0.1976879877470644,0.48226018396846254,2021-10,2022-02,15,210
DQ15_8,0.2233608051929108,0.5229960578186597,2021-10,2022-02,15,240
DQ15_9,0.24783020932098315,0.5479632063074902,2021-10,2022-02,15,270
DQ15_10,0.2709503318503391,0.5650459921156373,2021-10,2022-02,15,300
DQ15_11,0.29312231055357013,0.5860709592641261,2021-10,2022-02,15,330
DQ15_12,0.3122675224272482,0.5992115637319316,2021-10,2022-02,15,360
DQ15_13,0.33338195609364746,0.6123521681997371,2021-10,2022-02,15,390
DQ15_14,0.35052147910436876,0.6386333771353482,2021-10,2022-02,15,420
DQ15_15,0.36667639121872947,0.6478318002628121,2021-10,2022-02,15,450
DQ15_16,0.3825395667712056,0.6622864651773982,2021-10,2022-02,15,480
DQ15_17,0.3981110057617971,0.6767411300919842,2021-10,2022-02,15,510
DQ15_18,0.41076507913354243,0.6859395532194481,2021-10,2022-02,15,540
DQ15_19,0.4236379549267012,0.6977660972404731,2021-10,2022-02,15,570
DQ15_20,0.43621909415797533,0.7069645203679369,2021-10,2022-02,15,600
DQ15_21,0.44712274815841296,0.7253613666228647,2021-10,2022-02,15,630
DQ15_22,0.4574793961053169,0.735873850197109,2021-10,2022-02,15,660
DQ15_23,0.4671431697177449,0.7450722733245729,2021-10,2022-02,15,690
DQ15_24,0.4752023922398075,0.7516425755584757,2021-10,2022-02,15,720
DQ30_1,0.000656407264240391,0.0,2021-10,2022-02,30,30
DQ30_2,0.005725330026985632,0.05519053876478318,2021-10,2022-02,30,60
DQ30_3,0.01600904383341842,0.10775295663600526,2021-10,2022-02,30,90
DQ30_4,0.02891838669681278,0.1616294349540079,2021-10,2022-02,30,120
DQ30_5,0.045547370724236015,0.19973718791064388,2021-10,2022-02,30,150
DQ30_6,0.06111880971482751,0.24178712220762155,2021-10,2022-02,30,180
DQ30_7,0.07738312303989497,0.2996057818659658,2021-10,2022-02,30,210
