indicator,mean_train_actual,mean_prod_actual,min_date,max_date,days_delinquent,days_total
DQ1_1,0.20516145355640597,0.004353083434099154,2021-10,2022-02,1,30
DQ1_2,0.3762927353806256,0.45030229746070133,2021-10,2022-02,1,60
DQ1_3,0.5001739460450995,0.6205562273276904,2021-10,2022-02,1,90
DQ1_4,0.5850596160536387,0.7293833131801692,2021-10,2022-02,1,120
DQ1_5,0.6457825990701793,0.7949214026602176,2021-10,2022-02,1,150
DQ1_6,0.6936019481957051,0.8370012091898428,2021-10,2022-02,1,180
DQ1_7,0.7296245928081218,0.8652962515114873,2021-10,2022-02,1,210
DQ1_8,0.7550839684999525,0.8822249093107618,2021-10,2022-02,1,240
DQ1_9,0.7770960498434486,0.8969770253929867,2021-10,2022-02,1,270
DQ1_10,0.7937316170656884,0.9064087061668682,2021-10,2022-02,1,300
DQ1_11,0.8070147696005566,0.9151148730350666,2021-10,2022-02,1,330
DQ1_12,0.8185584616844302,0.9216444981862152,2021-10,2022-02,1,360
DQ1_13,0.8289635978367438,0.9252720677146312,2021-10,2022-02,1,390
DQ1_14,0.8387362029159683,0.9276904474002419,2021-10,2022-02,1,420
DQ1_15,0.8458838040418736,0.9313180169286578,2021-10,2022-02,1,450
DQ1_16,0.8520509820044909,0.9347037484885127,2021-10,2022-02,1,480
DQ1_17,0.8583130396280717,0.939782345828295,2021-10,2022-02,1,510
DQ1_18,0.8634997944274012,0.9441354292623942,2021-10,2022-02,1,540
DQ1_19,0.8681805243682595,0.9467956469165659,2021-10,2022-02,1,570
DQ1_20,0.8727980012018091,0.9475211608222491,2021-10,2022-02,1,600
DQ1_21,0.8769094531768873,0.9492140266021766,2021-10,2022-02,1,630
DQ1_22,0.8799139757740599,0.9533252720677147,2021-10,2022-02,1,660
DQ1_23,0.8828236187102692,0.9567110036275696,2021-10,2022-02,1,690
DQ1_24,0.8856700085391694,0.958403869407497,2021-10,2022-02,1,720
DQ15_1,0.010911161010784655,0.0009673518742442564,2021-10,2022-02,15,30
DQ15_2,0.040640121445966036,0.14050785973397822,2021-10,2022-02,15,60
DQ15_3,0.07384800278313672,0.241596130592503,2021-10,2022-02,15,90
DQ15_4,0.10790980106897752,0.33252720677146314,2021-10,2022-02,15,120
DQ15_5,0.1432682880546507,0.41305925030229745,2021-10,2022-02,15,150
DQ15_6,0.17831050950377939,0.4785973397823458,2021-10,2022-02,15,180
DQ15_7,0.20854549479743192,0.5313180169286578,2021-10,2022-02,15,210
DQ15_8,0.23590246370852969,0.5721886336154777,2021-10,2022-02,15,240
DQ15_9,0.2637338309244442,0.6070133010882709,2021-10,2022-02,15,270
DQ15_10,0.28849742243587717,0.6432889963724304,2021-10,2022-02,15,300
DQ15_11,0.31130016762073437,0.6737605804111245,2021-10,2022-02,15,330
DQ15_12,0.3328694772130681,0.6948004836759372,2021-10,2022-02,15,360
DQ15_13,0.352477940478826,0.7097944377267231,2021-10,2022-02,15,390
DQ15_14,0.37018881052531705,0.7223700120918984,2021-10,2022-02,15,420
DQ15_15,0.3860020873525412,0.7380894800483676,2021-10,2022-02,15,450
DQ15_16,0.40371295739903224,0.7542926239419588,2021-10,2022-02,15,480
DQ15_17,0.41952623422625634,0.7644498186215236,2021-10,2022-02,15,510
DQ15_18,0.43432746133653816,0.7743651753325272,2021-10,2022-02,15,540
DQ15_19,0.4494449539833644,0.7850060459492141,2021-10,2022-02,15,570
DQ15_20,0.4626332268572694,0.7954050785973398,2021-10,2022-02,15,600
DQ15_21,0.475378727980012,0.8002418379685611,2021-10,2022-02,15,630
DQ15_22,0.4867642872956134,0.807496977025393,2021-10,2022-02,15,660
DQ15_23,0.49739080932350804,0.8176541717049577,2021-10,2022-02,15,690
DQ15_24,0.5079540782440938,0.8239419588875453,2021-10,2022-02,15,720
DQ30_1,0.00037951864385337927,0.0007255139056831923,2021-10,2022-02,30,30
DQ30_2,0.006198804516271862,0.0660217654171705,2021-10,2022-02,30,60
DQ30_3,0.018375027673234446,0.12889963724304715,2021-10,2022-02,30,90
DQ30_4,0.0338720389639141,0.18863361547763,2021-10,2022-02,30,120
DQ30_5,0.05066573895442614,0.24449818621523578,2021-10,2022-02,30,150
DQ30_6,0.06973655080805845,0.2998790810157195,2021-10,2022-02,30,180
DQ30_7,0.08747904740820393,0.3513905683192261,2021-10,2022-02,30,210
DQ30_8,0.10167936999905121,0.39637243047158405,2021-10,2022-02,30,240
DQ30_9,0.11432999146083052,0.426360338573156,2021-10,2022-02,30,270
DQ30_10,0.1274233846737721,0.4592503022974607,2021-10,2022-02,30,300
DQ30_11,0.14266738353521616,0.49383313180169286,2021-10,2022-02,30,330
DQ30_12,0.1570258388943357,0.517291414752116,2021-10,2022-02,30,360
DQ30_13,0.17135266769980076,0.5424425634824668,2021-10,2022-02,30,390
DQ30_14,0.18406654226888897,0.5605804111245466,2021-10,2022-02,30,420
DQ30_15,0.19662228406970492,0.5799274486094317,2021-10,2022-02,30,450
DQ30_16,0.21072772699958886,0.5990326481257557,2021-10,2022-02,30,480
DQ30_17,0.2245801575002372,0.6149939540507859,2021-10,2022-02,30,510
DQ30_18,0.23862234732281223,0.6292623941958888,2021-10,2022-02,30,540
DQ30_19,0.25139947499920934,0.6461910519951632,2021-10,2022-02,30,570
DQ30_20,0.26490401340965875,0.660701330108827,2021-10,2022-02,30,600
DQ30_21,0.2767955975837313,0.6732769044740025,2021-10,2022-02,30,630
DQ30_22,0.28805465068471486,0.6887545344619105,2021-10,2022-02,30,660
DQ30_23,0.2993453303393529,0.6998790810157195,2021-10,2022-02,30,690
DQ30_24,0.31012998513551976,0.7068923821039903,2021-10,2022-02,30,720
DQ60_3,0.0031626553654448275,0.05852478839177751,2021-10,2022-02,60,90
DQ60_4,0.009962364401151207,0.08827085852478839,2021-10,2022-02,60,120
DQ60_5,0.018438280780543343,0.11898428053204353,2021-10,2022-02,60,150
DQ60_6,0.028116006198804517,0.15525997581620316,2021-10,2022-02,60,180
DQ60_7,0.03810999715361017,0.1927448609431681,2021-10,2022-02,60,210
DQ60_8,0.04838862709130586,0.21692865779927448,2021-10,2022-02,60,240
DQ60_9,0.05616875929030014,0.22950423216444982,2021-10,2022-02,60,270
DQ60_10,0.06110250166039407,0.2411124546553809,2021-10,2022-02,60,300
DQ60_11,0.06613112369145134,0.2541717049576784,2021-10,2022-02,60,330
DQ60_12,0.07492330560738797,0.2747279322853688,2021-10,2022-02,60,360
DQ60_13,0.08409500616717797,0.29455864570737605,2021-10,2022-02,60,390
DQ60_14,0.09393086435371138,0.32043530834340994,2021-10,2022-02,60,420
DQ60_15,0.10401973496948037,0.3441354292623942,2021-10,2022-02,60,450
DQ60_16,0.11420348524621272,0.36928657799274484,2021-10,2022-02,60,480
DQ60_17,0.12413422309370947,0.39564691656590084,2021-10,2022-02,60,510
