feature,dtype,propna,min,max,range,std,mean,median,mode,n_unique,prop_unique,prop_negative,prop_min,prop_max,prop_zero
uniqueid__app,int64,0.0,577670472533441.0,727622190503211.0,149951717969770.0,38822167240279.61,644981491934439.9,638699279806951.0,577670472533441,45742,1.0,0.0,2.1861746316295747e-05,2.1861746316295747e-05,0.0
inst_trd__tu,float64,0.0,-6.0,150.0,156.0,9.380946257793736,8.043242534213633,5.0,1.0,104,0.0022736216168947575,0.005159372130645796,0.005159372130645796,2.1861746316295747e-05,0.0760570154343929
agg110__tu,float64,0.0,-6.0,904408.0,904414.0,31989.608605596928,16599.79342835906,4364.5,-2.0,21932,0.4794718202089983,0.23088190284639937,0.005159372130645796,2.1861746316295747e-05,0.038979493681955316
agg109__tu,float64,0.0,-6.0,904512.0,904518.0,32067.446286215545,16649.10891522015,4497.0,-2.0,21949,0.47984346989637533,0.22729657645052687,0.005159372130645796,2.1861746316295747e-05,0.0380394385903546
agg108__tu,float64,0.0,-6.0,876269.0,876275.0,32170.214084890587,16688.983603690263,4456.0,-2.0,22010,0.48117703642166937,0.2249573695946832,0.005159372130645796,2.1861746316295747e-05,0.03976651654934196
agg107__tu,float64,0.0,-6.0,876756.0,876762.0,31997.01435603658,16728.98795417778,4559.0,-2.0,22024,0.4814831008700975,0.22016964715141446,0.005159372130645796,2.1861746316295747e-05,0.039591622578811596
agg106__tu,float64,0.0,-6.0,905214.0,905220.0,32045.214883213142,16805.025228455248,4632.0,-2.0,22223,0.4858335883870404,0.21457304009444275,0.005159372130645796,2.1861746316295747e-05,0.0400725809977701
agg105__tu,float64,0.0,-6.0,877625.0,877631.0,32038.91118062715,16802.650605570372,4728.0,-2.0,22251,0.48644571728389663,0.21127191640068207,0.005159372130645796,2.1861746316295747e-05,0.040116304490402696
agg104__tu,float64,0.0,-6.0,878036.0,878042.0,32393.93664431366,16949.061212889686,4728.5,-2.0,22208,0.4855056621922959,0.20687770539110664,0.005159372130645796,2.1861746316295747e-05,0.040794018626207865
agg103__tu,float64,0.0,-6.0,879505.0,879511.0,32440.31760190916,16968.801342311224,4759.0,-2.0,22238,0.4861615145817848,0.20241790914258231,0.005159372130645796,2.1861746316295747e-05,0.04066284814831009
agg102__tu,float64,0.0,-6.0,907999.0,908005.0,32277.78246092682,16879.041996414675,4650.0,-2.0,22232,0.486030344103887,0.1979362511477417,0.005159372130645796,2.1861746316295747e-05,0.040247474968300466
