feature,bin,min,max,count,prop,target,bin_label
fltgrossmonthly__income_sum_binned,-0.1091665809718578,0.0,3469.44,10494,0.4194579902470221,0.5130550790928149,1
fltgrossmonthly__income_sum_binned,-0.0968169791233635,3470.0,3682.73,1304,0.0521224718202893,0.5099693251533742,2
fltgrossmonthly__income_sum_binned,-0.0279701798589522,3683.15,4098.75,2486,0.0993684547126069,0.4927594529364441,3
fltgrossmonthly__income_sum_binned,0.0403081547103347,4099.0,4339.03,1482,0.0592373491086417,0.4757085020242915,4
fltgrossmonthly__income_sum_binned,0.0586275535649593,4339.05,5249.89,3933,0.1572068110960108,0.4711416221713704,5
fltgrossmonthly__income_sum_binned,0.1319773480091372,5250.01,6703.62,3228,0.1290271004876489,0.4529120198265179,6
fltgrossmonthly__income_sum_binned,0.3036908292641654,6703.639999999999,11742.160000000047,2091,0.08357982252778,0.4108082257293161,7
miles_odometer__app_binned,0.3405478666071246,1.0,24745.0,2712,0.1084019505955711,0.4019174041297935,1
miles_odometer__app_binned,0.1369927100692183,24746.0,35661.0,1707,0.0682308737708849,0.4516695957820738,2
miles_odometer__app_binned,0.0373119570717152,35665.0,50281.0,3589,0.143456711167959,0.4764558372805795,3
miles_odometer__app_binned,-0.0235237128540358,50291.0,60285.0,3592,0.1435766248301223,0.4916481069042316,4
miles_odometer__app_binned,-0.0413272356041533,60287.0,77961.0,6023,0.2407466624030698,0.4960982898887597,5
miles_odometer__app_binned,-0.1275519600589978,77964.0,150780.0,7395,0.2955871772323927,0.5176470588235295,6
ENG-int_n_months_binned,-0.114862567286953,0.0,8.0,11293,0.4513949956031657,0.5144779952182769,1
ENG-int_n_months_binned,-0.0462723638102617,9.0,21.0,4502,0.1799504356863058,0.4973345179920035,2
ENG-int_n_months_binned,0.0672231663887751,22.0,39.0,4742,0.1895435286593652,0.4690004217629692,3
ENG-int_n_months_binned,0.1587962260800398,40.0,48.0,1517,0.0606363418338796,0.4462755438365194,4
