feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-bk_binned,0.3644461705690194,1.0,1.0,4248,0.1697977456231513,0.3961864406779661,2,-0.44064963158277615,-0.16059307079299198,
ENG-bk_binned,-0.0733045224918997,0.0,0.0,20770,0.8302022543768487,0.5040924410207029,1,-0.44064963158277615,0.032301610829406927,
ENG-franchise_binned,0.0628878217725071,1.0,1.0,16327,0.6526101207130866,0.4700802351932382,2,-0.6032741662254173,-0.03793859824554186,
ENG-franchise_binned,-0.1179359280247279,0.0,0.0,8691,0.3473898792869134,0.515245656426188,1,-0.6032741662254173,0.07114769864713855,
ENG-loan_to_value_binned,1.888975756210269,0.1854616840113528,0.6315595317725753,32,0.0012790790630745,0.125,1,-0.7812225851321618,-1.4757105235185666,
ENG-loan_to_value_binned,1.0206244866252332,0.659283344051447,0.7759759036144578,63,0.002518186905428,0.2539682539682539,2,-0.7812225851321618,-0.7973348998905502,
ENG-loan_to_value_binned,0.7217349611530631,0.77687531267473,0.8940861650385376,178,0.0071148772883523,0.3146067415730337,3,-0.7812225851321618,-0.5638356521322564,
ENG-loan_to_value_binned,0.294844265058844,0.8946856721979117,1.0126953143068598,942,0.0376528899192581,0.4129511677282378,4,-0.7812225851321618,-0.23033899896066243,
ENG-loan_to_value_binned,0.1268116656142953,1.0128205128205128,1.1309217704824708,3089,0.1234711008074186,0.4541922952411784,5,-0.7812225851321618,-0.09906813723611504,
ENG-loan_to_value_binned,-0.0021090788995413,1.1309614730878188,1.2491331034482758,6422,0.256695179470781,0.4862971037060106,6,-0.7812225851321618,0.0016476600701473493,
ENG-loan_to_value_binned,-0.0603009270948831,1.2491410256410256,1.603363687307369,14258,0.5699096650411704,0.5008416327675691,7,-0.7812225851321618,0.04710844615093059,
ENG-loan_to_value_binned,-0.5365074731069304,1.6038259244426645,2.549193,34,0.0013590215045167,0.6176470588235294,8,-0.7812225851321618,0.4191317550833199,
ENG-wtd_avg_binned,0.2176216707872341,0.9069148936170212,1.0,7770,0.310576385002798,0.4317889317889318,5,-0.48883591363834117,-0.10638128826677988,
ENG-wtd_avg_binned,0.1403287439471092,0.7545098039215686,0.9068825910931174,1719,0.0687105284195379,0.4508435136707388,4,-0.48883591363834117,-0.06859772975710597,
ENG-wtd_avg_binned,0.0106237581662468,0.5793103448275863,0.753968253968254,1540,0.0615556799104644,0.4831168831168831,3,-0.48883591363834117,-0.005193274529470043,
ENG-wtd_avg_binned,-0.0652418134149006,0.3197178959741404,0.5792682926829268,1926,0.0769845711088016,0.5020768431983386,2,-0.48883591363834117,0.031892541468095115,
ENG-wtd_avg_binned,-0.1500132236570004,0.0,0.3193125282677521,12063,0.4821728355583979,0.523252922158667,1,-0.48883591363834117,0.0733318512442026,
addrinputsubjectcount__ln_binned,0.0794212202023958,0.0,2.0,7683,0.307098888800064,0.4659638162176233,1,-0.1795247285498744,-0.014258072997934905,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,0.0763703880022498,3.0,3.0,3546,0.1417379486769526,0.4667230682459108,2,-0.1795247285498744,-0.013710373175352479,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,-0.0255939411170689,4.0,4.0,2489,0.0994883683747701,0.4921655283246283,3,-0.1795247285498744,0.004594745331563264,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,-0.0407115573381571,5.0,11.0,2589,0.1034854904468782,0.4959443800695249,4,-0.1795247285498744,0.0073087312799753005,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,-0.0815022683753064,12.0,83.0,8711,0.348189303701335,0.5061416599701527,5,-0.1795247285498744,0.014631672606275894,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addronfilecount__ln_binned,0.0500937728301474,0.0,6.0,10381,0.41494124230554,0.4732684712455447,1,-0.5648848921348156,-0.02829721546178377,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,0.0291349209566846,7.0,8.0,4069,0.1626428971140778,0.478495944949619,2,-0.5648848921348156,-0.01645787668197316,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,0.0033944331617501,9.0,14.0,7793,0.3114957230793828,0.4849223662261003,3,-0.5648848921348156,-0.0019174640104340464,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,-0.1497161262960105,15.0,17.0,1510,0.060356543288832,0.5231788079470199,4,-0.5648848921348156,0.08457237785356432,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,-0.3483065063842794,18.0,40.0,1265,0.0505635942121672,0.5723320158102767,5,-0.5648848921348156,0.19675308328873814,Total number of addresses found on file in subject's address history
addrprevioustimenewest__ln_binned,0.3914185213487937,107.0,523.0,1737,0.0694300103925174,0.3897524467472654,4,-0.33585704243149206,-0.13146066693311367,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,0.1373276043208283,48.0,106.0,2458,0.0982492605324166,0.451586655817738,3,-0.33585704243149206,-0.04612244303139558,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,0.0410617944833727,29.0,47.0,1777,0.0710288592213606,0.4755205402363534,2,-0.33585704243149206,-0.013790892852115311,Time (in months) since the subject was most recently reported at the most previous address on subject's file
