feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,1.888975756210269,0.1854616840113528,0.6315595317725753,32,0.0012790790630745,0.125,1,-0.7812225851321618,-1.4757105235185666,
balmag01__tu_binned,0.4398748289474107,0.0,138.0,2469,0.0986889439603485,0.3782908059943297,1,-0.6735312526626344,-0.2962694445557115,Non-mortgage balance magnitude algorithm over last 24 months
rtl_trd__tu_binned,0.4863873741462653,5.0,188.0,2093,0.0836597649692221,0.36741519350215,5,-0.49074016786362473,-0.23868982163528588,Number of retail trades
au20s__tu_binned,0.5381266846763259,133.0,374.0,1370,0.0547605723878807,0.3554744525547445,8,-0.37501318357425606,-0.2018046011867288,Months since oldest auto trade opened
in21s__tu_binned,0.2697498374100057,65.0,456.0,2835,0.1133184107442641,0.419047619047619,6,-0.7108687954877385,-0.19175674200266404,Months since most recent installment trade opened
g232s__tu_binned,0.3569695839089846,0.0,2.0,1779,0.0711088016628027,0.3979763912310287,1,-0.5262401406296823,-0.1878517240367832,Number of inquiries (includes duplicates)
fltgrossmonthly__income_sum_binned,0.3036908292641654,6703.639999999999,11742.160000000047,2091,0.08357982252778,0.4108082257293161,7,-0.6013910550404343,-0.18263694821728085,
miles_odometer__app_binned,0.3405478666071246,1.0,24745.0,2712,0.1084019505955711,0.4019174041297935,1,-0.5361780282361353,-0.18259428363743047,
trv01__tu_binned,0.331836411362805,21.0,999.0,4834,0.1932208809657047,0.4040132395531651,3,-0.5223542063981341,-0.17333614531142277,Number of months since overlimit on a bankcard
rev322__tu_binned,0.3264994580051225,216.0,44388.0,2793,0.1116396194739787,0.4052989616899391,3,-0.509700609620378,-0.16641697278593393,Min Total Open-to-Buy for Revolving accounts over the past 6 months
ENG-bk_binned,0.3644461705690194,1.0,1.0,4248,0.1697977456231513,0.3961864406779661,2,-0.44064963158277615,-0.16059307079299198,
g095s__tu_binned,0.2519409447531702,1.0,118.0,7388,0.2953073786873451,0.423389279913373,2,-0.5657974322640359,-0.14254753962351902,Months since most recent public record
addrprevioustimenewest__ln_binned,0.3914185213487937,107.0,523.0,1737,0.0694300103925174,0.3897524467472654,4,-0.33585704243149206,-0.13146066693311367,Time (in months) since the subject was most recently reported at the most previous address on subject's file
g251c__tu_binned,0.0885029004566487,0.0,0.0,3196,0.1277480214245743,0.4637046307884856,1,-1.4493557921141158,-0.1282721913957428,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
in34s__tu_binned,0.2987949245456811,0.0,46.0,1284,0.0513230474058677,0.411993769470405,1,-0.40764559320519983,-0.12180243426312709,Utilization for open installment trades verified in past 12 months
s209a__tu_binned,0.1201652199677587,33.0,83.0,2457,0.0982092893116955,0.4558404558404558,4,-0.9997768313124916,-0.12013840285333434,Months since most recent non-medical third party collection
jt20s__tu_binned,0.5094610820757571,133.0,470.0,1334,0.0533216084419218,0.3620689655172414,6,-0.21578736071746057,-0.1099352622893892,Months since oldest joint trade opened
ENG-wtd_avg_binned,0.2176216707872341,0.9069148936170212,1.0,7770,0.310576385002798,0.4317889317889318,5,-0.48883591363834117,-0.10638128826677988,
fi101s__tu_binned,0.1480974085261193,0.0,90.0,1390,0.0555599968023023,0.4489208633093525,1,-0.5711557402220273,-0.08458668499169965,Total balance of all finance installment trades verified in past 12 months
linka006__tu_binned,0.2265623222265433,0.0,1.0,2926,0.1169557918298824,0.4295967190704032,1,-0.35999782233175376,-0.08156194262398068,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
s068b__tu_binned,0.1248545407672109,0.0,0.0,3442,0.1375809417219602,0.4546775130737943,1,-0.6498958707596154,-0.08114245049019843,Number of non-medical third party collections
