feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
linkf098__tu_binned,-0.0078874882015511,0.0,2.0,23574,0.9422815572787592,0.4877407313141597,1,-0.5410605527736961,0.004267608726327245,Number of satisfactory trades
fi101s__tu_binned,-0.00867718853652,93.0,291954.0,23628,0.9444400031976976,0.4879380396140172,2,-0.5711557402220273,0.00495602604162217,Total balance of all finance installment trades verified in past 12 months
linka025__tu_binned,-0.0492561711801667,1.0,9.0,5991,0.2394675833399952,0.4980804540143548,2,-0.12425301574735498,0.0061202278133036655,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
phoneinputproblems__ln_binned,-0.0396387847465165,4.0,6.0,11217,0.4483571828283635,0.4956762057591156,2,-0.1744531991569488,0.006915112809723466,Indicates problems associated with the input phone based on information on file
sourcenonderogcount12month__ln_binned,-0.0302158148370351,0.0,1.0,20137,0.8049004716604045,0.4933207528430253,1,-0.3113555668654551,0.009407862156886694,Total non-derogatory source types on file for subject reported within the last 12 months
bc97a__tu_binned,-0.0271201301346178,0.0,10.0,18516,0.7401071228715325,0.492546986390149,1,-0.3704439720327654,0.010046488729113314,Total open to buy of open credit cards verified in past 3 months
fi25s__tu_binned,-0.0394384170949063,0.0,0.0,20691,0.8270445279398833,0.495626117635687,1,-0.25757243521755385,0.010158249132260622,Number of currently open and satisfactory finance installment trades 12 months or older
at24s__tu_binned,-0.0197842261822135,0.0,1.0,15991,0.6391797905508034,0.4907135263585767,1,-0.6091917878618148,0.012052388119405169,Number of currently open and satisfactory trades 6 months or older
s068b__tu_binned,-0.0198519089768717,1.0,18.0,21576,0.8624190582780398,0.4907304412309974,2,-0.6498958707596154,0.01290167367076466,Number of non-medical third party collections
addrinputsubjectcount__ln_binned,-0.0815022683753064,12.0,83.0,8711,0.348189303701335,0.5061416599701527,5,-0.1795247285498744,0.014631672606275894,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
subjectabilityindex__ln_binned,-0.0922532562049396,1.0,1.0,11723,0.4685826205132304,0.5088287980892263,1,-0.16224216651322956,0.014967368154589438,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
in34s__tu_binned,-0.0413661368398728,81.0,536.0,20812,0.831881045647134,0.4961080146069575,3,-0.40764559320519983,0.01686272339069742,Utilization for open installment trades verified in past 12 months
linka053__tu_binned,-0.0502691196405937,0.0,1095.0,14103,0.5637141258294028,0.4983336878678295,1,-0.3535922926269198,0.017774773262054448,Number of days since the first (oldest) checking account inquiry
s209a__tu_binned,-0.0183626879488357,0.0,16.0,19343,0.7731633224078663,0.4903582691412914,1,-0.9997768313124916,0.018358589971867033,Months since most recent non-medical third party collection
addrprevioustimenewest__ln_binned,-0.0565143571358338,1.0,28.0,19046,0.7612918698537053,0.4998949910742413,1,-0.33585704243149206,0.01898074484255823,Time (in months) since the subject was most recently reported at the most previous address on subject's file
g251c__tu_binned,-0.0156574287024116,2.0,51.0,17591,0.7031337437045327,0.4896822238644761,3,-1.4493557921141158,0.022693184979454054,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
all235__tu_binned,-0.0693037227688568,0.0,51.0,16816,0.6721560476456951,0.5030922930542341,1,-0.337559003023066,0.02339409556364226,Aggregate Excess Payment for All accounts over the past 24 months
jt20s__tu_binned,-0.1096801903432477,1.0,38.0,17029,0.6806699176592853,0.5131833930354102,1,-0.21578736071746057,0.02366759879715813,Months since oldest joint trade opened
ENG-bk_binned,-0.0733045224918997,0.0,0.0,20770,0.8302022543768487,0.5040924410207029,1,-0.44064963158277615,0.032301610829406927,
inquirynonshortterm12month__ln_binned,-0.1419467956689383,1.0,1.0,16125,0.6445359341274283,0.5212403100775194,2,-0.235258974940403,0.033394257645149264,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
linka006__tu_binned,-0.0965106194227017,7.0,162.0,13242,0.5292989047885522,0.5098927654432865,6,-0.35999782233175376,0.03474361282406127,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
rev322__tu_binned,-0.0703450457916295,0.0,17.0,19537,0.780917739227756,0.5033526129907355,1,-0.509700609620378,0.035854912723766966,Min Total Open-to-Buy for Revolving accounts over the past 6 months
fi36s__tu_binned,-0.0964379618605545,0.0,0.0,6380,0.2550163882004956,0.5098746081504703,1,-0.39679810509403224,0.03826640052539858,Months since most recent finance installment delinquency
trv01__tu_binned,-0.092707787238753,1.0,3.0,18731,0.7487009353265649,0.5089423949602263,1,-0.5223542063981341,0.04842630263002589,Number of months since overlimit on a bankcard
g095s__tu_binned,-0.1045894674004863,0.0,0.0,17630,0.7046926213126549,0.5119115144639819,1,-0.5657974322640359,0.05917645209705824,Months since most recent public record
in21s__tu_binned,-0.0903072076607367,0.0,16.0,12826,0.5126708769685826,0.5083424294401996,1,-0.7108687954877385,0.06419657593364897,Months since most recent installment trade opened
cv13__tu_binned,-0.1579762934321517,80.0,100.0,5230,0.2090494843712527,0.5252390057361377,5,-0.41459081520482216,0.06549552027707196,Percentage of trades ever delinquent
fltgrossmonthly__income_sum_binned,-0.1091665809718578,0.0,3469.44,10494,0.4194579902470221,0.5130550790928149,1,-0.6013910550404343,0.06565180530582257,
g407s__tu_binned,-0.1698800097696574,4.0,24.0,3953,0.1580062355104325,0.5282064254996205,5,-0.38873882262061477,0.06603895498463515,Number of deduped finance inquiries
miles_odometer__app_binned,-0.1275519600589978,77964.0,150780.0,7395,0.2955871772323927,0.5176470588235295,6,-0.5361780282361353,0.06839055844208772,
rtl_trd__tu_binned,-0.1420956566760395,0.0,0.0,12337,0.4931249500359741,0.5212774580530113,1,-0.49074016786362473,0.06973204640989161,Number of retail trades
au20s__tu_binned,-0.1882734928907371,1.0,37.0,10629,0.424854105044368,0.5327876564117038,1,-0.37501318357425606,0.07060504195160039,Months since oldest auto trade opened
ENG-franchise_binned,-0.1179359280247279,0.0,0.0,8691,0.3473898792869134,0.515245656426188,1,-0.6032741662254173,0.07114769864713855,
ENG-wtd_avg_binned,-0.1500132236570004,0.0,0.3193125282677521,12063,0.4821728355583979,0.523252922158667,1,-0.48883591363834117,0.0733318512442026,
balmag01__tu_binned,-0.1191061067240598,303.0,600.0,10587,0.4231753137740827,0.5155379238688959,6,-0.6735312526626344,0.08022168526162542,Non-mortgage balance magnitude algorithm over last 24 months
g002s__tu_binned,-0.1660761708115241,1.0,33.0,8878,0.3548644975617555,0.5272583915296238,2,-0.48670028555370637,0.0808293197576349,Number of 60 days past due ratings in past 12 months
inquirybanking12month__ln_binned,-0.2025528070327869,1.0,1.0,11351,0.4537133264049884,0.5363404105365166,2,-0.44679979173163864,0.09050055199690799,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
rp01s__tu_binned,-0.1622949085028706,1.0,4.0,3382,0.1351826684786953,0.5263157894736842,2,-0.8024822775788942,0.13023878781484186,Number of repossession trades
linkt003__tu_binned,-0.2536446870910988,2.0,5.0,1326,0.0530018386761531,0.5490196078431373,3,-0.543995128434674,0.13798147413089498,Number of non-military non-corroborated addresses in past 12 months
inquiryshortterm12month__ln_binned,-0.2834732519632968,1.0,1.0,5435,0.2172435846190742,0.55639374425023,2,-0.5213851932033655,0.1477987562428698,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
cv15__tu_binned,-0.3446164652968252,6.0,35.0,1750,0.0699496362618914,0.5714285714285714,5,-0.4801031005372666,0.16545143348519914,Number of deduped auto inquiries
addronfilecount__ln_binned,-0.3483065063842794,18.0,40.0,1265,0.0505635942121672,0.5723320158102767,5,-0.5648848921348156,0.19675308328873814,Total number of addresses found on file in subject's address history
g232s__tu_binned,-0.3805694827055765,33.0,383.0,1334,0.0533216084419218,0.5802098950524738,12,-0.5262401406296823,0.200270938098348,Number of inquiries (includes duplicates)
derogseverityindex__ln_binned,-0.4916330772760267,4.0,5.0,2659,0.1062834758973539,0.6069951109439639,2,-0.6450592827858903,0.31713248022149393,Index indicating severity of derogatory records on subject's file
ENG-loan_to_value_binned,-0.5365074731069304,1.6038259244426645,2.549193,34,0.0013590215045167,0.6176470588235294,8,-0.7812225851321618,0.4191317550833199,
