feature,score,target,diff
derogseverityindex__ln_binned,0.6545816970432274,0.6577389610360123,-0.00315726399278482
balmag01__tu_binned,0.6554373440921296,0.6577389610360123,-0.002301616943882645
ENG-loan_to_value_binned,0.6560454925186447,0.6577389610360123,-0.0016934685173675135
trv01__tu_binned,0.6563247791334152,0.6577389610360123,-0.0014141819025970115
inquiryshortterm12month__ln_binned,0.6563441781235355,0.6577389610360123,-0.0013947829124767441
in21s__tu_binned,0.6563997463484503,0.6577389610360123,-0.0013392146875619293
fltgrossmonthly__income_sum_binned,0.6565094117241854,0.6577389610360123,-0.0012295493118268386
miles_odometer__app_binned,0.6565257342506567,0.6577389610360123,-0.0012132267853555145
rtl_trd__tu_binned,0.6565689582451288,0.6577389610360123,-0.0011700027908834176
g095s__tu_binned,0.656726068958389,0.6577389610360123,-0.0010128920776232286
au20s__tu_binned,0.6567424106727833,0.6577389610360123,-0.0009965503632289874
g232s__tu_binned,0.6567992037267807,0.6577389610360123,-0.0009397573092315703
ENG-wtd_avg_binned,0.6568857188734553,0.6577389610360123,-0.0008532421625569997
g251c__tu_binned,0.6568890511760774,0.6577389610360123,-0.0008499098599348276
cv15__tu_binned,0.6569247215248746,0.6577389610360123,-0.0008142395111376821
inquirybanking12month__ln_binned,0.6569308936400957,0.6577389610360123,-0.0008080673959165452
rev322__tu_binned,0.6569313093784268,0.6577389610360123,-0.0008076516575854509
addronfilecount__ln_binned,0.6570039036869881,0.6577389610360123,-0.0007350573490241263
rp01s__tu_binned,0.6570532870047329,0.6577389610360123,-0.000685674031279393
g002s__tu_binned,0.6570621134492981,0.6577389610360123,-0.0006768475867141577
ENG-franchise_binned,0.6571349444089094,0.6577389610360123,-0.0006040166271028546
ENG-bk_binned,0.6571474549346844,0.6577389610360123,-0.0005915061013278544
linkt003__tu_binned,0.6572005159376647,0.6577389610360123,-0.0005384450983475508
s209a__tu_binned,0.6572157319605783,0.6577389610360123,-0.0005232290754340063
jt20s__tu_binned,0.6572988476469002,0.6577389610360123,-0.00044011338911209563
g407s__tu_binned,0.6573564242077523,0.6577389610360123,-0.0003825368282599495
addrprevioustimenewest__ln_binned,0.6573598972218094,0.6577389610360123,-0.0003790638142028291
in34s__tu_binned,0.657360089101039,0.6577389610360123,-0.0003788719349732128
fi36s__tu_binned,0.6573736805464746,0.6577389610360123,-0.000365280489537656
at24s__tu_binned,0.6574746218132338,0.6577389610360123,-0.00026433922277846467
inquirynonshortterm12month__ln_binned,0.6574856164930942,0.6577389610360123,-0.00025334454291803254
linka006__tu_binned,0.6575146158406728,0.6577389610360123,-0.00022434519533942598
cv13__tu_binned,0.657538229777872,0.6577389610360123,-0.00020073125814024095
all235__tu_binned,0.6575578078552735,0.6577389610360123,-0.00018115318073874676
subjectabilityindex__ln_binned,0.6575833981485382,0.6577389610360123,-0.0001555628874740922
fi25s__tu_binned,0.6575979106142762,0.6577389610360123,-0.0001410504217360664
s068b__tu_binned,0.6576138365903393,0.6577389610360123,-0.00012512444567291947
fi101s__tu_binned,0.657620667490916,0.6577389610360123,-0.00011829354509629297
sourcenonderogcount12month__ln_binned,0.6576610388808402,0.6577389610360123,-7.792215517210543e-05
linka053__tu_binned,0.6576670510967033,0.6577389610360123,-7.190993930894507e-05
addrinputsubjectcount__ln_binned,0.6576745407826351,0.6577389610360123,-6.442025337716206e-05
linkf098__tu_binned,0.6576865460264386,0.6577389610360123,-5.241500957364753e-05
bc97a__tu_binned,0.6577102622992268,0.6577389610360123,-2.8698736785459644e-05
phoneinputproblems__ln_binned,0.6577227024692842,0.6577389610360123,-1.62585667280446e-05
linka025__tu_binned,0.6577269046244142,0.6577389610360123,-1.205641159807147e-05
