accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8549435,2025-01-09 01:55:05+00:00,0.005696516963141822,0.5420356170667474,0.00728700760590474,0.130502932922128,0.27775640912627786,0.08007043957679405,,0.9895846218549764,Franchise,576000.0,35488,0,A1,A,1,1,0,0,1,0,0,0
8556169,2025-01-16 02:48:44+00:00,0.009573278303440676,0.49039470797727525,0.011079456642482301,0.11300919148587639,0.2938038635922092,0.07334307630819765,7.0,1.2251649197860963,Franchise,6871.33,25957,1,A1,A1,1,1,0,0,1,0,0,0
8434345,2024-12-01 00:17:52+00:00,0.008634962915499289,0.5748519233804213,0.01171462709509237,0.17565184107326243,0.27775640912627786,0.10777167847715488,,0.9972985781990521,Franchise,4000.0,25358,0,A1,A,1,1,0,0,1,0,0,0
8481175,2024-12-18 05:26:04+00:00,0.008775071739222302,0.637884031511179,0.013210048405243245,0.25615188476160017,0.2596410016840132,0.1469124777602566,13.0,1.086540771175727,Franchise,11136.36,83682,1,A1,B,1,1,0,0,1,0,0,0
8525037,2024-12-28 03:24:17+00:00,0.012366258303730691,0.5445139148426892,0.015891295341371934,0.09079501996410352,0.3372811670434425,0.06764597676414132,,1.0585412099306748,Franchise,8742.82,14714,0,A1,A1,1,1,0,0,1,0,0,0
8511732,2024-12-28 05:51:57+00:00,0.013067109771749907,0.5807718364449783,0.01791006204043486,0.05004176724343363,0.01,0.0011054026217005516,13.0,0.5263449735449736,Independent,9593.21,52967,1,A1,A1,1,1,0,0,1,0,0,0
8482125,2024-12-13 01:26:43+00:00,0.012911453968733761,0.6154693197030909,0.018753984945613845,0.22539145861154453,0.27775640912627786,0.13828955996452613,,0.9941654978962132,Independent,6250.0,110521,0,A1,B,1,1,0,0,1,0,0,0
8563968,2025-01-14 06:55:19+00:00,0.015715363879995194,0.5097686686478258,0.01890643228891422,0.30469209411883846,0.3501845945669622,0.3029255133495591,,1.1675,Franchise,6000.0,2395,0,A1,C,1,1,0,0,1,0,0,0
8535156,2025-01-01 07:09:16+00:00,0.015641711469955345,0.5739290023978325,0.021186267189001042,0.17511973644210838,0.27775640912627786,0.1074452041921457,,0.9955223880597015,Franchise,7547.15,31256,0,A1,A,1,1,0,0,1,0,0,0
8543777,2025-01-05 04:52:53+00:00,0.015851655578608067,0.5883541794851678,0.022010275234982897,0.11283491298424354,0.31672530923551634,0.07894308950395283,7.0,1.2525612148514131,Franchise,5400.0,76800,1,A1,A,1,1,0,0,1,0,0,0
