reason,rate
Excessive inquiries,0.7438664530815277
Delinquent credit obligations,0.4287159598684765
Excessive account balances,0.424669083551134
"Insufficient credit file, length of credit",0.41446758283449964
Derogatory payments on accounts,0.3632914594047719
Length of residence,0.3304105893263637
Derogatory public record,0.3236657954641261
Dealer application source,0.27029761402917124
"Garnishment, or attachment, or foreclosure, or repossession, or suit",0.22873282185313212
Insufficient credit history,0.22687800354101678
Value or type of collateral not sufficient,0.14728943596661326
High revolving credit balances,0.10201500716634349
Insufficient income,0.07562600118033892
Excessive number of accounts,0.021161790742770425
Insufficient length of credit history ,0.003288087007840823
Unable to verify working phone number,0.0
