feature,frequency,prop
ENG-loan_to_value,5486,0.46252423910294244
rev322__tu,3652,0.30789983981114577
inquirybanking12month__ln,3473,0.29280836354438916
ENG-wtd_avg,3200,0.26979175448950343
au20s__tu,3189,0.2688643453334457
fltgrossmonthly__income_sum,3050,0.25714526599780796
cv15__tu,2951,0.24879858359328894
miles_odometer__app,2929,0.2469437652811736
g232s__tu,2696,0.22729955315740663
rtl_trd__tu,2534,0.21364134558637551
balmag01__tu,2338,0.19711660062389344
trv01__tu,2008,0.1692943259421634
g095s__tu,1976,0.16659640839726836
in21s__tu,1651,0.13919568333192817
g251c__tu,1419,0.11963578113143918
g002s__tu,1289,0.1086754911053031
addrprevioustimenewest__ln,1199,0.10108759801028581
inquiryshortterm12month__ln,1195,0.10075035831717394
cv13__tu,1099,0.09265660568248883
jt20s__tu,1092,0.09206643621954304
linka006__tu,1003,0.08456285304780373
fi36s__tu,988,0.08329820419863418
in34s__tu,970,0.08178062557963073
inquirynonshortterm12month__ln,965,0.08135907596324088
ENG-bk,858,0.0723379141724981
g407s__tu,848,0.0714948149397184
at24s__tu,713,0.06011297529719248
s209a__tu,652,0.05497006997723632
ENG-franchise,598,0.05041733412022595
all235__tu,536,0.04519011887699182
subjectabilityindex__ln,423,0.03566309754658123
derogseverityindex__ln,421,0.03549447770002529
fi101s__tu,397,0.03347103954135402
linkt003__tu,396,0.033386729618076046
fi25s__tu,266,0.022426439591939972
linkf098__tu,219,0.01846387319787539
s068b__tu,194,0.016356125115926143
sourcenonderogcount12month__ln,169,0.014248377033976899
addronfilecount__ln,141,0.011887699182193744
linka025__tu,28,0.0023606778517831547
linka053__tu,25,0.0021077480819492456
rp01s__tu,23,0.0019391282353933058
phoneinputproblems__ln,23,0.0019391282353933058
addrinputsubjectcount__ln,15,0.0012646488491695473
bc97a__tu,8,0.0006744793862237586
