feature,frequency,prop
inquirybanking12month__ln,5437,0.4583930528623219
balmag01__tu,4783,0.40325436303852963
g002s__tu,4635,0.39077649439339013
g232s__tu,4576,0.3858022089199899
ENG-wtd_avg,4309,0.3632914594047719
linkt003__tu,3474,0.2928926734676671
au20s__tu,3323,0.2801618750526937
ENG-franchise,3206,0.27029761402917124
cv15__tu,3172,0.26743107663772026
inquiryshortterm12month__ln,2960,0.24955737290279065
rtl_trd__tu,2909,0.2452575668156142
rp01s__tu,2713,0.22873282185313212
in21s__tu,2691,0.22687800354101678
g095s__tu,2499,0.21069049827164657
derogseverityindex__ln,1411,0.11896130174521541
miles_odometer__app,1385,0.11676924373998819
trv01__tu,1210,0.10201500716634349
fltgrossmonthly__income_sum,897,0.07562600118033892
g407s__tu,881,0.0742770424078914
addronfilecount__ln,602,0.05075457381333783
ENG-loan_to_value,425,0.035831717393137175
rev322__tu,416,0.03507292808363544
cv13__tu,373,0.03144760138268274
linka006__tu,268,0.02259505943849591
ENG-bk,251,0.021161790742770425
fi36s__tu,199,0.016777674732315992
inquirynonshortterm12month__ln,114,0.009611331253688559
g251c__tu,53,0.0044684259337324
jt20s__tu,39,0.003288087007840823
addrprevioustimenewest__ln,31,0.0026136076216170642
all235__tu,27,0.002276367928505185
s209a__tu,25,0.0021077480819492456
linka053__tu,8,0.0006744793862237586
subjectabilityindex__ln,1,8.430992327796982e-05
s068b__tu,1,8.430992327796982e-05
sourcenonderogcount12month__ln,1,8.430992327796982e-05
