feature,rank_race,rank_age,rank_gender,rank_mean,score,target,diff,description
derogseverityindex__ln,2,3,5,3.3333333333333335,0.6545816970432274,0.6577389610360123,-0.0031572639927848,Index indicating severity of derogatory records on subject's file
addronfilecount__ln,1,5,6,4.0,0.6570039036869881,0.6577389610360123,-0.0007350573490241,Total number of addresses found on file in subject's address history
fltgrossmonthly__income_sum,7,4,1,4.0,0.6565094117241854,0.6577389610360123,-0.0012295493118268,
jt20s__tu,3,11,8,7.333333333333333,0.6572988476469002,0.6577389610360123,-0.000440113389112,Months since oldest joint trade opened
at24s__tu,10,9,4,7.666666666666667,0.6574746218132338,0.6577389610360123,-0.0002643392227784,Number of currently open and satisfactory trades 6 months or older
addrprevioustimenewest__ln,16,6,7,9.666666666666666,0.6573598972218094,0.6577389610360123,-0.0003790638142028,Time (in months) since the subject was most recently reported at the most previous address on subject's file
au20s__tu,5,8,18,10.333333333333334,0.6567424106727833,0.6577389610360123,-0.0009965503632289,Months since oldest auto trade opened
sourcenonderogcount12month__ln,20,1,10,10.333333333333334,0.6576610388808402,0.6577389610360123,-7.792215517210543e-05,Total non-derogatory source types on file for subject reported within the last 12 months
rtl_trd__tu,23,7,3,11.0,0.6565689582451288,0.6577389610360123,-0.0011700027908834,Number of retail trades
g095s__tu,18,10,11,13.0,0.656726068958389,0.6577389610360123,-0.0010128920776232,Months since most recent public record
cv13__tu,12,13,15,13.333333333333334,0.657538229777872,0.6577389610360123,-0.0002007312581402,Percentage of trades ever delinquent
balmag01__tu,9,12,21,14.0,0.6554373440921296,0.6577389610360123,-0.0023016169438826,Non-mortgage balance magnitude algorithm over last 24 months
in34s__tu,25,17,2,14.666666666666666,0.657360089101039,0.6577389610360123,-0.0003788719349732,Utilization for open installment trades verified in past 12 months
ENG-loan_to_value,13,24,19,18.666666666666668,0.6560454925186447,0.6577389610360123,-0.0016934685173675,
all235__tu,8,32,17,19.0,0.6575578078552735,0.6577389610360123,-0.0001811531807387,Aggregate Excess Payment for All accounts over the past 24 months
addrinputsubjectcount__ln,6,30,23,19.666666666666668,0.6576745407826351,0.6577389610360123,-6.442025337716206e-05,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
subjectabilityindex__ln,24,2,33,19.666666666666668,0.6575833981485382,0.6577389610360123,-0.000155562887474,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
linka006__tu,17,18,25,20.0,0.6575146158406728,0.6577389610360123,-0.0002243451953394,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi101s__tu,4,21,37,20.666666666666668,0.657620667490916,0.6577389610360123,-0.0001182935450962,Total balance of all finance installment trades verified in past 12 months
miles_odometer__app,26,31,9,22.0,0.6565257342506567,0.6577389610360123,-0.0012132267853555,
linkf098__tu,38,15,14,22.333333333333332,0.6576865460264386,0.6577389610360123,-5.241500957364753e-05,Number of satisfactory trades
linka053__tu,28,14,27,23.0,0.6576670510967033,0.6577389610360123,-7.190993930894507e-05,Number of days since the first (oldest) checking account inquiry
g251c__tu,41,16,13,23.333333333333332,0.6568890511760774,0.6577389610360123,-0.0008499098599348,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
rev322__tu,21,22,30,24.333333333333332,0.6569313093784268,0.6577389610360123,-0.0008076516575854,Min Total Open-to-Buy for Revolving accounts over the past 6 months
cv15__tu,35,29,12,25.333333333333332,0.6569247215248746,0.6577389610360123,-0.0008142395111376,Number of deduped auto inquiries
linka025__tu,11,44,22,25.666666666666668,0.6577269046244142,0.6577389610360123,-1.205641159807147e-05,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linkt003__tu,34,26,20,26.666666666666668,0.6572005159376647,0.6577389610360123,-0.0005384450983475,Number of non-military non-corroborated addresses in past 12 months
