feature,importance,rank
sourcenonderogcount12month__ln,52.506562651184765,1
subjectabilityindex__ln,7.846798710221816,2
derogseverityindex__ln,5.810004588149888,3
fltgrossmonthly__income_sum,3.246457744325717,4
addronfilecount__ln,3.1282370012370517,5
addrprevioustimenewest__ln,2.8627840751836033,6
rtl_trd__tu,2.460004964489426,7
au20s__tu,2.3965450251574607,8
at24s__tu,2.3506409950542837,9
g095s__tu,1.9177160002445497,10
jt20s__tu,1.626842691657257,11
balmag01__tu,1.2574769462771584,12
cv13__tu,1.1693897336512993,13
linka053__tu,1.0893342099282695,14
linkf098__tu,0.9999697030014831,15
g251c__tu,0.9201754465523918,16
in34s__tu,0.8993131943933931,17
linka006__tu,0.6083870685952186,18
ENG-bk,0.6065256627583727,19
inquirybanking12month__ln,0.50367819382795,20
fi101s__tu,0.43996225937526895,21
rev322__tu,0.42079996118920115,22
fi25s__tu,0.3873944408814418,23
ENG-loan_to_value,0.3861056934124691,24
g002s__tu,0.3483032170772427,25
linkt003__tu,0.3473630089995113,26
inquiryshortterm12month__ln,0.33547764594140816,27
in21s__tu,0.30718940552517876,28
cv15__tu,0.2958187568655442,29
addrinputsubjectcount__ln,0.2921511765825037,30
miles_odometer__app,0.28967605844006916,31
all235__tu,0.2875909246632733,32
ENG-franchise,0.2863739296793478,33
bc97a__tu,0.2821236437481209,34
s209a__tu,0.24091378103818603,35
fi36s__tu,0.21751214961370308,36
s068b__tu,0.16596044280172545,37
phoneinputproblems__ln,0.12947791431083694,38
g232s__tu,0.12305394577412705,39
ENG-wtd_avg,0.09657150363399973,40
rp01s__tu,0.06157174049504109,41
trv01__tu,0.035956631518810594,42
g407s__tu,0.015807162541606457,43
linka025__tu,0.0,44
inquirynonshortterm12month__ln,0.0,45
