feature,importance,rank
fltgrossmonthly__income_sum,20.133212286053435,1
in34s__tu,10.216281734936514,2
rtl_trd__tu,8.987958987675809,3
at24s__tu,8.793687791962725,4
derogseverityindex__ln,4.791607499955467,5
addronfilecount__ln,4.727699298966751,6
addrprevioustimenewest__ln,4.068348593281328,7
jt20s__tu,3.5363968655255738,8
miles_odometer__app,2.9913227712660877,9
sourcenonderogcount12month__ln,2.7170886822192513,10
g095s__tu,2.6390665560396482,11
cv15__tu,2.4303706335794537,12
g251c__tu,2.195485092262388,13
linkf098__tu,1.4444737504718184,14
cv13__tu,1.3909143954986098,15
g407s__tu,1.3181210039535443,16
all235__tu,1.2663493434698214,17
au20s__tu,1.1571534114248097,18
ENG-loan_to_value,1.1420484295131947,19
linkt003__tu,1.1380397103220885,20
balmag01__tu,0.9850931700828514,21
linka025__tu,0.9814744180780334,22
addrinputsubjectcount__ln,0.9600302963949152,23
in21s__tu,0.9145766407333765,24
linka006__tu,0.8343682390610285,25
ENG-bk,0.799855685616983,26
linka053__tu,0.7120319262184426,27
ENG-wtd_avg,0.6854409754361068,28
inquirybanking12month__ln,0.6465420694619264,29
rev322__tu,0.6318271826729887,30
fi36s__tu,0.6170613826992926,31
g002s__tu,0.5663278048002922,32
subjectabilityindex__ln,0.5639581833427347,33
bc97a__tu,0.4763439322652971,34
g232s__tu,0.47124859934017266,35
fi25s__tu,0.30361283930067046,36
fi101s__tu,0.26894514455840307,37
rp01s__tu,0.26127776761063704,38
ENG-franchise,0.24194781050386965,39
phoneinputproblems__ln,0.23491302106511597,40
trv01__tu,0.23467979433737896,41
s068b__tu,0.21470009034437842,42
inquirynonshortterm12month__ln,0.18655355931632275,43
s209a__tu,0.12156262838046995,44
inquiryshortterm12month__ln,0.0,45
