feature,importance,rank
addronfilecount__ln,6.2202519846140705,1
derogseverityindex__ln,5.871420281850186,2
jt20s__tu,5.113705830601342,3
fi101s__tu,5.104137085987643,4
au20s__tu,4.9099848190972155,5
addrinputsubjectcount__ln,4.624124830854281,6
fltgrossmonthly__income_sum,4.498565308978498,7
all235__tu,4.185230305890375,8
balmag01__tu,3.8862168247681326,9
at24s__tu,3.882128313225895,10
linka025__tu,3.576542319609231,11
cv13__tu,2.9490445711609383,12
ENG-loan_to_value,2.8846298514500766,13
s068b__tu,2.838115171852682,14
ENG-wtd_avg,2.772682832384845,15
addrprevioustimenewest__ln,2.500202862682093,16
linka006__tu,2.367483549927493,17
g095s__tu,2.293567014603394,18
bc97a__tu,2.216003009855735,19
sourcenonderogcount12month__ln,2.2068196623674305,20
rev322__tu,2.1460456663161454,21
fi36s__tu,2.0449329039677564,22
rtl_trd__tu,1.8452431411660384,23
subjectabilityindex__ln,1.8449794024024966,24
in34s__tu,1.649771080194508,25
miles_odometer__app,1.588171003552525,26
s209a__tu,1.4488273888602696,27
linka053__tu,1.3664124008613105,28
phoneinputproblems__ln,1.3452583857473253,29
in21s__tu,1.1056517468668565,30
g002s__tu,1.02511871599114,31
g232s__tu,1.0208615138736266,32
g407s__tu,1.0156737025582123,33
linkt003__tu,0.8498927170794321,34
cv15__tu,0.821977283406762,35
ENG-bk,0.7718622870545893,36
inquirynonshortterm12month__ln,0.6965772959867165,37
linkf098__tu,0.6406151987047526,38
inquiryshortterm12month__ln,0.5108255153716236,39
fi25s__tu,0.4603116422377715,40
g251c__tu,0.4186128474480192,41
rp01s__tu,0.2023574288854071,42
ENG-franchise,0.15510756777738563,43
trv01__tu,0.12405673192776555,44
inquirybanking12month__ln,0.0,45
