feature,bin,min,max,count,prop,target,bin_label
fltgrossmonthly__income_sum_binned,-0.1120583446565619,0.0,3245.72,8676,0.3467903109760972,0.2962194559704933,1
fltgrossmonthly__income_sum_binned,-0.0881365799115203,3245.83,3776.38,3660,0.1462946678391558,0.2912568306010929,2
fltgrossmonthly__income_sum_binned,0.0345095165170554,3776.64,4116.67,2048,0.0818610600367735,0.2666015625,3
fltgrossmonthly__income_sum_binned,0.0429809954569564,4116.889999999999,4879.9,3880,0.1550883363977936,0.2649484536082474,4
fltgrossmonthly__income_sum_binned,0.0534380853586355,4880.18,5280.26,1529,0.0611159964825325,0.262916939175932,5
fltgrossmonthly__income_sum_binned,0.1215463073269011,5280.9,7252.27,3721,0.1487329123031417,0.249932813759742,6
fltgrossmonthly__income_sum_binned,0.4205465507196068,7253.71,11742.160000000047,1504,0.0601167159645055,0.1981382978723404,7
miles_odometer__app_binned,0.6039820585160945,1.0,9098.0,1442,0.0576385002797985,0.1705963938973647,1
miles_odometer__app_binned,0.3241287926026803,9113.0,25080.0,1309,0.0523223279238947,0.213903743315508,2
miles_odometer__app_binned,0.1388696418964971,25089.0,40725.0,2651,0.1059637061315852,0.2466993587325537,3
miles_odometer__app_binned,0.057591744291193,40730.0,49995.0,2518,0.1006475337756815,0.2621127879269261,4
miles_odometer__app_binned,0.0216243156303555,49997.0,59571.0,3385,0.1353025821408585,0.2691285081240768,5
miles_odometer__app_binned,-0.0265622641228757,59572.0,63273.0,1428,0.0570789031897034,0.2787114845938375,6
miles_odometer__app_binned,-0.0415150130365852,63284.0,73388.0,3404,0.1360620353345591,0.2817273795534665,7
miles_odometer__app_binned,-0.1049747984457218,73392.0,77395.0,1313,0.0524822128067791,0.2947448591012947,8
miles_odometer__app_binned,-0.1480339008089022,77396.0,92101.0,4849,0.1938204492765209,0.3037739740152609,9
miles_odometer__app_binned,-0.1839653383043271,92103.0,96900.0,1339,0.0535214645455272,0.3114264376400298,10
miles_odometer__app_binned,-0.2679280215006448,96901.0,150780.0,1380,0.0551602845950915,0.3297101449275362,11
ENG-int_n_months_binned,-0.1518166218791444,0.0,3.0,9203,0.3678551442961068,0.3045745952406823,1
ENG-int_n_months_binned,-0.1189200341173071,4.0,10.0,2896,0.11575665520825,0.2976519337016574,2
ENG-int_n_months_binned,-0.1089375415753378,11.0,15.0,1783,0.0712686865456871,0.2955692652832305,3
ENG-int_n_months_binned,0.0452540477648038,16.0,21.0,1913,0.0764649452394276,0.2645060115002614,4
ENG-int_n_months_binned,0.118378168729887,22.0,39.0,4742,0.1895435286593652,0.2505272037115141,5
ENG-int_n_months_binned,0.2605673111129359,40.0,48.0,1517,0.0606363418338796,0.2247857613711272,6
ENG-int_n_months_binned,0.3668067725417386,49.0,82.0,2964,0.1184746982172835,0.2068151147098515,7
ENG-int_n_months_total_binned,-0.1752218359795485,0.0,15.0,11607,0.4639459589095851,0.3095545791332816,1
ENG-int_n_months_total_binned,-0.0547540012239254,16.0,22.0,1758,0.07026940602766,0.2844141069397042,2
ENG-int_n_months_total_binned,0.0127471801604613,23.0,39.0,4179,0.1670397313933967,0.2708782005264417,3
ENG-int_n_months_total_binned,0.2021226374286679,40.0,48.0,1833,0.0732672475817411,0.2351336606655755,4
ENG-int_n_months_total_binned,0.2678095032014208,49.0,75.0,3749,0.149852106483332,0.2235262736729794,5
ENG-int_n_months_total_binned,0.5195631140275235,76.0,164.0,1892,0.0756255496042849,0.1828752642706131,6
ENG-wtd_avg_binned,-0.1690830550282767,0.0,0.1207757860711137,10456,0.4179390838596211,0.3082440703902065,1
ENG-wtd_avg_binned,-0.0329627312212681,0.1207843137254902,0.3219696969696969,1625,0.0649532336717563,0.28,2
ENG-wtd_avg_binned,0.0447214847929751,0.3220779220779221,0.603988603988604,2139,0.0854984411223918,0.2646096306685367,3
ENG-wtd_avg_binned,0.1354841177503263,0.6043010752688172,0.8068965517241379,1872,0.0748261251898633,0.2473290598290598,4
ENG-wtd_avg_binned,0.1809388906578315,0.8070175438596491,1.0,8926,0.3567831161563674,0.2389648218686982,5
ENG-closed_auto_binned,-0.0853122917799178,0.0,0.0,11377,0.4547525781437365,0.290674167179397,1
ENG-closed_auto_binned,0.0737554810868203,1.0,1.0,13641,0.5452474218562635,0.258998607140239,2
ENG-open_and_closed_auto_binned,-0.0621867941726233,0.0,0.0,18606,0.7437045327364298,0.2859292701279157,1
ENG-open_and_closed_auto_binned,0.1914665429046216,1.0,1.0,6412,0.2562954672635702,0.2370555208983156,2
ENG-3mo_bad_binned,0.1018375351220242,0.0,0.0,14469,0.5783435926133184,0.2536457253438385,1
ENG-3mo_bad_binned,-0.1325177998750792,1.0,1.0,10549,0.4216564073866816,0.3005024172907384,2
