feature,importance,importance_abs,description
linkt001__tu_binned,-0.018049659103134812,0.018049659103134812,Number of non-military addresses in last 7 years
au20s__tu_binned,-0.016538776457415947,0.016538776457415947,Months since oldest auto trade opened
rtl_trd__tu_binned,-0.012721109086620318,0.012721109086620318,Number of retail trades
rev326__tu_binned,-0.01270543015798586,0.01270543015798586,Average Total Open-to-Buy for Revolving accounts over the past 6 months
br109s__tu_binned,-0.01181701935902077,0.01181701935902077,Number of bank revolving trades with past due amount > $50 verified in past 12 months
miles_odometer__app_binned,0.011778162545769072,0.011778162545769072,
fltgrossmonthly__income_sum_binned,-0.010691907380009665,0.010691907380009665,
balmag01__tu_binned,-0.009710431455341064,0.009710431455341064,Non-mortgage balance magnitude algorithm over last 24 months
ENG-loan_to_value_binned,0.007731797685329164,0.007731797685329164,
int_n_months_open__tu_pmthx_binned,-0.006529799362764976,0.006529799362764976,
rp01s__tu_binned,-0.0055210882837453965,0.0055210882837453965,Number of repossession trades
jt20s__tu_binned,-0.005160688544345305,0.005160688544345305,Months since oldest joint trade opened
trv10__tu_binned,-0.004990778572011252,0.004990778572011252,Number of months non-mortgage balance decreases last 12 months
trv13__tu_binned,-0.004962005471781969,0.004962005471781969,Number of revolving high credit increases YOY
cv15__tu_binned,-0.004517489508690657,0.004517489508690657,Number of deduped auto inquiries
linkt003__tu_binned,-0.0040050017591771936,0.0040050017591771936,Number of non-military non-corroborated addresses in past 12 months
g002s__tu_binned,0.003728892958761704,0.003728892958761704,Number of 60 days past due ratings in past 12 months
flt_wtd_avg_closed__tu_pmthx_binned,-0.0029971198969923644,0.0029971198969923644,
co01s__tu_binned,0.0029867994577362318,0.0029867994577362318,Number of charged-off trades
g407s__tu_binned,0.002769031983329315,0.002769031983329315,Number of deduped finance inquiries
g232s__tu_binned,0.0024775910719906117,0.0024775910719906117,Number of inquiries (includes duplicates)
linkf098__tu_binned,-0.002359291779625678,0.002359291779625678,Number of satisfactory trades
st20s__tu_binned,-0.0020837097455764703,0.0020837097455764703,Months since oldest student loan trade opened
per235__tu_binned,-0.0017947955815022284,0.0017947955815022284,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
linka006__tu_binned,-0.001469767908465695,0.001469767908465695,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
in30s__tu_binned,-0.0013385249431919113,0.0013385249431919113,Percentage of open installment trades > 50% of credit line verified in past 12 months
linka003__tu_binned,0.00113002887165776,0.00113002887165776,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi25s__tu_binned,-0.0007917528624913448,0.0007917528624913448,Number of currently open and satisfactory finance installment trades 12 months or older
in21s__tu_binned,-0.000641816982846699,0.000641816982846699,Months since most recent installment trade opened
fi36s__tu_binned,-0.0005413052987842185,0.0005413052987842185,Months since most recent finance installment delinquency
aut252__tu_binned,-0.0003540777041744291,0.0003540777041744291,Average Aggregate Excess Payment for Auto accounts over the past 3 months
s068b__tu_binned,0.0002923194750553416,0.0002923194750553416,Number of non-medical third party collections
flt_wtd_avg_open__tu_pmthx_binned,-0.00024180278299688846,0.00024180278299688846,
