feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,2.14714080533484,0.1854616840113528,0.7759759036144578,95,0.0037972659685026,0.0421052631578947,1,-0.9108385169925096,-1.9556985469052883,
ENG-loan_to_value_binned,1.0342990275627653,0.77687531267473,0.8940861650385376,178,0.0071148772883523,0.1179775280898876,2,-0.9108385169925096,-0.942079392392064,
ENG-loan_to_value_binned,0.6243896472613216,0.8946856721979117,1.0126953143068598,942,0.0376528899192581,0.167728237791932,3,-0.9108385169925096,-0.5687181403369784,
ENG-loan_to_value_binned,0.2153595363460108,1.0128205128205128,1.1309217704824708,3089,0.1234711008074186,0.2327614114600194,4,-0.9108385169925096,-0.19615776070559496,
ENG-loan_to_value_binned,0.0417811710015797,1.1309614730878188,1.2491331034482758,6422,0.256695179470781,0.2651821862348178,5,-0.9108385169925096,-0.0380558998332893,
ENG-loan_to_value_binned,-0.1034032771581637,1.2491410256410256,1.367298065110565,7435,0.2971860260612359,0.294418291862811,6,-0.9108385169925096,0.09418368761890727,
ENG-loan_to_value_binned,-0.1190047618472189,1.3673736808442598,1.603363687307369,6823,0.2727236389799344,0.29766964678294,7,-0.9108385169925096,0.10839412079596766,
ENG-loan_to_value_binned,-0.4178085521266969,1.6038259244426645,1.7079161125319695,22,0.0008793668558637,0.3636363636363636,8,-0.9108385169925096,0.38055612200586825,
ENG-loan_to_value_binned,-1.2651064125139004,1.7448547263681593,2.148742,7,0.0002797985450475,0.5714285714285714,9,-0.9108385169925096,1.1523076486118753,
ENG-loan_to_value_binned,-1.3828894481702836,2.388451,2.549193,5,0.0001998561036054,0.6,10,-0.9108385169925096,1.2595889741360111,
au20s__tu_binned,0.5922503391999676,133.0,374.0,1370,0.0547605723878807,0.1722627737226277,6,-0.46036241850527687,-0.2726497985146677,Months since oldest auto trade opened
