feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,2.14714080533484,0.1854616840113528,0.7759759036144578,95,0.0037972659685026,0.0421052631578947,1,-0.9108385169925096,-1.9556985469052883,
miles_odometer__app_binned,0.6039820585160945,1.0,9098.0,1442,0.0576385002797985,0.1705963938973647,1,-0.6826298487984692,-0.4122961812818298,
linkt001__tu_binned,0.4427367774168985,0.0,0.0,2461,0.0983691741945799,0.1946363266964648,1,-0.7304937784330396,-0.32341646138653785,Number of non-military addresses in last 7 years
au20s__tu_binned,0.5922503391999676,133.0,374.0,1370,0.0547605723878807,0.1722627737226277,6,-0.46036241850527687,-0.2726497985146677,Months since oldest auto trade opened
balmag01__tu_binned,0.3920629027413897,0.0,95.0,1258,0.0502837956671196,0.2027027027027027,1,-0.6808600506655478,-0.26693996782458435,Non-mortgage balance magnitude algorithm over last 24 months
rtl_trd__tu_binned,0.5169626501490205,6.0,188.0,1446,0.0577983851626828,0.1832641770401106,6,-0.5097797365506477,-0.26353708359949235,Number of retail trades
g232s__tu_binned,0.3026478078024636,0.0,2.0,1779,0.0711088016628027,0.2175379426644182,1,-0.8490044967218473,-0.256949349747301,Number of inquiries (includes duplicates)
int_n_months_open__tu_pmthx_binned,0.5817814468856474,40.0,82.0,1997,0.0798225277799984,0.1737606409614421,5,-0.38427995187637215,-0.22356694641178274,
in21s__tu_binned,0.3293517561758016,84.0,456.0,1305,0.0521624430410104,0.2130268199233716,6,-0.6697290901776104,-0.22057645201201778,Months since most recent installment trade opened
linkf098__tu_binned,0.2789036945977446,3.0,175.0,1444,0.0577184427212407,0.2216066481994459,2,-0.7349073491722679,-0.20496837487118025,Number of satisfactory trades
fltgrossmonthly__income_sum_binned,0.4205465507196068,7253.71,11742.160000000047,1504,0.0601167159645055,0.1981382978723404,7,-0.45218847934952067,-0.19016630526558506,
rev326__tu_binned,0.3303293790064903,274.0,53330.0,4167,0.1665600767447438,0.212862970962323,4,-0.574869345020351,-0.18989623375044037,Average Total Open-to-Buy for Revolving accounts over the past 6 months
jt20s__tu_binned,0.566822986834768,135.0,470.0,1279,0.0511231913022623,0.1759186864738076,6,-0.2918363523988976,-0.16541955293370703,Months since oldest joint trade opened
br109s__tu_binned,0.2314914514296855,0.0,0.0,7286,0.2912303141737948,0.2298929453746911,1,-0.6803667185430634,-0.15749907917998607,Number of bank revolving trades with past due amount > $50 verified in past 12 months
st20s__tu_binned,0.2865005910986188,197.0,506.0,1271,0.0508034215364937,0.2202989771833202,4,-0.3400243018910465,-0.09741716347968003,Months since oldest student loan trade opened
linka006__tu_binned,0.1626303430220645,0.0,1.0,2926,0.1169557918298824,0.2423103212576896,1,-0.5749241135031533,-0.09350010579067417,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g407s__tu_binned,0.1104556316405929,0.0,0.0,7682,0.3070589175793429,0.2520177037229888,1,-0.8120759032598522,-0.08969835683467199,Number of deduped finance inquiries
co01s__tu_binned,0.0795378946547322,0.0,0.0,10931,0.4369254137021344,0.2578904034397585,1,-1.0590465128824496,-0.08423432997610576,Number of charged-off trades
trv13__tu_binned,0.1940609715444089,2.0,14.0,1957,0.0782236789511551,0.2365866121614716,3,-0.3710941047206124,-0.07201488249648466,Number of revolving high credit increases YOY
per235__tu_binned,0.1917017329336483,6.0,43155.0,2156,0.0861779518746502,0.237012987012987,2,-0.3301543424900816,-0.06329115959091787,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
cv15__tu_binned,0.1474082135125349,0.0,1.0,9828,0.3928371572467823,0.2451159951159951,1,-0.42365856793384965,-0.062450752638407686,Number of deduped auto inquiries
in30s__tu_binned,0.2637365348807015,0.0,97.0,2872,0.1147973459109441,0.224233983286908,1,-0.226321813167629,-0.05968933077274799,Percentage of open installment trades > 50% of credit line verified in past 12 months
trv10__tu_binned,0.317263349432751,12.0,12.0,3227,0.1289871292669278,0.2150604276417725,4,-0.18172063892286652,-0.05765329856572817,Number of months non-mortgage balance decreases last 12 months
fi36s__tu_binned,0.143946748306264,17.0,999.0,7483,0.2991046446558478,0.2457570493117733,4,-0.3268256491972091,-0.04704548946502199,Months since most recent finance installment delinquency
aut252__tu_binned,0.2403146600279642,101.0,55201.0,1327,0.0530418098968742,0.228334589299171,3,-0.18415596180229202,-0.04425537735264057,Average Aggregate Excess Payment for Auto accounts over the past 3 months
g002s__tu_binned,0.0587133791704516,0.0,0.0,16140,0.6451355024382445,0.2618959107806691,1,-0.7400293283421832,-0.04344962255220922,Number of 60 days past due ratings in past 12 months
flt_wtd_avg_closed__tu_pmthx_binned,0.227126331948201,0.8069727891156463,1.0,6000,0.2398273243264849,0.2306666666666666,4,-0.17497294014512738,-0.03974096208535491,
rp01s__tu_binned,0.0378667872815434,0.0,0.0,21636,0.8648173315213047,0.2659456461453133,1,-1.0250833462438518,-0.03881661301806864,Number of repossession trades
fi25s__tu_binned,0.2495240819192867,1.0,4.0,4327,0.1729554720601167,0.2267159694938756,2,-0.15165984257418816,-0.037842782982347854,Number of currently open and satisfactory finance installment trades 12 months or older
linkt003__tu_binned,0.0697052092188566,0.0,0.0,18539,0.7410264609481173,0.2597766869841955,1,-0.35738527176592694,-0.024911615140181864,Number of non-military non-corroborated addresses in past 12 months
s068b__tu_binned,0.0805381802661057,0.0,0.0,3442,0.1375809417219602,0.257699012202208,1,-0.24851085253099606,-0.02001461183922497,Number of non-medical third party collections
linka003__tu_binned,0.0192635208963348,0.0,0.0,19318,0.7721640418898393,0.2695931255823584,1,-0.3004890299860117,-0.00578847670825491,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
flt_wtd_avg_open__tu_pmthx_binned,0.1925078595391728,0.8064125831820932,1.0,6282,0.2510992085698297,0.2368672397325692,3,-0.028511839108958856,-0.005488753118390945,
