feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
flt_wtd_avg_open__tu_pmthx_binned,-0.0951711063915544,0.0,0.0476190476190476,15599,0.6235110720281397,0.2927110712225143,1,-0.028511839108958856,0.0027135032732576053,
s068b__tu_binned,-0.0125754468036065,1.0,18.0,21576,0.8624190582780398,0.2759084167593622,2,-0.24851085253099606,0.0031251350061224405,Number of non-medical third party collections
aut252__tu_binned,-0.0219870762594491,0.0,0.0,22398,0.8952754017107682,0.2777926600589338,1,-0.18415596180229202,0.0040490511757791895,Average Aggregate Excess Payment for Auto accounts over the past 3 months
per235__tu_binned,-0.0172082022860799,0.0,5.0,22862,0.9138220481253496,0.276834922578952,1,-0.3301543424900816,0.005681362711197029,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
in30s__tu_binned,-0.0318694333858883,100.0,100.0,22146,0.8852026540890559,0.2797796441795358,2,-0.226321813167629,0.0072127479485192105,Percentage of open installment trades > 50% of credit line verified in past 12 months
fi25s__tu_binned,-0.0486162718012716,0.0,0.0,20691,0.8270445279398833,0.2831665941713788,1,-0.15165984257418816,0.007373136127924794,Number of currently open and satisfactory finance installment trades 12 months or older
trv13__tu_binned,-0.0311430556049347,0.0,0.0,20180,0.806619234151411,0.2796333002973241,1,-0.3710941047206124,0.011557004337977492,Number of revolving high credit increases YOY
linkf098__tu_binned,-0.0159139356808233,0.0,2.0,23574,0.9422815572787592,0.2765758886909307,1,-0.7349073491722679,0.011695268286091822,Number of satisfactory trades
st20s__tu_binned,-0.0387094707034189,1.0,115.0,19793,0.7911503717323527,0.2811600060627494,1,-0.3400243018910465,0.013162160752501928,Months since oldest student loan trade opened
flt_wtd_avg_closed__tu_pmthx_binned,-0.1077234060011926,0.0,0.1241830065359477,14327,0.5726676792709249,0.2953165352132337,1,-0.17497294014512738,0.018848681070475926,
linka003__tu_binned,-0.0640791184177212,1.0,9.0,5700,0.2278359581101607,0.2863157894736842,2,-0.3004890299860117,0.019255072135699818,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
trv10__tu_binned,-0.1147843536702872,0.0,5.0,13481,0.5388520265408906,0.2967880721014762,1,-0.18172063892286652,0.02085868608731287,Number of months non-mortgage balance decreases last 12 months
jt20s__tu_binned,-0.1050082207677993,1.0,36.0,16882,0.6747941482132864,0.2947518066579789,1,-0.2918363523988976,0.030645216120772714,Months since oldest joint trade opened
int_n_months_open__tu_pmthx_binned,-0.0902416923460353,0.0,12.0,18403,0.7355903749300504,0.2916915720263001,1,-0.38427995187637215,0.03467807319197683,
linka006__tu_binned,-0.0672575846703647,7.0,162.0,13242,0.5292989047885522,0.286965715148769,5,-0.5749241135031533,0.0386680072429727,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fi36s__tu_binned,-0.1516790380606502,0.0,0.0,6380,0.2550163882004956,0.3045454545454545,1,-0.3268256491972091,0.049572600083780186,Months since most recent finance installment delinquency
fltgrossmonthly__income_sum_binned,-0.1120583446565619,0.0,3245.72,8676,0.3467903109760972,0.2962194559704933,1,-0.45218847934952067,0.050671492468675215,
rev326__tu_binned,-0.09331006418892,0.0,41.0,16875,0.6745143496682389,0.2923259259259259,1,-0.574869345020351,0.05364109548409136,Average Total Open-to-Buy for Revolving accounts over the past 6 months
br109s__tu_binned,-0.0882551120007139,1.0,11.0,17732,0.7087696858262051,0.2912812993458155,2,-0.6803667185430634,0.06004584094657625,Number of bank revolving trades with past due amount > $50 verified in past 12 months
rtl_trd__tu_binned,-0.1366411606961095,0.0,0.0,12337,0.4931249500359741,0.3013698630136986,1,-0.5097797365506477,0.06965689490163741,Number of retail trades
g002s__tu_binned,-0.1029447382525634,1.0,33.0,8878,0.3548644975617555,0.2943230457310205,2,-0.7400293283421832,0.07618212550540635,Number of 60 days past due ratings in past 12 months
balmag01__tu_binned,-0.115666012319273,299.0,600.0,12550,0.5016388200495643,0.2969721115537848,7,-0.6808600506655478,0.07875236700798209,Non-mortgage balance magnitude algorithm over last 24 months
linkt003__tu_binned,-0.2329253188191238,2.0,5.0,1326,0.0530018386761531,0.3220211161387632,3,-0.35738527176592694,0.08324407836733773,Number of non-military non-corroborated addresses in past 12 months
au20s__tu_binned,-0.1892049207160376,1.0,40.0,11003,0.4398033415940522,0.3125511224211578,1,-0.46036241850527687,0.08710283489393422,Months since oldest auto trade opened
in21s__tu_binned,-0.1411231540635564,0.0,0.0,2074,0.0829003117755216,0.3023143683702989,1,-0.6697290901776104,0.09451428157398038,Months since most recent installment trade opened
co01s__tu_binned,-0.1035118807721339,4.0,43.0,3094,0.123670956911024,0.2944408532643827,5,-1.0590465128824496,0.10962389637363229,Number of charged-off trades
cv15__tu_binned,-0.2782711354419625,6.0,35.0,1750,0.0699496362618914,0.332,5,-0.42365856793384965,0.11789195073866816,Number of deduped auto inquiries
linkt001__tu_binned,-0.1766968871060351,8.0,19.0,1307,0.0522423854824526,0.3098699311400153,8,-0.7304937784330396,0.12907597669944382,Number of non-military addresses in last 7 years
g407s__tu_binned,-0.1904138962100055,6.0,24.0,1608,0.0642737229194979,0.3128109452736318,4,-0.8120759032598522,0.15463053675796798,Number of deduped finance inquiries
miles_odometer__app_binned,-0.2679280215006448,96901.0,150780.0,1380,0.0551602845950915,0.3297101449275362,11,-0.6826298487984692,0.18289566480585817,
rp01s__tu_binned,-0.2287570831165433,1.0,4.0,3382,0.1351826684786953,0.3211117681845062,2,-1.0250833462438518,0.23449507623808913,Number of repossession trades
g232s__tu_binned,-0.2883839414548278,32.0,383.0,1460,0.058357982252778,0.3342465753424657,8,-0.8490044967218473,0.24483926307751877,Number of inquiries (includes duplicates)
ENG-loan_to_value_binned,-1.3828894481702836,2.388451,2.549193,5,0.0001998561036054,0.6,10,-0.9108385169925096,1.2595889741360111,
