reason,rate
Excessive inquiries,0.6482983682983683
Value or type of collateral not sufficient,0.6377622377622377
Delinquent credit obligations,0.5552447552447553
Insufficient credit history,0.5160839160839161
"Insufficient credit file, length of credit",0.48755244755244753
Length of residence,0.42787878787878786
Excessive account balances,0.33995337995337993
"Garnishment, or attachment, or foreclosure, or repossession, or suit",0.09883449883449884
Insufficient length of credit history ,0.0565967365967366
Insufficient income,0.03878787878787879
Derogatory payments on accounts,0.013333333333333334
High revolving credit balances,0.00344988344988345
