feature,frequency,prop
rev326__tu,7534,0.7024708624708624
br109s__tu,5798,0.5406060606060606
balmag01__tu,4848,0.452027972027972
au20s__tu,4102,0.3824708624708625
rtl_trd__tu,4029,0.37566433566433566
fltgrossmonthly__income_sum,3700,0.34498834498834496
ENG-loan_to_value,3502,0.32652680652680655
miles_odometer__app,3441,0.32083916083916086
linkt001__tu,2229,0.20783216783216782
co01s__tu,2203,0.2054079254079254
g232s__tu,2154,0.20083916083916084
jt20s__tu,1742,0.16242424242424242
int_n_months_open__tu_pmthx,873,0.0813986013986014
fi36s__tu,835,0.07785547785547786
g407s__tu,709,0.06610722610722611
trv13__tu,666,0.0620979020979021
linka006__tu,666,0.0620979020979021
trv10__tu,658,0.061351981351981354
g002s__tu,641,0.059766899766899764
per235__tu,485,0.04522144522144522
st20s__tu,428,0.03990675990675991
linkf098__tu,417,0.03888111888111888
cv15__tu,382,0.035617715617715616
rp01s__tu,325,0.030303030303030304
aut252__tu,302,0.02815850815850816
in30s__tu,220,0.020512820512820513
flt_wtd_avg_open__tu_pmthx,179,0.01668997668997669
s068b__tu,175,0.016317016317016316
flt_wtd_avg_closed__tu_pmthx,162,0.015104895104895105
in21s__tu,89,0.0082983682983683
fi25s__tu,68,0.00634032634032634
linkt003__tu,51,0.004755244755244755
linka003__tu,12,0.0011188811188811189
