feature,frequency,prop
ENG-loan_to_value,5689,0.5304428904428904
in21s__tu,5517,0.5144055944055944
g232s__tu,4432,0.41324009324009325
linkt001__tu,3792,0.3535664335664336
au20s__tu,3679,0.343030303030303
co01s__tu,3466,0.32317016317016317
g407s__tu,3162,0.29482517482517484
balmag01__tu,3125,0.2913752913752914
miles_odometer__app,2934,0.27356643356643356
cv15__tu,2932,0.27337995337995336
br109s__tu,2687,0.25053613053613055
rtl_trd__tu,2612,0.24354312354312355
g002s__tu,1908,0.1779020979020979
linkt003__tu,1646,0.15347319347319346
rp01s__tu,1060,0.09883449883449884
int_n_months_open__tu_pmthx,1045,0.09743589743589744
linka006__tu,746,0.06955710955710956
jt20s__tu,607,0.0565967365967366
rev326__tu,518,0.0482983682983683
st20s__tu,507,0.04727272727272727
fltgrossmonthly__income_sum,416,0.03878787878787879
linkf098__tu,348,0.03244755244755245
fi36s__tu,296,0.0275990675990676
linka003__tu,167,0.015571095571095572
flt_wtd_avg_closed__tu_pmthx,143,0.013333333333333334
in30s__tu,45,0.004195804195804196
fi25s__tu,43,0.004009324009324009
trv13__tu,37,0.00344988344988345
per235__tu,27,0.0025174825174825175
s068b__tu,18,0.0016783216783216783
aut252__tu,16,0.0014918414918414918
trv10__tu,5,0.0004662004662004662
