feature,rank_race,rank_age,rank_gender,rank_mean,score,target,diff,description
st20s__tu,1,1,1,1.0,0.6481416269200158,0.6482345514049178,-9.292448490205718e-05,Months since oldest student loan trade opened
fltgrossmonthly__income_sum,2,3,2,2.3333333333333335,0.6474559127446003,0.6482345514049178,-0.0007786386603174,
au20s__tu,7,4,9,6.666666666666667,0.6470584824275086,0.6482345514049178,-0.0011760689774091,Months since oldest auto trade opened
jt20s__tu,10,6,5,7.0,0.6477734757778666,0.6482345514049178,-0.0004610756270512,Months since oldest joint trade opened
rtl_trd__tu,13,5,3,7.0,0.6465315497687263,0.6482345514049178,-0.0017030016361915,Number of retail trades
ENG-loan_to_value,6,12,11,9.666666666666666,0.6412898093833623,0.6482345514049178,-0.0069447420215554,
linka006__tu,5,13,16,11.333333333333334,0.6478320341277517,0.6482345514049178,-0.0004025172771661,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
linkt001__tu,8,2,25,11.666666666666666,0.6454082363875361,0.6482345514049178,-0.0028263150173817,Number of non-military addresses in last 7 years
miles_odometer__app,20,11,4,11.666666666666666,0.6452557522459834,0.6482345514049178,-0.0029787991589343,
in21s__tu,22,8,7,12.333333333333334,0.6461965221760897,0.6482345514049178,-0.0020380292288281,Months since most recent installment trade opened
fi36s__tu,3,17,19,13.0,0.6477836657832649,0.6482345514049178,-0.0004508856216529,Months since most recent finance installment delinquency
g002s__tu,4,10,27,13.666666666666666,0.6474151044672598,0.6482345514049178,-0.000819446937658,Number of 60 days past due ratings in past 12 months
s068b__tu,12,15,14,13.666666666666666,0.6481964937051985,0.6482345514049178,-3.805769971931827e-05,Number of non-medical third party collections
linkf098__tu,26,7,8,13.666666666666666,0.6475494967247215,0.6482345514049178,-0.0006850546801963,Number of satisfactory trades
rev326__tu,11,18,15,14.666666666666666,0.646785157850985,0.6482345514049178,-0.0014493935539328,Average Total Open-to-Buy for Revolving accounts over the past 6 months
g232s__tu,14,22,12,16.0,0.6469710590978491,0.6482345514049178,-0.0012634923070686,Number of inquiries (includes duplicates)
trv10__tu,9,14,26,16.333333333333332,0.6481921748157756,0.6482345514049178,-4.237658914219011e-05,Number of months non-mortgage balance decreases last 12 months
cv15__tu,25,20,6,17.0,0.6475266637134148,0.6482345514049178,-0.0007078876915029,Number of deduped auto inquiries
balmag01__tu,21,9,23,17.666666666666668,0.6463775656776811,0.6482345514049178,-0.0018569857272366,Non-mortgage balance magnitude algorithm over last 24 months
flt_wtd_avg_open__tu_pmthx,16,21,17,18.0,0.648221852100637,0.6482345514049178,-1.269930428082766e-05,
flt_wtd_avg_closed__tu_pmthx,18,16,21,18.333333333333332,0.648151776712291,0.6482345514049178,-8.277469262685244e-05,
co01s__tu,15,19,22,18.666666666666668,0.6468574811529135,0.6482345514049178,-0.0013770702520042,Number of charged-off trades
g407s__tu,19,28,13,20.0,0.647372953071607,0.6482345514049178,-0.0008615983333107,Number of deduped finance inquiries
int_n_months_open__tu_pmthx,24,27,10,20.333333333333332,0.6475125649924496,0.6482345514049178,-0.0007219864124682,
linka003__tu,17,30,20,22.333333333333332,0.6481808668855547,0.6482345514049178,-5.368451936316188e-05,"Number of other inquiries in the last 2 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
trv13__tu,30,25,18,24.333333333333332,0.6480348932486348,0.6482345514049178,-0.0001996581562829,Number of revolving high credit increases YOY
br109s__tu,32,24,24,26.666666666666668,0.6464595682783444,0.6482345514049178,-0.0017749831265734,Number of bank revolving trades with past due amount > $50 verified in past 12 months
aut252__tu,27,23,30,26.666666666666668,0.6482198977428535,0.6482345514049178,-1.4653662064323392e-05,Average Aggregate Excess Payment for Auto accounts over the past 3 months
per235__tu,23,26,33,27.333333333333332,0.6481845182371339,0.6482345514049178,-5.003316778395828e-05,Aggregate Excess Payment for Personal Loan accounts over the past 24 months
fi25s__tu,28,29,29,28.666666666666668,0.6481580982152451,0.6482345514049178,-7.645318967275383e-05,Number of currently open and satisfactory finance installment trades 12 months or older
linkt003__tu,31,32,28,30.333333333333332,0.6478911474187358,0.6482345514049178,-0.000343403986182,Number of non-military non-corroborated addresses in past 12 months
in30s__tu,29,33,32,31.333333333333332,0.6480725407744983,0.6482345514049178,-0.0001620106304195,Percentage of open installment trades > 50% of credit line verified in past 12 months
rp01s__tu,33,31,31,31.666666666666668,0.6452428237269008,0.6482345514049178,-0.002991727678017,Number of repossession trades
