feature,importance,rank
st20s__tu,17.642496495820804,1
linkt001__tu,10.643963187028534,2
fltgrossmonthly__income_sum,10.539779476833862,3
au20s__tu,9.69990935516676,4
rtl_trd__tu,8.144308688374693,5
jt20s__tu,6.468244486014872,6
linkf098__tu,4.641157375758526,7
in21s__tu,3.4265689850328114,8
balmag01__tu,2.866238419882616,9
g002s__tu,2.494702503374016,10
miles_odometer__app,2.4382019581875003,11
ENG-loan_to_value,2.1891651302170247,12
linka006__tu,1.8594705242338865,13
trv10__tu,1.8367689331894925,14
s068b__tu,1.7304686006958707,15
flt_wtd_avg_closed__tu_pmthx,1.3849648699491135,16
fi36s__tu,1.3480517183263199,17
rev326__tu,1.2398194511633471,18
co01s__tu,1.124396049381841,19
cv15__tu,1.0862203918338325,20
flt_wtd_avg_open__tu_pmthx,0.9994594540477653,21
g232s__tu,0.8830839572806782,22
aut252__tu,0.8572804503930931,23
br109s__tu,0.7312408895414984,24
trv13__tu,0.6818185739010002,25
per235__tu,0.6128390531635154,26
int_n_months_open__tu_pmthx,0.575222105590867,27
g407s__tu,0.5288873216571739,28
fi25s__tu,0.4233727070700498,29
linka003__tu,0.35346126056906413,30
rp01s__tu,0.29295076568282474,31
linkt003__tu,0.16428929415957075,32
in30s__tu,0.09119756647717786,33
