feature,importance,rank
st20s__tu,27.040571143070476,1
fltgrossmonthly__income_sum,22.699312510134295,2
rtl_trd__tu,13.018093290328695,3
miles_odometer__app,4.117457901661368,4
jt20s__tu,3.814887859423897,5
cv15__tu,2.5723078047357966,6
in21s__tu,2.423420942410462,7
linkf098__tu,1.8881447669523552,8
au20s__tu,1.8800996809788353,9
int_n_months_open__tu_pmthx,1.7893125717819416,10
ENG-loan_to_value,1.4789794829667398,11
g232s__tu,1.2971469166051912,12
g407s__tu,1.2265763158036755,13
s068b__tu,1.211757628464228,14
rev326__tu,1.1624185060376029,15
linka006__tu,1.1361119568396805,16
flt_wtd_avg_open__tu_pmthx,1.1031363342007865,17
trv13__tu,0.9756131467958651,18
fi36s__tu,0.9700107023331916,19
linka003__tu,0.9347695003158433,20
flt_wtd_avg_closed__tu_pmthx,0.931249917827359,21
co01s__tu,0.9205200349771964,22
balmag01__tu,0.9120829834555408,23
br109s__tu,0.8694909679608358,24
linkt001__tu,0.619403260960152,25
trv10__tu,0.6038716935295099,26
g002s__tu,0.5487638857874899,27
linkt003__tu,0.5357720770455648,28
fi25s__tu,0.31450346114757705,29
aut252__tu,0.31196279271431215,30
rp01s__tu,0.3053505118254444,31
in30s__tu,0.2650917272086993,32
per235__tu,0.12180772371936219,33
