feature,importance,rank
st20s__tu,7.019478926457223,1
fltgrossmonthly__income_sum,5.817248335250886,2
fi36s__tu,5.723520206801386,3
g002s__tu,5.25339817841543,4
linka006__tu,5.211661725936174,5
ENG-loan_to_value,5.035334892651522,6
au20s__tu,4.726449361643423,7
linkt001__tu,4.595618900039189,8
trv10__tu,4.51928877730721,9
jt20s__tu,4.2010784387174676,10
rev326__tu,3.9214646231393475,11
s068b__tu,3.861431021791596,12
rtl_trd__tu,3.500204812510853,13
g232s__tu,3.464764617218242,14
co01s__tu,3.41124869142945,15
flt_wtd_avg_open__tu_pmthx,3.1462278397782004,16
linka003__tu,3.1394004406360114,17
flt_wtd_avg_closed__tu_pmthx,2.928198233366326,18
g407s__tu,2.9245161737910568,19
miles_odometer__app,2.8107843020165246,20
balmag01__tu,2.340517112158081,21
in21s__tu,2.145862766020177,22
per235__tu,1.6884329124260744,23
int_n_months_open__tu_pmthx,1.6746908211358522,24
cv15__tu,1.6081149222575897,25
linkf098__tu,1.1973081125592762,26
aut252__tu,0.9754112108414271,27
fi25s__tu,0.8802107093663555,28
in30s__tu,0.7790250243603649,29
trv13__tu,0.6779266735601177,30
linkt003__tu,0.5556855272175276,31
br109s__tu,0.21597715869328413,32
rp01s__tu,0.0495185505063306,33
