feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-bk_binned,0.11541549475170745,1.0,1.0,11786,0.2162489449928443,0.12311216697777023,2,-1.3682380986605194,-0.15791587709503935,
ENG-bk_binned,-0.030195784972212883,0.0,0.0,42716,0.7837510550071557,0.13971345631613447,1,-1.3682380986605194,0.04131502341794244,
ENG-loan_to_value_binned,2.414812152561342,0.18546168401135288,0.6562609649122807,72,0.001321052438442626,0.013888888888888888,1,-0.9033636180171778,-2.181453442969663,
ENG-loan_to_value_binned,1.3301861058679723,0.6586869659779401,0.7759759036144578,150,0.002752192580088804,0.04,2,-0.9033636180171778,-1.2016417332330722,
ENG-loan_to_value_binned,0.30755972417778477,0.77687531267473,0.8940861650385376,366,0.006715349895416682,0.10382513661202186,3,-0.9033636180171778,-0.2778382651896089,
ENG-loan_to_value_binned,0.1571176235327746,0.8946856721979117,1.1309289201699322,7912,0.14516898462441746,0.11868048533872598,4,-0.9033636180171778,-0.14193434484882814,
ENG-loan_to_value_binned,-0.03162412801620596,1.1309614730878188,2.549193,46002,0.8440424204616345,0.1398852223816356,5,-0.9033636180171778,0.028568086701358214,
ENG-wtd_avg_binned,0.1610239983684425,0.9239130434782609,1.0,16741,0.30716303988844446,0.11827250462935308,3,-0.8785256609025597,-0.14146371458780863,
ENG-wtd_avg_binned,-0.03569938362071108,0.8263157894736842,0.9238310708898945,2764,0.050713735275769695,0.14037626628075253,2,-0.8785256609025597,0.031362824589199215,
ENG-wtd_avg_binned,-0.06805820825036152,0.0,0.8262108262108262,34997,0.6421232248357859,0.14432665657056318,1,-0.8785256609025597,0.05979088238299289,
addrinputsubjectcount__ln_binned,0.07522774680916842,0.0,0.0,2831,0.0519430479615427,0.12751677852348994,1,-0.24422371694690181,-0.018372399943275546,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,0.05366654317463031,1.0,2.0,13830,0.25375215588418776,0.1299349240780911,2,-0.24422371694690181,-0.013106642649799598,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,0.020237590540292116,3.0,3.0,8104,0.14869179112693112,0.13376110562685095,3,-0.24422371694690181,-0.004942499583799599,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addrinputsubjectcount__ln_binned,-0.03643238048567751,4.0,83.0,29737,0.5456130050273384,0.1404647408951811,4,-0.24422371694690181,0.008897651379435934,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
addronfilecount__ln_binned,0.12157292198553399,0.0,3.0,9261,0.16992036989468276,0.12244897959183673,1,-0.1300609972719393,-0.015811895474702225,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,0.07456104307871173,4.0,4.0,4342,0.07966680121830391,0.12759097190234914,2,-0.1300609972719393,-0.009697483620453274,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,0.056813261903912164,5.0,6.0,9253,0.16977358629041137,0.12957959580676537,3,-0.1300609972719393,-0.007389189501494692,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,0.000356227440390281,7.0,7.0,4512,0.08278595280907122,0.13608156028368795,4,-0.1300609972719393,-4.633129615279025e-05,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,-0.009785031903402753,8.0,10.0,11779,0.21612050933910681,0.13727820697852108,5,-0.1300609972719393,0.0012726510076943045,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,-0.04346089957884838,11.0,15.0,10749,0.1972221202891637,0.14131547120662388,6,-0.1300609972719393,0.005652567941560627,Total number of addresses found on file in subject's address history
addronfilecount__ln_binned,-0.26067019085399246,16.0,42.0,4606,0.08451066015926022,0.16977854971775944,7,-0.1300609972719393,0.03390302498153701,Total number of addresses found on file in subject's address history
addrprevioustimenewest__ln_binned,0.2643159198539151,135.0,523.0,3132,0.05746578107225423,0.10791826309067688,5,-0.3268338246467259,-0.08638738300087255,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,0.18388598641414705,72.0,134.0,3520,0.06458478587941727,0.1159090909090909,4,-0.3268338246467259,-0.060100160238671554,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,0.08711148738419858,31.0,71.0,6664,0.1222707423580786,0.12620048019207683,3,-0.3268338246467259,-0.028470980592442633,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,-0.0026392990308957216,18.0,30.0,3870,0.07100656856629114,0.13643410852713178,2,-0.3268338246467259,0.0008626121966540458,Time (in months) since the subject was most recently reported at the most previous address on subject's file
addrprevioustimenewest__ln_binned,-0.050218144858734985,1.0,17.0,37316,0.6846721221239588,0.14213742094543896,1,-0.3268338246467259,0.01641298835084367,Time (in months) since the subject was most recently reported at the most previous address on subject's file
