feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,2.050205705154605,0.18546168401135288,0.6562609649122807,69,0.0013686131386861315,0.043478260869565216,1,-0.8799190005783134,-1.8040149550595963,
balmag01__tu_binned,0.5758607242431938,0.0,110.0,3314,0.06573310060298318,0.1656608328304164,1,-0.6667043325180212,-0.3839288397799028,Non-mortgage balance magnitude algorithm over last 24 months
rtl_trd__tu_binned,0.3894036864749731,5.0,188.0,4900,0.09719136781973976,0.19306122448979593,5,-0.7331483412459232,-0.28549066681417407,Number of retail trades
in21s__tu_binned,0.2760291064844169,70.0,456.0,4850,0.09619961916851794,0.211340206185567,5,-0.8332494349353045,-0.2300010970038374,Months since most recent installment trade opened
g232s__tu_binned,0.44683825676337413,0.0,2.0,3484,0.06910504601713742,0.18427095292766935,1,-0.4434954686842235,-0.198170742109314,Number of inquiries (includes duplicates)
g251c__tu_binned,0.23457022989154505,0.0,0.0,6371,0.12636861313868614,0.21833307173128239,1,-0.8261086920655034,-0.19378050581320874,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
ENG-bk_binned,0.2291054937111794,1.0,1.0,10152,0.20136464614408126,0.21926713947990545,2,-0.7276409904072301,-0.16670654835173998,
ENG-wtd_avg_binned,0.24216274689708583,0.9113725490196078,1.0,15845,0.3142851475721993,0.21704007573366993,4,-0.6502973135539645,-0.15747778375002355,
rev322__tu_binned,0.24860447912365205,256.0,74473.0,5932,0.11766105998095842,0.21594740391099124,3,-0.5958351140056383,-0.14812727816095353,Min Total Open-to-Buy for Revolving accounts over the past 6 months
linka006__tu_binned,0.3471298541085419,0.0,1.0,5983,0.1186726436052047,0.19973257563095437,1,-0.4234823488347856,-0.14700336596856178,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
trv01__tu_binned,0.2560011505107432,20.0,999.0,10750,0.2132259600126944,0.21469767441860466,4,-0.5616526130345033,-0.14378371512419807,Number of months since overlimit on a bankcard
g095s__tu_binned,0.1623331656736349,1.0,118.0,16188,0.3210885433195811,0.23091178650852484,2,-0.8797668645331728,-0.14281534017443784,Months since most recent public record
addrprevioustimenewest__ln_binned,0.3457419865850948,97.0,523.0,4396,0.08719454141542367,0.19995450409463147,4,-0.3791102865901091,-0.13107434362050893,Time (in months) since the subject was most recently reported at the most previous address on subject's file
cv13__tu_binned,0.23992561479201546,0.0,18.0,7451,0.14779038400507774,0.2174204804724198,1,-0.5264882876077162,-0.12631802608507675,Percentage of trades ever delinquent
s209a__tu_binned,0.135196687432984,45.0,83.0,2617,0.05190812440495081,0.2357661444401987,3,-0.8217691028871711,-0.11110046054512053,Months since most recent non-medical third party collection
all235__tu_binned,0.2122850934338544,12968.0,796020.0,3583,0.07106870834655665,0.22216020094892547,4,-0.5127002195260845,-0.1088386140056525,Aggregate Excess Payment for All accounts over the past 24 months
cv15__tu_binned,0.20520434273813565,0.0,1.0,20619,0.40897730879086003,0.22338619719676028,1,-0.5185249705795572,-0.10640357578108915,Number of deduped auto inquiries
in34s__tu_binned,0.2288313153876202,0.0,60.0,4432,0.08790860044430339,0.21931407942238268,1,-0.4267160464241636,-0.09764599420024617,Utilization for open installment trades verified in past 12 months
fi25s__tu_binned,0.17370412357989692,1.0,4.0,9170,0.1818867026340844,0.22889858233369684,2,-0.5496564905219075,-0.09547759895610985,Number of currently open and satisfactory finance installment trades 12 months or older
fi101s__tu_binned,0.15035862293545305,0.0,33.0,3008,0.05966359885750555,0.23304521276595744,1,-0.6062433301697441,-0.09115391228812592,Total balance of all finance installment trades verified in past 12 months
fi36s__tu_binned,0.2620605421716535,59.0,999.0,9870,0.1957711837511901,0.21367781155015197,5,-0.33954440864013247,-0.08898119181958658,Months since most recent finance installment delinquency
