feature,score
g407s__tu_binned,0.6301550223391583
rp01s__tu_binned,0.6305808305684648
revs121__tu_binned,0.6310040029211325
linkt003__tu_binned,0.6312447809123678
miles_odometer__app_binned,0.6314600510895156
jt20s__tu_binned,0.6316935233439254
au20s__tu_binned,0.6320085624895991
linkt004__tu_binned,0.6322015418674551
inquirynonshortterm12month__ln_binned,0.6323067901386002
ENG-franchise_binned,0.6323879211762469
linkt002__tu_binned,0.632528390570668
in34s__tu_binned,0.6325824986840334
br36s__tu_binned,0.6326388898401567
fi101s__tu_binned,0.6326749826706677
linka024__tu_binned,0.6327583759961382
fi25s__tu_binned,0.6327797950881954
linka025__tu_binned,0.6327840290947648
