feature,bin,min,max,count,prop,target,bin_label
miles_odometer__app_binned,0.21051473488861536,0.0,20620.0,4242,0.07926008968609866,0.08981612446958982,1
miles_odometer__app_binned,0.038237177015568585,20625.0,50694.0,12494,0.2334454409566517,0.10493036657595646,2
miles_odometer__app_binned,-0.0171706104540036,50696.0,74675.0,19211,0.3589499252615845,0.11024933631773463,3
miles_odometer__app_binned,-0.04925185070442349,74677.0,96782.0,14625,0.273262331838565,0.11343589743589744,4
miles_odometer__app_binned,-0.07460636562673467,96785.0,150780.0,2948,0.05508221225710015,0.11601085481682497,5
au20s__tu_binned,-0.11009461728799148,0.0,51.0,24812,0.46360239162929745,0.11970014509108495,1
au20s__tu_binned,-0.04751804688339869,52.0,75.0,8370,0.156390134529148,0.11326164874551971,2
au20s__tu_binned,-0.02863955044068044,76.0,83.0,3313,0.061902092675635276,0.11137941442801087,3
au20s__tu_binned,0.051583291949359567,84.0,102.0,6597,0.12326233183856503,0.10368349249658936,4
au20s__tu_binned,0.29880557316197387,103.0,131.0,6795,0.12696188340807174,0.0828550404709345,5
au20s__tu_binned,0.3891201751508385,132.0,374.0,3633,0.0678811659192825,0.07624552711257913,6
rtl_trd__tu_binned,-0.11648261395495345,0.0,0.0,24540,0.4585201793721973,0.12037489812550937,1
rtl_trd__tu_binned,-0.0361864717577397,1.0,1.0,11139,0.20812780269058295,0.11212855732112398,2
rtl_trd__tu_binned,0.07264081166733419,2.0,2.0,6369,0.11900224215246637,0.1017428167687235,3
rtl_trd__tu_binned,0.19579015475394038,3.0,5.0,7701,0.14389013452914798,0.09102713933255421,4
rtl_trd__tu_binned,0.5017455068065496,6.0,188.0,3771,0.07045964125560539,0.0686820472023336,5
ENG-loan_to_value_binned,2.1573124907923957,0.18546168401135288,0.6562609649122807,72,0.0013452914798206279,0.013888888888888888,1
ENG-loan_to_value_binned,0.8687033905238916,0.6586869659779401,0.7759759036144578,144,0.0026905829596412557,0.04861111111111111,2
ENG-loan_to_value_binned,0.32642943822513193,0.77687531267473,0.8940861650385376,359,0.006707772795216741,0.0807799442896936,3
ENG-loan_to_value_binned,0.3114201361007257,0.8946856721979117,1.0126953143068598,1746,0.032623318385650225,0.08190148911798396,4
ENG-loan_to_value_binned,0.10953042570813508,1.0127916120576672,1.1309289201699322,6015,0.11238789237668162,0.09842061512884455,5
