feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
linkf098__tu_binned,-0.004830275429171204,0.0,1.0,48714,0.9102017937219731,0.1090446278277292,1,-0.22564078809449228,0.0010899071545516525,Number of satisfactory trades
s068b__tu_binned,-0.013299779289979238,1.0,28.0,46919,0.8766629297458894,0.1098702018372088,2,-0.14048230028466052,0.0018683835879345725,Number of non-medical third party collections
addrinputsubjectcount__ln_binned,-0.03384516044979357,83.0,83.0,17561,0.3281203288490284,0.11189567792266955,4,-0.06455573378648707,0.002184899167957815,"Total number of unique subjects on file currently reported at the input address, if the address has been designated as a single family dwelling unit"
at24s__tu_binned,-0.019921545966778413,0.0,2.0,39251,0.7333893871449926,0.1105194772107717,1,-0.36266456863258806,0.007224838874535968,Number of currently open and satisfactory trades 6 months or older
in34s__tu_binned,-0.03958070678398888,85.0,589.0,42697,0.7977765321375186,0.1124669180504485,4,-0.28889382275221553,0.0114346216900611,Utilization for open installment trades verified in past 12 months
ENG-franchise_binned,-0.04165218650095262,0.0,0.0,19197,0.3586883408071749,0.11267385528988905,1,-0.3166131823273666,0.013187631318959591,
bc97a__tu_binned,-0.03992464245687438,0.0,3.0,39884,0.7452167414050822,0.11250125363554307,1,-0.4350920599660271,0.017370894929968583,Total open to buy of open credit cards verified in past 3 months
s209a__tu_binned,-0.024044017278169315,0.0,14.0,41280,0.7713004484304933,0.11092538759689922,1,-0.8303123993352093,0.019964045675893993,Months since most recent non-medical third party collection
fi36s__tu_binned,-0.08865363932386042,0.0,2.0,31943,0.5968423019431988,0.11745922424318317,1,-0.2346717603931908,0.02080450560539333,Months since most recent finance installment delinquency
linka053__tu_binned,-0.05983512090690794,0.0,1093.0,29239,0.5463191330343796,0.11450460002052054,1,-0.3936709927042538,0.023555351446001502,Number of days since the first (oldest) checking account inquiry
fi25s__tu_binned,-0.04207335944810275,0.0,0.0,43756,0.8175635276532137,0.11271597038120486,1,-0.5631699648064329,0.023694452359676425,Number of currently open and satisfactory finance installment trades 12 months or older
addrprevioustimenewest__ln_binned,-0.06619620401557887,1.0,10.0,33608,0.6279521674140508,0.1151511544870269,1,-0.4361993042374091,0.028874738134753088,Time (in months) since the subject was most recently reported at the most previous address on subject's file
ENG-loan_to_value_binned,-0.03007713631073348,1.1309614730878188,2.549193,45184,0.8442451420029895,0.1115217776203966,6,-0.977066823714749,0.029387372041563907,
rev322__tu_binned,-0.06929454812442402,0.0,0.0,38643,0.7220291479820627,0.11546722562948011,1,-0.47175633692347174,0.032690142191945507,Min Total Open-to-Buy for Revolving accounts over the past 6 months
inquirybanking12month__ln_binned,-0.16030653421549756,1.0,1.0,24214,0.4524289985052317,0.1250929214504006,2,-0.21290327974963916,0.03412978689977718,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
all235__tu_binned,-0.08938994949728996,0.0,29.0,33241,0.621094917787743,0.1175355735387022,1,-0.39023815837386117,0.03488336926895489,Aggregate Excess Payment for All accounts over the past 24 months
fi101s__tu_binned,-0.032965282789350306,9326.0,291954.0,38888,0.7266068759342302,0.11180826990331208,4,-1.0665951973832106,0.03516061230350045,Total balance of all finance installment trades verified in past 12 months
ENG-bk_binned,-0.05354913832814019,0.0,0.0,42145,0.7874626307922272,0.11386878633289833,1,-0.6895793938080409,0.036926382347261845,
subjectabilityindex__ln_binned,-0.11157110112767028,1.0,1.0,23303,0.43540732436472346,0.11985581255632322,1,-0.33959531445215346,0.0378890231712242,"Modeled risk index indicating the subject's ability to fulfill a credit obligation on the basis of their time on file, post-secondary education history, asset ownership, and outstanding financial obligations on file"
miles_odometer__app_binned,-0.07460636562673467,96785.0,150780.0,2948,0.05508221225710015,0.11601085481682497,5,-0.5162631889869398,0.03851652023718365,
addronfilecount__ln_binned,-0.22460785430810104,16.0,42.0,4588,0.08572496263079223,0.1323016564952049,4,-0.17487457767725792,0.039278203665124245,Total number of addresses found on file in subject's address history
au20s__tu_binned,-0.11009461728799148,0.0,51.0,24812,0.46360239162929745,0.11970014509108495,1,-0.44483678930008963,0.04897413607361227,Months since oldest auto trade opened
trv01__tu_binned,-0.08708614410940888,1.0,1.0,35943,0.6715807174887892,0.1172968310936761,1,-0.5694158907689709,0.04958823432169403,Number of months since overlimit on a bankcard
inquirynonshortterm12month__ln_binned,-0.1364677189689079,1.0,1.0,34047,0.6361547085201794,0.1225071225071225,2,-0.3682637109165382,0.05025610860780527,"Indicates subject has one or more LexisNexis credit inquiries on file in the last 12 months, excluding personal finance credit and collection inquiries
NOTE: This attribute indicates the subject has any LexisNexis credit inquiry on file, excluding any short-term or collection inquiries. This will include auto, banking, and telecom inquiries returned in other attributes as well as other credit-related inquiries not categorically classified in the attributes."
g251c__tu_binned,-0.06447822586506995,3.0,53.0,30702,0.5736547085201794,0.11497622304735848,4,-0.874722465951368,0.05640055272886327,Number of 60 days past due or worse items in the past 24 months (excluding medical collection items)
in21s__tu_binned,-0.06374547783766997,0.0,25.0,33768,0.6309417040358745,0.11490168206586117,1,-0.8948016641812446,0.05703955965317574,Months since most recent installment trade opened
linka006__tu_binned,-0.14877919791187028,11.0,162.0,20632,0.38550074738415546,0.12383675843350135,8,-0.43849202885006344,0.06523849234306112,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
g095s__tu_binned,-0.07877017428517791,0.0,0.0,36019,0.6730007473841555,0.11643854632277409,1,-0.9380145620607518,0.07388757053556025,Months since most recent public record
balmag01__tu_binned,-0.12016450128110236,302.0,600.0,22109,0.41309790732436474,0.12076529919942106,5,-0.6185299513057817,0.07432534312608378,Non-mortgage balance magnitude algorithm over last 24 months
ENG-wtd_avg_binned,-0.12328262348808036,0.0,0.6153846153846154,29687,0.5546898355754858,0.12109677636675986,1,-0.6493727747896881,0.08005637929780712,
g002s__tu_binned,-0.172299512945861,1.0,37.0,19927,0.3723281016442451,0.12641140161589803,2,-0.470496165936092,0.08106626023368364,Number of 60 days past due ratings in past 12 months
rtl_trd__tu_binned,-0.11648261395495345,0.0,0.0,24540,0.4585201793721973,0.12037489812550937,1,-0.7580020525780421,0.0882940604675104,Number of retail trades
rp01s__tu_binned,-0.19431611693360876,1.0,5.0,6472,0.12092675635276533,0.1288627935723115,2,-0.4573614402826448,0.08887269911088613,Number of repossession trades
cv13__tu_binned,-0.16336501864168262,80.0,100.0,10221,0.19097533632286995,0.1254280403091674,7,-0.5819554020769967,0.09507115510893648,Percentage of trades ever delinquent
linkt003__tu_binned,-0.18577454551098002,1.0,7.0,12814,0.23942451420029895,0.12790697674418605,2,-0.5955901249687666,0.11064548477690041,Number of non-military non-corroborated addresses in past 12 months
g407s__tu_binned,-0.2767939438981486,6.0,31.0,3757,0.07019805680119581,0.1384083044982699,5,-0.426007013236285,0.11791616132194212,Number of deduped finance inquiries
g232s__tu_binned,-0.38452914332921095,32.0,383.0,3176,0.059342301943198804,0.1517632241813602,10,-0.4475129215421679,0.1720817603493622,Number of inquiries (includes duplicates)
cv15__tu_binned,-0.39642711884269355,6.0,35.0,3529,0.06593796711509715,0.1533012184754888,5,-0.45775983627453887,0.18146841301621855,Number of deduped auto inquiries
inquiryshortterm12month__ln_binned,-0.3242150912886618,1.0,1.0,11286,0.21087443946188342,0.14416090731880205,2,-0.6159039281576016,0.19968534829266224,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
derogseverityindex__ln_binned,-0.4325844126589832,4.0,5.0,4973,0.09291853512705531,0.15805348883973458,3,-0.6195587357637515,0.2680114518181046,Index indicating severity of derogatory records on subject's file
