accountid,request_datetime,pd_gen12,lgd_gen12,ecnl_gen12,pd_gen13,lgd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,miles_odometer__app,ENG-bk,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13,funded
8556169,2025-01-16 02:48:44+00:00,0.0095732783034406,0.4903947079772752,0.0110794566424823,0.1130091914858763,0.2938038635922092,0.0783579875087581,7.0,1.2251649197860963,Franchise,6871.33,25957,1,A1,A,1,1,0,0,1,0,0,0,1
8481175,2024-12-18 05:26:04+00:00,0.0087750717392223,0.637884031511179,0.0132100484052432,0.2561518847616001,0.2596410016840132,0.1569577753848895,13.0,1.086540771175727,Franchise,11136.36,83682,1,A1,B,1,1,0,0,1,0,0,0,1
8511732,2024-12-28 05:51:57+00:00,0.0130671097717499,0.5807718364449783,0.0179100620404348,0.0500417672434336,0.01,0.001180985706945,13.0,0.5263449735449736,Independent,9593.21,52967,1,A1,A1,1,1,0,0,1,0,0,0,1
8502808,2024-12-28 02:20:26+00:00,0.0171641086392313,0.5849892556811708,0.0236963331640154,0.0658399451988036,0.1617987878136479,0.0251406630420049,13.0,0.847233113027893,Franchise,8757.08,32,1,A1,A1,1,1,0,0,1,0,0,0,1
8522841,2025-01-06 23:32:45+00:00,0.0197192107249708,0.5510267483580933,0.0256433176556861,0.0930545395868071,0.2938038635922092,0.0645218884827395,13.0,1.2457401490947817,Franchise,13446.13,39634,1,A1,A1,1,1,0,0,1,0,0,0,1
8538912,2025-01-08 21:58:45+00:00,0.0198972697334032,0.6312616549321042,0.029642504872471,0.2263351547503796,0.3167253092355163,0.1691791296348705,7.0,1.279982876712329,Franchise,5769.91,7664,1,A1,B,1,1,0,0,1,0,0,0,1
8461326,2024-12-10 06:07:22+00:00,0.0228852445523441,0.6426890484941131,0.0347111066683266,0.0409143026026288,0.01,0.000965577541422,13.0,0.5257844380403458,Franchise,7826.71,14053,1,A1,A1,1,1,0,0,1,0,0,0,1
8505302,2024-12-31 03:52:23+00:00,0.0252369948808913,0.6181450698565215,0.0368162925541367,0.2093007530778468,0.3501845945669622,0.1729736024875365,,1.1773176404035324,Independent,17730.12,56516,0,A1,B,1,1,0,0,1,0,0,0,1
8559376,2025-01-15 04:04:35+00:00,0.0310748809134885,0.5562681488335155,0.0407948808950849,0.3688133612771445,0.3900425741564863,0.3394928742453909,,1.3846963151207117,Franchise,12954.08,47541,0,A1,D,1,1,0,0,1,0,0,0,1
8552113,2025-01-16 01:56:01+00:00,0.0282470998056096,0.6135426545061716,0.0409006894085294,0.2015364099899459,0.2596410016840132,0.1234919922627912,7.0,1.0689757929987054,Franchise,3973.99,10,1,A1,A,1,1,0,0,1,0,0,0,1
8531529,2025-01-10 00:43:43+00:00,0.0317539135096904,0.5721188037171755,0.0428741459847865,0.1980832814826551,0.2938038635922092,0.1373464148538001,7.0,1.2398924364655532,Franchise,4537.87,45952,1,A1,B,1,1,0,0,1,0,0,0,1
8462293,2024-12-06 22:43:47+00:00,0.0300031280123659,0.6081922496514889,0.043064501016917,0.2042290822404102,0.3501845945669622,0.1687821929370123,,1.2372033898305084,Independent,9542.95,73647,0,A1,B,1,1,0,0,1,0,0,0,1
8426320,2024-12-05 03:15:49+00:00,0.0302415101949044,0.6045167789831772,0.0431443407896809,0.3094576428312655,0.2596410016840132,0.1896210259778207,7.0,1.0840147305283585,Franchise,3536.46,20295,1,A1,B,1,1,0,0,1,0,0,0,1
8421355,2024-12-03 04:28:04+00:00,0.0301720139581828,0.6091935481269204,0.043378207120076,0.1463033937687738,0.2899966430839025,0.1001288836327551,7.0,1.194013189797304,Franchise,7670.61,48350,1,A1,A,1,1,0,0,1,0,0,0,1
8408652,2025-01-09 21:39:14+00:00,0.0340326343293722,0.5758258244383815,0.0462486125404289,0.1719733706890888,0.3555088501813138,0.1442858104501394,7.0,1.458175945017182,Independent,6416.8,66551,1,A1,B,1,1,0,0,1,0,0,0,1
