accountid,request_datetime,response_model_name,Debtors,ENG-wtd_avg,ENG-bk,amtfinanced__app,bookvalue__app,ENG-loan_to_value,PD,LGD,ECNL,Tier
7997830,2024-07-25 19:30:32+00:00,PRESTIGE-GEN-XII,1,[0.631578947368421],0,16933.88,14750.0,1.1480596610169491,0.7679047927490971,0.3501845945669622,0.6346238912950924,Decline
8010271,2024-08-24 02:03:02+00:00,PRESTIGE-GEN-XII,1,[1.0],1,21049.9,16428.0,1.2813428293158025,0.23789437196574134,0.31672530923551634,0.17781931772192255,B
8015927,2024-07-27 04:28:36+00:00,PRESTIGE-GEN-XII,2,"[0.0, 1.0]",0,14648.87,12600.0,1.1626087301587302,0.47040151954660725,0.3501845945669622,0.38875658235842336,Decline
8016497,2024-08-12 23:57:03+00:00,PRESTIGE-GEN-XII,1,[1.0],0,17862.9,18775.0,0.9514194407456725,0.411927472388524,0.27775640912627786,0.27002056950059694,C
8028278,2024-08-02 22:58:15+00:00,PRESTIGE-GEN-XII,1,[1.0],0,23759.89,17741.0,1.3392644157601037,0.36168911893069783,0.39004257415648635,0.33293500578140534,D
8038160,2024-08-09 21:56:32+00:00,PRESTIGE-GEN-XII,1,[0.05507246376811594],0,18786.69,16591.0,1.1323422337411848,0.5011707417266171,0.3372811670434425,0.39892366827189146,Decline
8038696,2024-08-26 22:00:19+00:00,PRESTIGE-GEN-XII,1,[1.0],0,21689.37,14675.0,1.4779809199318568,0.34941357984504334,0.3904153872148606,0.32194279385306634,C
8059731,2024-08-13 23:10:44+00:00,PRESTIGE-GEN-XII,1,[0.026124818577648767],0,16416.44,15302.0,1.072829695464645,0.499847011486447,0.3372811670434425,0.397870000770489,Decline
8066225,2024-09-11 04:28:50+00:00,PRESTIGE-GEN-XII,1,[0.0],0,19990.9,12625.0,1.5834376237623764,0.428229334299362,0.41688126579694246,0.42130905716447614,Decline
8073273,2024-08-28 04:53:12+00:00,PRESTIGE-GEN-XII,1,[0.0],0,38203.83,28389.18,1.3457179812872369,0.677982192998159,0.39004257415648635,0.6240829307026575,Decline
8094053,2024-08-28 01:41:10+00:00,PRESTIGE-GEN-XII,1,[0.9811738648947951],0,24480.5,19886.0,1.2310419390525997,0.30858853051365376,0.3501845945669622,0.2550285606924148,B
8096743,2024-08-21 04:38:51+00:00,PRESTIGE-GEN-XII,1,[0.0],0,14998.16,10751.0,1.3950479025206957,0.6458204540051773,0.39004257415648635,0.5944780346824925,Decline
8107357,2024-08-19 22:37:23+00:00,PRESTIGE-GEN-XII,1,[0.08637873754152824],0,18356.5,16655.0,1.1021615130591413,0.621572508850458,0.3372811670434425,0.49476149480179904,Decline
8108510,2024-08-23 21:17:39+00:00,PRESTIGE-GEN-XII,1,[1.0],0,23002.53,18584.0,1.237759900990099,0.32172448549720895,0.3501845945669622,0.2658845820980069,C
8111420,2024-08-21 23:24:10+00:00,PRESTIGE-GEN-XII,1,[0.0],1,16659.85,13815.0,1.2059247195077814,0.6647091123679317,0.2938038635922092,0.4608940886936052,Decline
8114040,2024-08-21 02:17:59+00:00,PRESTIGE-GEN-XII,1,[0.057971014492753624],0,27198.63,22275.0,1.2210383838383838,0.6773610467421841,0.3501845945669622,0.5597953123281211,Decline
8303975,2024-10-16 23:15:37+00:00,PRESTIGE-GEN-XII,1,[1.0],0,20301.46,15800.0,1.2849025316455696,0.4738904889473868,0.39004257415648635,0.4362164201784627,Decline
8311925,2024-10-26 04:11:16+00:00,PRESTIGE-GEN-XII,1,[0.09935064935064936],0,25001.44,17725.0,1.4105184767277856,0.4493351561374072,0.39004257415648635,0.4136132246628648,Decline
