feature,importance,description
linka006__tu,0.0012587285268366166,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
fltadvance__app,0.0008862817880384011,
bi09s__tu,0.0008114419195287548,Number of bank installment trades opened in past 24 months
balmag01__tu,0.0006633061823773101,Non-mortgage balance magnitude algorithm over last 24 months
au20s__tu,0.0006355408131158979,Months since oldest auto trade opened
fltdowncash__app,0.0005358730997124805,Cash Down
ENG-6mo_bad,0.0005187323082953554,
linka025__tu,0.000484748722111239,"Number of other inquiries in the last 3 years.  
Inquiries that do not fall into the other specified categories (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
cv15__tu,0.00042772766684362473,Number of deduped auto inquiries
g232s__tu,0.0004145637351925524,Number of inquiries (includes duplicates)
g213b__tu,0.00039811346960139105,Highest balance of non-medical third party collections verified in 24 months
linkf145__tu,0.0003788342203895345,Number of distinct bank accounts
linkf156__tu,0.00036877243595156983,Number of distinct email addresses within last 18 months
cv13__tu,0.00034740745879391355,Percentage of trades ever delinquent
fltgrossmonthly__income_sum,0.00030672510732909775,
bkc325__tu,0.0003000221305702322,Average Total Open-to-Buy for Bankcard accounts over the past 3 months
linkf058__tu,0.000295574077315619,Number of trades opened within last 12 months STOREFRONT LENDER
linka029__tu,0.0002889926240745577,Number of checking account inquiries in the last 3 years
miles_odometer__app,0.0002730864737645611,
subjectrecordtimeoldest__ln,0.0002586906376468301,Time (in months) since the oldest recorded event on file for subject
bkc320__tu,0.00024081084765203986,Number of months since Min Total Open-to-Buy for Bankcard accounts
in57s__tu,0.000239693293017873,Total past due amount of open installment trades verified in past 12 months
g415s__tu,0.0002384515837555723,Number of deduped auto inquiries
fi25s__tu,0.00022223753902361754,Number of currently open and satisfactory finance installment trades 12 months or older
g230s__tu,0.00021702139022294897,Number of 60 or more days past due trades (current MOP only) with balance > $0 opened in past 24 months
agg419__tu,0.00020816489295882867,Aggregate non-mortgage actual payment for month 19
au21s__tu,0.00020100800977440603,Months since most recent auto trade opened
rev328__tu,0.00019782249132083152,Average Total Open-to-Buy for Revolving accounts over the past 24 months
au200s__tu,0.0001946449919411064,Number of auto trades that are 30 days or more past due ever
jt20s__tu,0.00017667961406042654,Months since oldest joint trade opened
linkf173__tu,0.00017299572597784252,Number of distinct zip codes within last 12 months
rev317__tu,0.00015859427794706615,Max Total Open-to-Buy for Revolving accounts over the past 6 months
fi36s__tu,0.0001552280797263439,Months since most recent finance installment delinquency
linkt004__tu,0.0001459448534608665,Number of non-military non-corroborated addresses in last 5 years
linkf140__tu,0.0001439196521388908,Number of distinct bank accounts within last 24 months
linka047__tu,0.00013771283256891476,Number of checking account closures for cause in the last 3 years
agg322__tu,0.00013648530484711152,Aggregate non-mortgage amount past due for month 22
s071b__tu,0.0001288740385237963,Number of non-medical third party collections opened in past 36 months
linkf085__tu,0.0001261897236800591,Number of inquiries within last 3 months
bkc324__tu,0.0001242968481933726,Min Total Open-to-Buy for Bankcard accounts over the past 24 months
rev323__tu,0.00012381155397256371,Min Total Open-to-Buy for Revolving accounts over the past 12 months
