feature,bin,min,max,count,prop,target,bin_label
fltgrossmonthly__income_sum_binned,-0.08150700034455831,0.0,3125.2,2917,0.2718292796570683,0.45663352759684606,1
fltgrossmonthly__income_sum_binned,-0.06789346188454647,3125.35,3988.19,2471,0.23026744944553162,0.45325779036827196,2
fltgrossmonthly__income_sum_binned,0.03160177089720836,3988.24,4688.29,1740,0.16214705060106235,0.42873563218390803,3
fltgrossmonthly__income_sum_binned,0.04014402564797225,4689.39,7721.24,3040,0.28329139875128134,0.42664473684210524,4
fltgrossmonthly__income_sum_binned,0.42709894679928434,7729.32,11742.160000000047,563,0.05246482154505638,0.33570159857904086,5
ENG-loan_to_value_binned,0.619111483442255,0.34883938438630574,1.031929726268609,598,0.055726400149100734,0.29431438127090304,1
ENG-loan_to_value_binned,0.26142509337422987,1.032295608531995,1.1298376978417266,977,0.09104463703289535,0.3735926305015353,2
ENG-loan_to_value_binned,0.10042264835014962,1.129910303030303,1.1885563909774437,1153,0.10744571801323269,0.411968777103209,3
ENG-loan_to_value_binned,-0.007086321732546148,1.188634713144517,1.3086067146282974,3311,0.3085453359425962,0.43823618242222895,4
ENG-loan_to_value_binned,-0.14532437016912575,1.308615632464863,2.42351,4692,0.437237908862175,0.4725063938618926,5
ENG-payment_to_income_binned,0.05146969228179282,0.0027472527472527475,0.097010529906694,1491,0.13894324853228962,0.4238765928906774,1
ENG-payment_to_income_binned,-0.00827215548784438,0.09701322348154395,2.1846,9240,0.8610567514677103,0.43852813852813854,2
dti__app_binned,0.0002135155340662167,0.07411863910757169,3.4558552024264806,10730,1.0,0.43643988816402607,1
dti__app_binned,0.0,,,0,0.0,1.0,2
flt_avg_open__tu_pmthx_binned,-0.03584888839947667,0.0,0.9393939393939394,8414,0.7840834964122635,0.44532921321606844,1
flt_avg_open__tu_pmthx_binned,0.13174566035722302,0.94,1.0,2317,0.21591650358773645,0.40440224428139837,2
flt_avg_closed__tu_pmthx_binned,-0.12256782384132221,0.0,0.189873417721519,5051,0.4706923865436586,0.46683824985151456,1
flt_avg_closed__tu_pmthx_binned,-0.09893896907264972,0.19047619047619047,0.6346153846153846,1601,0.14919392414500046,0.46096189881324173,2
flt_avg_closed__tu_pmthx_binned,0.01855997503219403,0.6363636363636364,0.7894736842105263,595,0.055446836268754074,0.4319327731092437,3
flt_avg_closed__tu_pmthx_binned,0.2012624305862084,0.7916666666666666,0.9772727272727273,998,0.09300158419532197,0.3877755511022044,4
flt_avg_closed__tu_pmthx_binned,0.23529955242216918,0.9777777777777777,1.0,2486,0.23166526884726493,0.3797264682220434,5
flt_wtd_avg_open__tu_pmthx_binned,-0.03567842501233161,0.0,0.9004329004329005,8307,0.7741123846798994,0.4452871072589382,1
flt_wtd_avg_open__tu_pmthx_binned,0.12365223015967405,0.9004830917874396,1.0,2424,0.22588761532010065,0.40635313531353134,2
flt_wtd_avg_closed__tu_pmthx_binned,-0.12153743696017337,0.0,0.33497536945812806,6284,0.5855931413661355,0.46658179503500957,1
flt_wtd_avg_closed__tu_pmthx_binned,-0.03901684685112579,0.33511586452762926,0.6231527093596059,733,0.0683067747647004,0.4461118690313779,2
flt_wtd_avg_closed__tu_pmthx_binned,0.14112664180825818,0.623340321453529,0.8574712643678161,746,0.06951821824620259,0.40214477211796246,3
flt_wtd_avg_closed__tu_pmthx_binned,0.23820180747569772,0.8592592592592593,1.0,2968,0.2765818656229615,0.37904312668463613,4
fltdowncash__app_binned,-0.08210364043859318,0.0,989.0,5773,0.5379740937470878,0.45678156937467523,1
fltdowncash__app_binned,-0.020058370334182587,1000.0,1317.0,1955,0.18218246202590627,0.44143222506393864,2
fltdowncash__app_binned,0.08004510697991044,1333.33,2650.0,2022,0.18842605535364831,0.4169139465875371,3
fltdowncash__app_binned,0.3741758635145959,2697.0,66600.0,981,0.09141738887335757,0.3476044852191641,4
fltapproveddowntotal__app_binned,-0.02472049058766488,-13101.0,1000.0,7219,0.6727238840741776,0.4425820750796509,1
fltapproveddowntotal__app_binned,-0.017435779563484893,1001.0,2001.0,1731,0.16130835896002235,0.44078567302137495,2
fltapproveddowntotal__app_binned,0.040253125227189025,2005.0,3800.0,1097,0.10222719224676172,0.4266180492251595,3
fltapproveddowntotal__app_binned,0.246069925792148,3803.0,72487.0,684,0.0637405647190383,0.37719298245614036,4
