feature,bin,min,max,count,prop,target,bin_label
fltgrossmonthly__income_sum_binned,-0.0719872117898324,0.0,4109.0,4135,0.5301961789973073,0.23022974607013302,1
fltgrossmonthly__income_sum_binned,-0.0017783382150310533,4110.0,4696.0,1032,0.13232465700730864,0.2180232558139535,2
fltgrossmonthly__income_sum_binned,0.06970067269669425,4697.0,7629.0,2203,0.2824721118092063,0.20608261461643212,3
fltgrossmonthly__income_sum_binned,0.32256225172263464,7643.0,9966.0,304,0.038979356327734326,0.16776315789473684,4
fltgrossmonthly__income_sum_binned,0.6397575557088027,10000.0,11741.98000000001,125,0.01602769585844339,0.128,5
ENG-loan_to_value_binned,2.1332456135681808,0.34883612717099216,0.8632191069574248,94,0.01205282728554943,0.031914893617021274,1
ENG-loan_to_value_binned,0.3778385470481245,0.8700126103404792,1.0749435882663594,643,0.0824464674958328,0.16018662519440124,2
ENG-loan_to_value_binned,0.17013467446441302,1.0751010701545778,1.1785420663195396,1115,0.14296704705731503,0.19013452914798207,3
ENG-loan_to_value_binned,0.07652109817257705,1.1787862796833772,1.2824274406332454,1932,0.24772406718810103,0.20496894409937888,4
ENG-loan_to_value_binned,-0.1539796242750101,1.2824388086110292,2.4235,4015,0.5148095909732017,0.24508094645080947,5
ENG-payment_to_income_binned,0.06312153852619348,0.02016050107653161,0.28210922787193976,2346,0.30080779587126555,0.2071611253196931,1
ENG-payment_to_income_binned,0.03091977805475682,0.2859135285913529,0.7554709800190295,80,0.01025772534940377,0.2125,2
ENG-payment_to_income_binned,-0.027315126529659662,0.8665496049165935,5.261851015801354,5373,0.6889344787793307,0.22240833798622744,3
dti__app_binned,0.3778166314014478,0.07411863910757169,0.3085002296551368,1055,0.1352737530452622,0.16018957345971563,1
dti__app_binned,0.011135956411556791,0.3085496082029438,0.540041286339392,6570,0.8424156943197846,0.2158295281582953,2
dti__app_binned,-1.7002150693568634,0.5475796696349088,0.7689590289815093,106,0.013591486087959995,0.6037735849056604,3
dti__app_binned,-2.0846267682671953,0.7775134308570127,4.761775923330182,68,0.008719066546993203,0.6911764705882353,4
flt_avg_open__tu_pmthx_binned,-0.06475913331716768,0.0,0.34782608695652173,4739,0.6076420053853058,0.22895125553914328,1
flt_avg_open__tu_pmthx_binned,0.038145932615565314,0.35294117647058826,0.7,549,0.07039364021028337,0.21129326047358835,2
flt_avg_open__tu_pmthx_binned,0.08024484461725814,0.7014925373134329,0.95,871,0.11168098474163354,0.20436280137772675,3
flt_avg_open__tu_pmthx_binned,0.141951597456921,0.9506172839506173,1.0,1640,0.21028336966277728,0.19451219512195123,4
flt_avg_closed__tu_pmthx_binned,-0.1286183066025245,0.0,0.19736842105263158,3627,0.4650596230285934,0.24041907912875654,1
flt_avg_closed__tu_pmthx_binned,-0.06315922439923996,0.2,0.3,293,0.03756891909219131,0.22866894197952217,2
flt_avg_closed__tu_pmthx_binned,0.02836549824966023,0.3013698630136986,0.6,789,0.10116681625849468,0.21292775665399238,3
flt_avg_closed__tu_pmthx_binned,0.0629924979427508,0.603448275862069,0.7457627118644068,362,0.04641620720605206,0.20718232044198895,4
flt_avg_closed__tu_pmthx_binned,0.17654399288010275,0.75,1.0,2728,0.34978843441466856,0.18914956011730205,5
flt_wtd_avg_open__tu_pmthx_binned,-0.08066908066899561,0.0,0.19367588932806323,4526,0.5803308116425183,0.23177198409191338,1
flt_wtd_avg_open__tu_pmthx_binned,0.10729275683933083,0.20233100233100232,0.24736842105263157,20,0.0025644313373509426,0.2,2
flt_wtd_avg_open__tu_pmthx_binned,0.11808700197021144,0.2512315270935961,1.0,3253,0.4171047570201308,0.19827851214263756,3
flt_wtd_avg_closed__tu_pmthx_binned,-0.12135814570207007,0.0,0.39936708860759496,3760,0.48211309142197717,0.23909574468085107,1
flt_wtd_avg_closed__tu_pmthx_binned,-0.031644054352099805,0.4,0.6,475,0.060905244262084886,0.2231578947368421,2
flt_wtd_avg_closed__tu_pmthx_binned,0.04613833368600044,0.6004228329809725,0.7,281,0.03603026028978074,0.2099644128113879,3
flt_wtd_avg_closed__tu_pmthx_binned,0.08538792145128098,0.7001586462189318,0.8995169082125604,737,0.09449929478138223,0.20352781546811397,4
flt_wtd_avg_closed__tu_pmthx_binned,0.17034515357971364,0.9,1.0,2546,0.32645210924477497,0.19010212097407697,5
fltdowncash__app_binned,-0.0911955527215563,0.0,989.0,4190,0.5372483651750224,0.23365155131264917,1
fltdowncash__app_binned,0.003722751955292759,1000.0,1400.0,1428,0.1831003974868573,0.21708683473389356,2
fltdowncash__app_binned,0.056703316079289814,1440.0,2750.0,1436,0.18412617002179765,0.20821727019498606,3
fltdowncash__app_binned,0.4741430288197155,2800.0,66600.0,745,0.09552506731632261,0.1476510067114094,4
fltapproveddowntotal__app_binned,-0.031508740209428815,-11607.0,2550.0,6821,0.8745993076035389,0.2231344377657235,1
fltapproveddowntotal__app_binned,0.13145500611841046,2555.61,3909.0,469,0.0601359148608796,0.19616204690831557,2
fltapproveddowntotal__app_binned,0.34227076580054316,3930.0,72487.0,509,0.06526477753558148,0.1650294695481336,3
miles_odometer__app_binned,0.5022036772688051,0.0,24997.0,881,0.11296320041030901,0.1441543700340522,1
miles_odometer__app_binned,0.18995069973994688,25041.0,43727.0,1256,0.1610462879856392,0.18710191082802546,2
miles_odometer__app_binned,0.15401038140679046,43750.0,49995.0,597,0.07654827541992563,0.19262981574539365,3
miles_odometer__app_binned,-0.048753658152826576,50032.0,74996.0,2724,0.34927554814719836,0.2261380323054332,4
miles_odometer__app_binned,-0.22489116709110593,74999.0,124997.0,2341,0.3001666880369278,0.2584365655702691,5
ENG-vehicle_age_binned,0.7810218515421747,-1.0,-1.0,115,0.014745480189767918,0.11304347826086956,1
ENG-vehicle_age_binned,0.4676963728163752,0.0,1.0,586,0.07513783818438262,0.14846416382252559,2
ENG-vehicle_age_binned,0.07610982940264292,2.0,3.0,2502,0.3208103603026029,0.20503597122302158,3
ENG-vehicle_age_binned,-0.08539985422011105,4.0,6.0,3250,0.41672009231952817,0.2326153846153846,4
ENG-vehicle_age_binned,-0.15044695899737182,7.0,10.0,1346,0.17258622900371842,0.24442793462109955,5
