feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-has_codebtor_binned,0.04284707524103316,1.0,1.0,27523,0.3599471646788031,0.11045307560949025,2,-0.4301094379060042,-0.01842893144783704,
ENG-has_codebtor_binned,-0.023487699131707573,0.0,0.0,48941,0.640052835321197,0.11714104738358432,1,-0.4301094379060042,0.010102281071244086,
ENG-loan_to_value_binned,0.28748156146469017,0.1854683065279092,1.0357795275590551,4187,0.05475779451768152,0.08860759493670886,1,-1.139872773178427,-0.3276924047044208,
ENG-loan_to_value_binned,0.16413019796925432,1.0357934272300469,1.1342444152431013,7781,0.10176030550324336,0.09908752088420511,2,-1.139872773178427,-0.18708754392153815,
ENG-loan_to_value_binned,-0.03481326916714037,1.1342457981703424,2.5492,64496,0.8434818999790751,0.11831741503349046,3,-1.139872773178427,0.039682697668955325,
addrinputtimenewest__ln_binned,0.02313302321270807,1.0,62.0,60113,0.7861608077003557,0.11240497063863059,1,-0.8681220980095494,-0.020082288644719736,Time on file (in months) since the subject was most recently reported at the input address
addrinputtimenewest__ln_binned,-0.08168565936984104,63.0,329.0,16351,0.21383919229964427,0.12329521130206103,2,-0.8681220980095494,0.07091312598943982,Time on file (in months) since the subject was most recently reported at the input address
at21s__tu_binned,0.47611841736311766,68.0,532.0,4335,0.056693345888261144,0.07450980392156863,7,-0.7583059936774071,-0.3610434495866534,Months since most recent trade opened
at21s__tu_binned,0.2659552272166623,34.0,67.0,8964,0.1172316384180791,0.09036144578313253,6,-0.7583059936774071,-0.20167544284823172,Months since most recent trade opened
at21s__tu_binned,0.08779149858909129,26.0,33.0,4269,0.05583019460138104,0.1061138439915671,5,-0.7583059936774071,-0.06657281957402955,Months since most recent trade opened
at21s__tu_binned,0.035324081286162975,21.0,25.0,4002,0.052338355304457,0.1111944027986007,4,-0.7583059936774071,-0.026786462560445316,Months since most recent trade opened
at21s__tu_binned,-0.06544171956609646,12.0,20.0,12464,0.16300481272232684,0.12155006418485237,3,-0.7583059936774071,0.04962484818352699,Months since most recent trade opened
at21s__tu_binned,-0.07791647071836902,2.0,11.0,36879,0.48230539861895794,0.12288836465196995,2,-0.7583059936774071,0.05908452675192941,Months since most recent trade opened
at21s__tu_binned,-0.09921592132150975,0.0,1.0,5551,0.07259625444653693,0.12520266618627274,1,-0.7583059936774071,0.07523602780632689,Months since most recent trade opened
balmag01__tu_binned,0.41236787050388063,0.0,129.0,6947,0.09085321196903118,0.07902691809414135,1,-0.874882604071119,-0.36077347638169704,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,0.11939328962621384,130.0,209.0,11226,0.14681418706842436,0.10315339390700161,2,-0.874882604071119,-0.10445511213679928,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,-0.05738860713727523,210.0,301.0,27367,0.35790698890981376,0.1206928052033471,3,-0.874882604071119,0.05020829405627376,Non-mortgage balance magnitude algorithm over last 24 months
