feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
dti__app_binned,0.3985186102384831,1.7025480246692337e-07,0.2813365264149164,3923,0.051305189370161125,0.0800407851134336,1,-1.104622970148291,-0.44021281090100234,
re01s__tu_binned,0.4065249203285951,13.0,232.0,4682,0.06123142916928228,0.07945322511747116,3,-1.0521815104208583,-0.4277380046950603,Number of revolving trades
at21s__tu_binned,0.47611841736311766,68.0,532.0,4335,0.056693345888261144,0.07450980392156863,7,-0.7583059936774071,-0.3610434495866534,Months since most recent trade opened
balmag01__tu_binned,0.41236787050388063,0.0,129.0,6947,0.09085321196903118,0.07902691809414135,1,-0.874882604071119,-0.36077347638169704,Non-mortgage balance magnitude algorithm over last 24 months
ENG-loan_to_value_binned,0.28748156146469017,0.1854683065279092,1.0357795275590551,4187,0.05475779451768152,0.08860759493670886,1,-1.139872773178427,-0.3276924047044208,
bkc321__tu_binned,0.26094868650223196,117.0,103888.0,9408,0.12303829252981795,0.09077380952380952,3,-1.1374747324614003,-0.29682253736528014,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
g232s__tu_binned,0.47334886807418025,0.0,2.0,5435,0.07107920066959615,0.07470101195952161,1,-0.5136517399036509,-0.2431364696677264,Number of inquiries (includes duplicates)
flt_avg_open__tu_pmthx_binned,0.1740873916033103,0.9384615384615385,1.0,16242,0.212413684871312,0.09820219184829454,2,-1.116168855081405,-0.19431092456997506,
fltgrossmonthly__income_sum_binned,0.08965056778496559,0.0,2557.0,9364,0.12246285833856456,0.10593763348996156,1,-1.668481216321183,-0.14958028838174406,
g106s__tu_binned,0.2103895073799279,422.0,921.0,7229,0.09454122201297342,0.0950338912712685,6,-0.5760980725196858,-0.12120498967994267,Months on file
cv15__tu_binned,0.2259612567881653,0.0,1.0,31984,0.41828834484201716,0.0937031015507754,1,-0.5336117128071319,-0.12057557326278506,Number of deduped auto inquiries
paymnt11__tu_binned,0.22505449144967976,51.0,274.0,4148,0.05424775057543419,0.0937801350048216,3,-0.5276538034070726,-0.11875085838726802,Number of payments in last 12 months
linka006__tu_binned,0.4194777125113977,0.0,1.0,8865,0.11593691148775895,0.07851099830795262,1,-0.270293114133083,-0.11338193722412779,"Number of total inquiries in the last 3 years.  
These include checking, credit issuance (credit card, secured card, line of credit, revolving credit, and other credit account originations) , auto, payday, utility, and other credit (installment loan, secured loan, short-term installment loan, insurance, and other non-classified credit)"
flt_wtd_avg_closed__tu_pmthx_binned,0.15904631144217646,0.9334677419354839,1.0,21629,0.28286513915044986,0.09954228119654168,3,-0.6675348408591348,-0.10616895419778566,
flt_mean_months_to_first_bad__tu_pmthx_binned,0.22755275636556374,0.7520572745227123,1.0,14941,0.19539914207993303,0.09356803426812128,4,-0.40845263532129666,-0.09294452301213947,
s064b__tu_binned,0.12181209640599021,0.0,290.0,5188,0.06784892236869638,0.10292983808789515,1,-0.6400069126044376,-0.07796058373867192,Total placement amount of non-medical third party collections
miles_odometer__app_binned,0.141236061144545,0.0,24401.0,6782,0.08869533375183093,0.10115010321439104,1,-0.5389805985109858,-0.07612349676702106,
linka017__tu_binned,0.06852539126647902,0.0,0.0,50382,0.6588983050847458,0.10795522210313208,1,-0.8992003873606366,-0.06161805837085712,Number of checking account closures for cause in the last 5 years
derogseverityindex__ln_binned,0.0778669440877906,0.0,1.0,53606,0.7010619376438586,0.10705891131589747,1,-0.6410299873233357,-0.0499150461815033,Index indicating severity of derogatory records on subject's file
inquiryshortterm12month__ln_binned,0.09263075257175206,0.0,0.0,60470,0.790829671479389,0.10565569703985447,1,-0.44429728124075557,-0.041155591526914566,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
inquirybanking12month__ln_binned,0.13611650753568505,0.0,0.0,41942,0.5485195647625026,0.10161651804873396,1,-0.29265312022947365,-0.03983492064505689,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
addrinputtimenewest__ln_binned,0.02313302321270807,1.0,62.0,60113,0.7861608077003557,0.11240497063863059,1,-0.8681220980095494,-0.020082288644719736,Time on file (in months) since the subject was most recently reported at the input address
ENG-has_codebtor_binned,0.04284707524103316,1.0,1.0,27523,0.3599471646788031,0.11045307560949025,2,-0.4301094379060042,-0.01842893144783704,
linka029__tu_binned,0.07090034106747711,0.0,0.0,34866,0.4559792843691149,0.1077267251763896,1,-0.06762233584043825,-0.004794446674866554,Number of checking account inquiries in the last 3 years
g306s__tu_binned,-0.026172253256940618,2.0,10.0,63184,0.8263234986398829,0.11741896682704482,2,0.05746112033308997,-0.0015038869937851708,Worst rating on auto trades in past 12 months
