feature,score,target,diff
dti__app_binned,0.6247913333010684,0.6376817609938962,-0.012890427692827777
bkc321__tu_binned,0.6328321798576386,0.6376817609938962,-0.0048495811362575525
at21s__tu_binned,0.6344381880285848,0.6376817609938962,-0.0032435729653114143
balmag01__tu_binned,0.6348766449148859,0.6376817609938962,-0.002805116079010239
derogseverityindex__ln_binned,0.6353326903247525,0.6376817609938962,-0.0023490706691436936
ENG-loan_to_value_binned,0.6360816044380184,0.6376817609938962,-0.001600156555877752
inquiryshortterm12month__ln_binned,0.6361015251880211,0.6376817609938962,-0.0015802358058750743
g232s__tu_binned,0.6361452742197578,0.6376817609938962,-0.0015364867741384236
fltgrossmonthly__income_sum_binned,0.6362551591311524,0.6376817609938962,-0.0014266018627437926
re01s__tu_binned,0.636420354855308,0.6376817609938962,-0.0012614061385881614
cv15__tu_binned,0.6365211971270144,0.6376817609938962,-0.001160563866881792
flt_avg_open__tu_pmthx_binned,0.636588206118158,0.6376817609938962,-0.0010935548757381452
flt_wtd_avg_closed__tu_pmthx_binned,0.6368447139800689,0.6376817609938962,-0.0008370470138272523
linka017__tu_binned,0.6369275012829224,0.6376817609938962,-0.0007542597109737592
g106s__tu_binned,0.6370606730964123,0.6376817609938962,-0.0006210878974838296
addrinputtimenewest__ln_binned,0.6371494879837658,0.6376817609938962,-0.0005322730101303685
linka006__tu_binned,0.6372250066545493,0.6376817609938962,-0.0004567543393468876
flt_mean_months_to_first_bad__tu_pmthx_binned,0.6372569994127318,0.6376817609938962,-0.0004247615811643346
s064b__tu_binned,0.6373092269716252,0.6376817609938962,-0.0003725340222709983
paymnt11__tu_binned,0.637438841508329,0.6376817609938962,-0.00024291948556720566
miles_odometer__app_binned,0.637457305669257,0.6376817609938962,-0.0002244553246392167
inquirybanking12month__ln_binned,0.6375638993629104,0.6376817609938962,-0.00011786163098581603
ENG-has_codebtor_binned,0.6376532623655744,0.6376817609938962,-2.8498628321771413e-05
g306s__tu_binned,0.6376693783028442,0.6376817609938962,-1.2382691051970873e-05
linka029__tu_binned,0.6376756424778238,0.6376817609938962,-6.118516072350921e-06
