accountid,pd_gen12,ecnl_gen12,pd_gen13,ecnl_gen13,intopenbktype__app,ENG-loan_to_value,strdealershiptrackertype__app,fltgrossmonthly__income_sum,tier_gen12,tier_gen13,approved_gen12,approved_gen13,declined_gen12,declined_gen13,approved_both,declined_both,approved_gen12_declined_gen13,declined_gen12_approved_gen13
8211697,0.1694262918274205,0.24873253572391274,0.11612164243896417,0.17504559245438703,,0.9461690795352994,Franchise,6586.67,B,B,1,1,0,0,1,0,0,0
8315912,0.03089538232373704,0.04566316145298932,0.11154189184075564,0.16149401919414577,13.0,0.9614243382062426,Franchise,7885.08,A1,B,1,1,0,0,1,0,0,0
8323560,0.1674376526045494,0.2768692628100444,0.1714245123252594,0.3046368201353605,,1.125945644599303,Franchise,7274.08,C,C,1,1,0,0,1,0,0,0
8332159,0.1755504080137173,0.2839771267011458,0.3050182171414402,0.6504295497305238,13.0,1.0479939685896682,Independent,14943.060000000001,C,Decline,1,0,0,1,0,0,1,0
8337838,0.04589343750157751,0.07910997455996426,0.1439518088806186,0.2384507170478878,13.0,1.2680987624558502,Franchise,4177.43,A,B,1,1,0,0,1,0,0,0
8353984,0.15174836888438736,0.23278924293192668,0.1767539358675009,0.3129482573670638,7.0,1.1651516605166052,Franchise,5674.95,B,C,1,1,0,0,1,0,0,0
8380528,0.0643964065623651,0.09494711833258516,0.18371122194377315,0.33000628111592534,7.0,1.276886175663593,Franchise,6331.87,A,D,1,1,0,0,1,0,0,0
8380774,0.20095424121119265,0.3291950188743464,0.23168782315288994,0.4468968251966026,13.0,1.4829296017222822,Franchise,10749.880000000001,D,Decline,1,0,0,1,0,0,1,0
8385842,0.18471546674392217,0.24631242400809625,0.13175239656494828,0.2129279882251212,,1.3605415213057561,Franchise,12402.18,B,B,1,1,0,0,1,0,0,0
8388471,0.10697244692859284,0.15946211279049805,0.17718759333503875,0.3141461912961485,13.0,1.316996996996997,Franchise,13378.59,B,C,1,1,0,0,1,0,0,0
8391783,0.09329449676266965,0.12512008653232756,0.09600299734257985,0.13158977020859872,,1.1221175748582228,Franchise,7370.849999999999,A,A,1,1,0,0,1,0,0,0
8393791,0.13591511656871658,0.23483320372660263,0.15227573154181787,0.2534461161219685,7.0,,Franchise,9140.25,B,B,1,1,0,0,1,0,0,0
8397089,0.16846870604797035,0.22708451820839295,0.23471313493643509,0.4569173056696739,,0.6300634590377113,Independent,4333.33,B,Decline,1,0,0,1,0,0,1,0
8397313,0.06054204192333377,0.10063917001442359,0.20690049406897212,0.3799302064244694,13.0,1.0543567567567567,Franchise,5644.83,A,Decline,1,0,0,1,0,0,1,0
8402732,0.15148429304218256,0.21706387741817795,0.17965461484620343,0.32021122244313405,,0.7571660356949702,Franchise,11000.0,B,C,1,1,0,0,1,0,0,0
8404821,0.03413278426383616,0.04653378569185935,0.04282701851507448,0.033090980491455965,7.0,0.8886160272617347,Franchise,5408.32,A1,A1,1,1,0,0,1,0,0,0
8406542,0.20952495858752013,0.31538565851485145,0.18038332792679446,0.32178192596532423,,1.2512819374369324,Franchise,15649.74,C,C,1,1,0,0,1,0,0,0
8411152,0.09817382124225328,0.15302052998455115,0.060727748518310164,0.06232604672234257,,1.028158111608194,Franchise,2700.0,B,A1,1,1,0,0,1,0,0,0
8412363,0.13006796807888285,0.2271437444218541,0.12350650295349531,0.197529550110937,,1.3605202877697842,Franchise,6305.71,B,B,1,1,0,0,1,0,0,0
8414356,0.11057022687108957,0.15005981347890193,0.12217496126155983,0.19425391374630638,,0.987164908973075,Franchise,8552.92,B,B,1,1,0,0,1,0,0,0
8416396,0.10322190289589589,0.1683811709009585,0.19372384662685102,0.34962341578241546,13.0,0.6255979513444302,Franchise,5073.0,B,D,1,1,0,0,1,0,0,0
8417227,0.04417754671541048,0.06336479195489399,0.1322051799222891,0.2139046129429162,7.0,1.52486825854261,Independent,4937.93,A1,B,1,1,0,0,1,0,0,0
8418617,0.1652185406207704,0.24851593961024404,0.14303431873843855,0.23632657784505862,,1.1113877041924842,Franchise,6600.0,B,B,1,1,0,0,1,0,0,0
8419724,0.17840243673020867,0.27060809863074725,0.22368271257634287,0.42205020786475284,,1.0829555012224938,Independent,5206.93,C,Decline,1,0,0,1,0,0,1,0
8421164,0.08155797658861619,0.13043140053698954,0.15256569829444222,0.25398384238233196,13.0,1.3643890160183068,Franchise,4303.91,A,B,1,1,0,0,1,0,0,0
8422012,0.16645556768328887,0.2565251919198571,0.20355476074104376,0.3722098677896138,,1.1779159377383035,Independent,8410.5,B,Decline,1,0,0,1,0,0,1,0
8422399,0.20658186807599638,0.29601762953981287,0.21288040110686754,0.3960415575195978,,1.4171395156851954,Independent,6813.04,C,Decline,1,0,0,1,0,0,1,0
8423356,0.1687022301450115,0.25436914847995196,0.14330205064195672,0.23694642083406312,,1.2465513552068472,Franchise,3769.77,B,B,1,1,0,0,1,0,0,0
8424051,0.06381985245585742,0.10009208144368675,0.20413687987833437,0.37349597301257287,,1.4458673469387755,Independent,7142.69,A,Decline,1,0,0,1,0,0,1,0
8425270,0.07127889698882196,0.10372366498945837,0.09495484655610768,0.12851048611909321,7.0,1.3875849056603775,Independent,6873.13,A,A,1,1,0,0,1,0,0,0
8426376,0.07198549312057412,0.10686253889211722,0.08854964264881883,0.1169429018993058,7.0,1.083052951714369,Franchise,3986.67,A,A,1,1,0,0,1,0,0,0
8426721,0.10544317919374682,0.16246956353877096,0.324914946031494,0.7081349379049637,7.0,0.8801617175519308,Franchise,4998.93,B,Decline,1,0,0,1,0,0,1,0
8426916,0.1729894146173134,0.26656643192205237,0.17730944101012222,0.31448278290378606,,1.1659316882881248,Independent,9981.33,C,C,1,1,0,0,1,0,0,0
8427149,0.06647894653214383,0.12081606914141288,0.3628627075365185,0.7760470078173599,,1.1851979612640162,Franchise,3732.83,A,Decline,1,0,0,1,0,0,1,0
