feature,rank_race,rank_age,rank_gender,rank_mean,score,target,diff
g106s__tu,1,1,3,1.6666666666666667,0.6370606730964123,0.6376817609938962,-0.0006210878974838
derogseverityindex__ln,2,3,4,3.0,0.6353326903247525,0.6376817609938962,-0.0023490706691436
fltgrossmonthly__income_sum,10,2,1,4.333333333333333,0.6362551591311524,0.6376817609938962,-0.0014266018627437
dti__app,4,8,7,6.333333333333333,0.6247913333010684,0.6376817609938962,-0.0128904276928277
at21s__tu,6,9,11,8.666666666666666,0.6344381880285848,0.6376817609938962,-0.0032435729653114
flt_mean_months_to_first_bad__tu_pmthx,3,16,8,9.0,0.6372569994127318,0.6376817609938962,-0.0004247615811643
re01s__tu,15,12,2,9.666666666666666,0.636420354855308,0.6376817609938962,-0.0012614061385881
miles_odometer__app,7,20,5,10.666666666666666,0.637457305669257,0.6376817609938962,-0.0002244553246392
balmag01__tu,13,4,16,11.0,0.6348766449148859,0.6376817609938962,-0.0028051160790102
s064b__tu,5,18,13,12.0,0.6373092269716252,0.6376817609938962,-0.0003725340222709
ENG-loan_to_value,9,13,14,12.0,0.6360816044380184,0.6376817609938962,-0.0016001565558777
ENG-has_codebtor,11,21,6,12.666666666666666,0.6376532623655744,0.6376817609938962,-2.8498628321771413e-05
linka017__tu,12,6,24,14.0,0.6369275012829224,0.6376817609938962,-0.0007542597109737
linka006__tu,18,7,17,14.0,0.6372250066545493,0.6376817609938962,-0.0004567543393468
flt_avg_open__tu_pmthx,24,10,10,14.666666666666666,0.636588206118158,0.6376817609938962,-0.0010935548757381
paymnt11__tu,8,22,15,15.0,0.637438841508329,0.6376817609938962,-0.0002429194855672
cv15__tu,14,23,9,15.333333333333334,0.6365211971270144,0.6376817609938962,-0.0011605638668817
addrinputtimenewest__ln,16,19,12,15.666666666666666,0.6371494879837658,0.6376817609938962,-0.0005322730101303
linka029__tu,17,15,19,17.0,0.6376756424778238,0.6376817609938962,-6.118516072350921e-06
inquirybanking12month__ln,25,5,21,17.0,0.6375638993629104,0.6376817609938962,-0.0001178616309858
g232s__tu,21,14,20,18.333333333333332,0.6361452742197578,0.6376817609938962,-0.0015364867741384
inquiryshortterm12month__ln,23,11,25,19.666666666666668,0.6361015251880211,0.6376817609938962,-0.001580235805875
flt_wtd_avg_closed__tu_pmthx,20,17,23,20.0,0.6368447139800689,0.6376817609938962,-0.0008370470138272
bkc321__tu,22,24,18,21.333333333333332,0.6328321798576386,0.6376817609938962,-0.0048495811362575
g306s__tu,19,25,22,22.0,0.6376693783028442,0.6376817609938962,-1.2382691051970872e-05
