feature,importance,rank
g106s__tu,59.66137773481387,1
fltgrossmonthly__income_sum,8.144367976196639,2
derogseverityindex__ln,5.213399478909094,3
balmag01__tu,3.361650484562224,4
inquirybanking12month__ln,2.973124857275449,5
linka017__tu,2.82658051792349,6
linka006__tu,2.2090658970479056,7
dti__app,1.8499198338925467,8
at21s__tu,1.7560506603189379,9
flt_avg_open__tu_pmthx,1.4848066990469984,10
inquiryshortterm12month__ln,1.2453294791940746,11
re01s__tu,1.2412867484134145,12
ENG-loan_to_value,1.186521110796404,13
g232s__tu,1.091930343944352,14
linka029__tu,1.0031594518511242,15
flt_mean_months_to_first_bad__tu_pmthx,0.7971171851113416,16
flt_wtd_avg_closed__tu_pmthx,0.7738877592827552,17
s064b__tu,0.6660945998159047,18
addrinputtimenewest__ln,0.6404235237624594,19
miles_odometer__app,0.5889362916374847,20
ENG-has_codebtor,0.45629948593188296,21
paymnt11__tu,0.3339434713812426,22
cv15__tu,0.2803262316816494,23
bkc321__tu,0.21440017720875798,24
g306s__tu,0.0,25
