feature,importance,rank
fltgrossmonthly__income_sum,23.840061026944383,1
re01s__tu,10.870569328381153,2
g106s__tu,10.237788526214835,3
derogseverityindex__ln,8.406581906472459,4
miles_odometer__app,5.230347801469647,5
ENG-has_codebtor,4.4805863475038015,6
dti__app,3.9393648020767102,7
flt_mean_months_to_first_bad__tu_pmthx,3.614993158787386,8
cv15__tu,3.187003302767464,9
flt_avg_open__tu_pmthx,3.1253625379587118,10
at21s__tu,2.5964022122195116,11
addrinputtimenewest__ln,2.577615105209978,12
s064b__tu,2.0911357863419155,13
ENG-loan_to_value,2.0809819773256155,14
paymnt11__tu,2.047831148871635,15
balmag01__tu,1.9953829813704205,16
linka006__tu,1.927558616573802,17
bkc321__tu,1.5284684552308345,18
linka029__tu,1.1114136371703938,19
g232s__tu,1.1092702511332,20
inquirybanking12month__ln,1.0460302418787484,21
g306s__tu,0.9647007583594363,22
flt_wtd_avg_closed__tu_pmthx,0.7999772030152219,23
linka017__tu,0.5964068296190065,24
inquiryshortterm12month__ln,0.5941660571037137,25
