feature,importance,rank
g106s__tu,15.980633790287005,1
derogseverityindex__ln,9.798734782598064,2
flt_mean_months_to_first_bad__tu_pmthx,8.994631123134257,3
dti__app,5.935714602179017,4
s064b__tu,5.25566645780012,5
at21s__tu,5.016890131578336,6
miles_odometer__app,4.833206735693313,7
paymnt11__tu,4.408140563545722,8
ENG-loan_to_value,3.927420167740762,9
fltgrossmonthly__income_sum,3.8557544208849066,10
ENG-has_codebtor,3.8021627013879256,11
linka017__tu,3.761531206729569,12
balmag01__tu,3.527156367516507,13
cv15__tu,3.132373710537789,14
re01s__tu,2.795595396259551,15
addrinputtimenewest__ln,2.2876408651905478,16
linka029__tu,2.2715802719528684,17
linka006__tu,2.169279579383782,18
g306s__tu,2.0431714950958657,19
flt_wtd_avg_closed__tu_pmthx,1.9806806586675652,20
g232s__tu,1.888412186064001,21
bkc321__tu,1.6694571449313527,22
inquiryshortterm12month__ln,0.4650642174250895,23
flt_avg_open__tu_pmthx,0.19910142341607995,24
inquirybanking12month__ln,0.0,25
