feature,importance,importance_abs,description
bkc321__tu_binned,-0.011876561593921121,0.011876561593921121,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
dti__app_binned,0.010355451654640638,0.010355451654640638,
re01s__tu_binned,-0.008776540403496702,0.008776540403496702,Number of revolving trades
ENG-vehicle_age_binned,0.007377656167852087,0.007377656167852087,
ENG-bk_binned,0.006566044884692384,0.006566044884692384,
int_n_months_open__tu_pmthx_binned,-0.006082174799436909,0.006082174799436909,
g106s__tu_binned,-0.005857424452209949,0.005857424452209949,Months on file
cv15__tu_binned,-0.0037250242698297297,0.0037250242698297297,Number of deduped auto inquiries
at21s__tu_binned,0.003494288816181915,0.003494288816181915,Months since most recent trade opened
inquirybanking12month__ln_binned,0.0027053299912881907,0.0027053299912881907,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
balmag01__tu_binned,-0.0021430109921741955,0.0021430109921741955,Non-mortgage balance magnitude algorithm over last 24 months
flt_wtd_avg_closed__tu_pmthx_binned,-0.0018478224204732602,0.0018478224204732602,
ENG-franchise_binned,0.0017197091483255559,0.0017197091483255559,
g232s__tu_binned,-0.0015692386801908842,0.0015692386801908842,Number of inquiries (includes duplicates)
au21s__tu_binned,-0.0011063714875742885,0.0011063714875742885,Months since most recent auto trade opened
derogseverityindex__ln_binned,-0.0010969459429786784,0.0010969459429786784,Index indicating severity of derogatory records on subject's file
ENG-loan_to_value_binned,0.0007056529659291949,0.0007056529659291949,
inquiryshortterm12month__ln_binned,-0.00012627363472579977,0.00012627363472579977,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
addrinputtimenewest__ln_binned,7.702148765698006e-05,7.702148765698006e-05,Time on file (in months) since the subject was most recently reported at the input address
