feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-bk_binned,0.3816806136538046,1.0,1.0,3013,0.18788974806684958,0.20477928974444076,2,-0.7140723869008273,-0.27254758682554475,
ENG-bk_binned,-0.07899939244711358,0.0,0.0,13023,0.8121102519331505,0.2898717653382477,1,-0.7140723869008273,0.05641128472842558,
ENG-franchise_binned,0.10046691949663046,1.0,1.0,10599,0.660950361686206,0.25436361920935935,2,-0.648366568343826,-0.06513939182610572,
ENG-franchise_binned,-0.18392590367984976,0.0,0.0,5437,0.339049638313794,0.3119367298142358,1,-0.648366568343826,0.11925140699844126,
ENG-loan_to_value_binned,0.723278552372066,0.1854683065279092,1.006807181889149,821,0.051197306061361934,0.15468940316686966,1,-0.8681743539886968,-0.6279318899594981,
ENG-loan_to_value_binned,0.23958407331419102,1.006825938566553,1.1416216216216217,2333,0.14548515839361437,0.22888984140591512,2,-0.8681743539886968,-0.20800074807552835,
ENG-loan_to_value_binned,0.039839389585957945,1.1416269841269842,1.2470198675496689,3680,0.22948366176103766,0.26603260869565215,3,-0.8681743539886968,-0.034587536317093055,
ENG-loan_to_value_binned,-0.04357652858630795,1.2470472440944882,1.2633315378400216,835,0.052070341731105016,0.28263473053892213,4,-0.8681743539886968,0.037832024554487885,
ENG-loan_to_value_binned,-0.06642832989120286,1.263348623853211,1.433861459100958,5799,0.36162384634572214,0.2872909122262459,5,-0.8681743539886968,0.05767137238984308,
ENG-loan_to_value_binned,-0.27132656861630894,1.4339508047373215,1.672390004599111,2568,0.1601396857071589,0.3309968847352025,6,-0.8681743539886968,0.23555876842843382,
ENG-vehicle_age_binned,0.7042751641252173,-1.0,0.0,897,0.05593664255425293,0.15719063545150502,1,-0.579989202659624,-0.4084719908939606,
ENG-vehicle_age_binned,0.09676311146878531,1.0,2.0,2023,0.12615365427787478,0.2550667325753831,2,-0.579989202659624,-0.05612155986764511,
ENG-vehicle_age_binned,0.02768268084164621,3.0,3.0,2634,0.16425542529309053,0.26841305998481396,3,-0.579989202659624,-0.016055655988827234,
ENG-vehicle_age_binned,-0.05863816345376738,4.0,7.0,9041,0.5637939635819407,0.28569848468089815,4,-0.579989202659624,0.03400950166697524,
ENG-vehicle_age_binned,-0.16933334625778929,8.0,11.0,1441,0.08986031429284111,0.30881332408049966,5,-0.579989202659624,0.09821151247974122,
addrinputtimenewest__ln_binned,0.08018314210837049,1.0,3.0,11513,0.7179471189822898,0.2582298271519152,1,-0.5591422679639004,-0.044833783930946,Time on file (in months) since the subject was most recently reported at the input address
addrinputtimenewest__ln_binned,-0.1922671175330806,4.0,271.0,4523,0.28205288101771014,0.3137298253371656,2,-0.5591422679639004,0.10750467215232849,Time on file (in months) since the subject was most recently reported at the input address
at21s__tu_binned,0.2966251311236034,68.0,379.0,959,0.05980294337740085,0.21897810218978103,4,-1.1640223051600875,-0.34527826889891006,Months since most recent trade opened
at21s__tu_binned,0.13200937778834199,34.0,67.0,2226,0.13881267148914941,0.24842767295597484,3,-1.1640223051600875,-0.1536618602359347,Months since most recent trade opened
at21s__tu_binned,0.05373628703147618,25.0,33.0,1238,0.07720129708156648,0.2633279483037157,2,-1.1640223051600875,-0.06255023670112303,Months since most recent trade opened
at21s__tu_binned,-0.05237785921744306,0.0,24.0,11613,0.7241830880518833,0.28442262981141825,1,-1.1640223051600875,0.06096899642563861,Months since most recent trade opened
au21s__tu_binned,0.47463914702402654,81.0,285.0,1247,0.07776253429782988,0.19005613472333602,6,-0.2758198435659904,-0.1309148952824621,Months since most recent auto trade opened
au21s__tu_binned,0.17208484711218835,56.0,80.0,2116,0.13195310551259665,0.24102079395085066,5,-0.2758198435659904,-0.04746441561056116,Months since most recent auto trade opened
au21s__tu_binned,0.07852791267397076,31.0,55.0,3276,0.20429034671988028,0.25854700854700857,4,-0.2758198435659904,-0.021659556589298367,Months since most recent auto trade opened
au21s__tu_binned,-0.015230477862253601,17.0,30.0,2405,0.14997505612372164,0.27692307692307694,3,-0.2758198435659904,0.004200868021402068,Months since most recent auto trade opened
au21s__tu_binned,-0.13139170670524017,1.0,16.0,2713,0.16918184085806934,0.3007740508661998,2,-0.2758198435659904,0.03624043998930783,Months since most recent auto trade opened
au21s__tu_binned,-0.16340088598784464,0.0,0.0,4279,0.2668371164879022,0.30754849263846695,1,-0.2758198435659904,0.04506920681171154,Months since most recent auto trade opened
balmag01__tu_binned,0.2744147023447032,0.0,158.0,2114,0.1318283861312048,0.2228003784295175,1,-1.0904194055638614,-0.2992271166086953,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,0.20190968126227551,159.0,222.0,2067,0.12889748066849588,0.235607160135462,2,-1.0904194055638614,-0.2201662346195992,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,0.034547506380607954,223.0,266.0,1831,0.11418059366425543,0.2670671764063353,3,-1.0904194055638614,-0.03767127137125623,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,-0.05700179332425749,267.0,298.0,2043,0.12740084809179347,0.285364659813999,4,-1.0904194055638614,0.062155861592710936,Non-mortgage balance magnitude algorithm over last 24 months
balmag01__tu_binned,-0.10836132732125676,299.0,600.0,7981,0.49769269144425043,0.2959528881092595,5,-1.0904194055638614,0.11815929412375581,Non-mortgage balance magnitude algorithm over last 24 months
bkc321__tu_binned,0.5095772804191256,172.0,45840.0,1402,0.08742828635569967,0.1847360912981455,4,-1.038008276003717,-0.5289454343385193,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,0.24785905376303172,57.0,171.0,853,0.05319281616363183,0.22743259085580306,3,-1.038008276003717,-0.25727974908847717,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,0.1910169277595981,5.0,56.0,1006,0.06273384884010975,0.23757455268389663,2,-1.038008276003717,-0.198277151871267,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
bkc321__tu_binned,-0.07781576117541146,0.0,4.0,12775,0.7966450486405587,0.2896281800391389,1,-1.038008276003717,0.08077340410360583,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
cv15__tu_binned,0.13851710226187144,0.0,1.0,6193,0.3861935644799202,0.24721459712578717,1,-0.5358331629007242,-0.07422205702082164,Number of deduped auto inquiries
cv15__tu_binned,0.00996282176727241,2.0,2.0,4211,0.2625966575205787,0.2719069104725718,2,-0.5358331629007242,-0.005338410298973759,Number of deduped auto inquiries
cv15__tu_binned,-0.11132921006168313,3.0,3.0,2421,0.15097281117485659,0.2965716646014044,3,-0.5358331629007242,0.0596538827505908,Number of deduped auto inquiries
cv15__tu_binned,-0.13796496145613282,4.0,5.0,2085,0.1300199551010227,0.302158273381295,4,-0.5358331629007242,0.07392620166651616,Number of deduped auto inquiries
cv15__tu_binned,-0.2524058742027068,6.0,35.0,1126,0.07021701172362185,0.3268206039076377,5,-0.5358331629007242,0.1352474379087587,Number of deduped auto inquiries
derogseverityindex__ln_binned,0.05133360069850618,0.0,3.0,14390,0.8973559491144923,0.26379430159833217,1,-0.7805022411431302,-0.040065990391130624,Index indicating severity of derogatory records on subject's file
derogseverityindex__ln_binned,-0.408701545589928,4.0,5.0,1646,0.10264405088550761,0.362089914945322,2,-0.7805022411431302,0.3189924722916,Index indicating severity of derogatory records on subject's file
dti__app_binned,0.3212417587589595,1.7025480246692337e-07,0.2950070919798958,1676,0.10451484160638563,0.21479713603818615,1,-0.9695188986387595,-0.3114499561487645,
dti__app_binned,0.11347563433829011,0.2950216183779293,0.32223699556037594,1838,0.11461711149912697,0.25190424374319914,2,-0.9695188986387595,-0.11001677202599362,
dti__app_binned,0.017708947911646955,0.32224627154646607,0.46437981835802433,9705,0.6052007982040409,0.27037609479649666,3,-0.9695188986387595,-0.017169159675351115,
dti__app_binned,-0.031266473963705396,0.46439526889830013,0.5114991140068932,1924,0.1199800448989773,0.2801455301455301,4,-0.9695188986387595,0.030313437401609106,
dti__app_binned,-0.7930953581952899,0.5115531000613873,4.761775923330182,893,0.05568720379146919,0.45464725643896975,5,-0.9695188986387595,0.7689209381930099,
flt_wtd_avg_closed__tu_pmthx_binned,0.2048819738968479,0.8380952380952381,1.0,4773,0.2976428036916937,0.2350722815839095,4,-0.3207834467273093,-0.06572274575892548,
flt_wtd_avg_closed__tu_pmthx_binned,0.07678890694674642,0.5221674876847291,0.8379446640316206,1858,0.11586430531304565,0.2588805166846071,3,-0.3207834467273093,-0.02463261024079994,
flt_wtd_avg_closed__tu_pmthx_binned,-0.07631135169237169,0.2620967741935484,0.521486643437863,1189,0.0741456722374657,0.28931875525651807,2,-0.3207834467273093,0.02447941842029888,
flt_wtd_avg_closed__tu_pmthx_binned,-0.1162060688741533,0.0,0.2619047619047619,8216,0.512347218757795,0.2975900681596884,1,-0.3207834467273093,0.03727698330408199,
g106s__tu_binned,0.5439412375795785,431.0,768.0,991,0.061798453479670744,0.17961654894046417,9,-0.5062875558334865,-0.27539067969120656,Months on file
g106s__tu_binned,0.2998532940968109,394.0,430.0,966,0.06023946121227239,0.21842650103519667,8,-0.5062875558334865,-0.151811991376894,Months on file
g106s__tu_binned,0.23690899515537395,328.0,393.0,2023,0.12615365427787478,0.22936233316856156,7,-0.5062875558334865,-0.11994407611218157,Months on file
g106s__tu_binned,0.17186435768435884,308.0,327.0,867,0.05406585183337491,0.24106113033448673,6,-0.5062875558334865,-0.08701278558690612,Months on file
g106s__tu_binned,0.08462987223520414,287.0,307.0,847,0.052818658019456226,0.25737898465171194,5,-0.5062875558334865,-0.04284705116446175,Months on file
g106s__tu_binned,0.01320667150267779,219.0,286.0,2798,0.17448241456722374,0.271265189421015,4,-0.5062875558334865,-0.006686373435786497,Months on file
g106s__tu_binned,-0.16213624064199209,146.0,218.0,3352,0.20902968321277127,0.30727923627684967,3,-0.5062875558334865,0.08208756098666417,Months on file
g106s__tu_binned,-0.18464429430331142,65.0,145.0,2903,0.18103018209029684,0.31209094040647606,2,-0.5062875558334865,0.09348310846142249,Months on file
g106s__tu_binned,-0.23730311956596908,0.0,64.0,1289,0.08038164130705912,0.3235065942591156,1,-0.5062875558334865,0.1201436163967161,Months on file
g232s__tu_binned,0.33827836503908393,0.0,2.0,1156,0.07208780244449987,0.21193771626297578,1,-0.729875417119737,-0.24690106278548404,Number of inquiries (includes duplicates)
g232s__tu_binned,0.2463404505858416,3.0,3.0,852,0.05313045647293589,0.22769953051643194,2,-0.729875417119737,-0.17979783912480513,Number of inquiries (includes duplicates)
g232s__tu_binned,0.21278691377351927,4.0,4.0,1040,0.06485407832377152,0.23365384615384616,3,-0.729875417119737,-0.1553079374480689,Number of inquiries (includes duplicates)
g232s__tu_binned,0.03387719702583268,5.0,5.0,1003,0.06254676976802195,0.26719840478564305,4,-0.729875417119737,-0.024726133310077142,Number of inquiries (includes duplicates)
g232s__tu_binned,0.023345282027781286,6.0,6.0,1103,0.06878273883761536,0.2692656391659112,5,-0.729875417119737,-0.017039147457804767,Number of inquiries (includes duplicates)
g232s__tu_binned,0.00420195362665024,7.0,12.0,4805,0.2996383137939636,0.27304890738813736,6,-0.729875417119737,-0.0030669026559691356,Number of inquiries (includes duplicates)
g232s__tu_binned,-0.10413280797799475,13.0,32.0,5236,0.3265153404839112,0.2950725744843392,7,-0.729875417119737,0.0760039766587884,Number of inquiries (includes duplicates)
g232s__tu_binned,-0.32260880028975847,33.0,383.0,841,0.05244449987528062,0.34244946492271106,8,-0.729875417119737,0.2354642326779854,Number of inquiries (includes duplicates)
inquirybanking12month__ln_binned,0.12866625461686923,0.0,0.0,8970,0.5593664255425294,0.24905239687848382,1,-0.5613708329910666,-0.07222948253211255,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
inquirybanking12month__ln_binned,-0.15332166166342523,1.0,1.0,7066,0.4406335744574707,0.3054061703934333,2,-0.5613708329910666,0.08607030892357151,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
inquiryshortterm12month__ln_binned,0.06279221987945566,0.0,0.0,12635,0.7879146919431279,0.26157499010684604,1,-0.7215155647365461,-0.045305563987386825,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
inquiryshortterm12month__ln_binned,-0.2194503010437349,1.0,1.0,3401,0.21208530805687204,0.3196118788591591,2,-0.7215155647365461,0.15833680788917542,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
int_n_months_open__tu_pmthx_binned,0.6344315907579531,44.0,82.0,1044,0.06510351708655525,0.16666666666666666,5,-0.5547104382712214,-0.3519258257624523,
int_n_months_open__tu_pmthx_binned,0.32942865736354154,29.0,43.0,1237,0.07713893739087054,0.21341956345998384,4,-0.5547104382712214,-0.18273751490523013,
int_n_months_open__tu_pmthx_binned,0.21050925340158094,20.0,28.0,1098,0.06847094038413569,0.23406193078324225,3,-0.5547104382712214,-0.11677168021453856,
int_n_months_open__tu_pmthx_binned,0.05023559398656291,12.0,19.0,1053,0.06566475430281866,0.26400759734093066,2,-0.5547104382712214,-0.027866208357101442,
int_n_months_open__tu_pmthx_binned,-0.10205122151021344,0.0,11.0,11604,0.7236218508356198,0.2946397793864185,1,-0.5547104382712214,0.056608877810043985,
re01s__tu_binned,0.45714587648695293,9.0,50.0,1603,0.09996258418558245,0.19276356830941985,8,-0.617328663166793,-0.2822092528039025,Number of revolving trades
re01s__tu_binned,0.17611146436989297,6.0,8.0,1544,0.09628336243452232,0.24028497409326424,7,-0.617328663166793,-0.10871865486781233,Number of revolving trades
re01s__tu_binned,0.10955421353631231,5.0,5.0,851,0.05306809678223996,0.2526439482961222,6,-0.617328663166793,-0.06763095618666105,Number of revolving trades
re01s__tu_binned,0.10387230283501227,4.0,4.0,1143,0.07127712646545273,0.2537182852143482,5,-0.617328663166793,-0.0641233498491944,Number of revolving trades
re01s__tu_binned,0.051780232420706916,3.0,3.0,1532,0.09553504614617112,0.26370757180156656,4,-0.617328663166793,-0.031965421658740834,Number of revolving trades
re01s__tu_binned,-0.030358925561189694,2.0,2.0,2136,0.13320029932651534,0.2799625468164794,3,-0.617328663166793,0.018741434931869416,Number of revolving trades
re01s__tu_binned,-0.10629919286526408,1.0,1.0,2971,0.18527064105762037,0.29552339279703804,2,-0.617328663166793,0.06562153862722257,Number of revolving trades
re01s__tu_binned,-0.18326600918062136,0.0,0.0,4256,0.26540284360189575,0.3117951127819549,1,-0.617328663166793,0.1131353604513862,Number of revolving trades
