feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,0.723278552372066,0.1854683065279092,1.006807181889149,821,0.051197306061361934,0.15468940316686966,1,-0.8681743539886968,-0.6279318899594981,
bkc321__tu_binned,0.5095772804191256,172.0,45840.0,1402,0.08742828635569967,0.1847360912981455,4,-1.038008276003717,-0.5289454343385193,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
ENG-vehicle_age_binned,0.7042751641252173,-1.0,0.0,897,0.05593664255425293,0.15719063545150502,1,-0.579989202659624,-0.4084719908939606,
int_n_months_open__tu_pmthx_binned,0.6344315907579531,44.0,82.0,1044,0.06510351708655525,0.16666666666666666,5,-0.5547104382712214,-0.3519258257624523,
at21s__tu_binned,0.2966251311236034,68.0,379.0,959,0.05980294337740085,0.21897810218978103,4,-1.1640223051600875,-0.34527826889891006,Months since most recent trade opened
dti__app_binned,0.3212417587589595,1.7025480246692337e-07,0.2950070919798958,1676,0.10451484160638563,0.21479713603818615,1,-0.9695188986387595,-0.3114499561487645,
balmag01__tu_binned,0.2744147023447032,0.0,158.0,2114,0.1318283861312048,0.2228003784295175,1,-1.0904194055638614,-0.2992271166086953,Non-mortgage balance magnitude algorithm over last 24 months
re01s__tu_binned,0.45714587648695293,9.0,50.0,1603,0.09996258418558245,0.19276356830941985,8,-0.617328663166793,-0.2822092528039025,Number of revolving trades
g106s__tu_binned,0.5439412375795785,431.0,768.0,991,0.061798453479670744,0.17961654894046417,9,-0.5062875558334865,-0.27539067969120656,Months on file
ENG-bk_binned,0.3816806136538046,1.0,1.0,3013,0.18788974806684958,0.20477928974444076,2,-0.7140723869008273,-0.27254758682554475,
g232s__tu_binned,0.33827836503908393,0.0,2.0,1156,0.07208780244449987,0.21193771626297578,1,-0.729875417119737,-0.24690106278548404,Number of inquiries (includes duplicates)
au21s__tu_binned,0.47463914702402654,81.0,285.0,1247,0.07776253429782988,0.19005613472333602,6,-0.2758198435659904,-0.1309148952824621,Months since most recent auto trade opened
cv15__tu_binned,0.13851710226187144,0.0,1.0,6193,0.3861935644799202,0.24721459712578717,1,-0.5358331629007242,-0.07422205702082164,Number of deduped auto inquiries
inquirybanking12month__ln_binned,0.12866625461686923,0.0,0.0,8970,0.5593664255425294,0.24905239687848382,1,-0.5613708329910666,-0.07222948253211255,Indicates subject has one or more LexisNexis banking credit inquiries on file in the last 12 months
flt_wtd_avg_closed__tu_pmthx_binned,0.2048819738968479,0.8380952380952381,1.0,4773,0.2976428036916937,0.2350722815839095,4,-0.3207834467273093,-0.06572274575892548,
ENG-franchise_binned,0.10046691949663046,1.0,1.0,10599,0.660950361686206,0.25436361920935935,2,-0.648366568343826,-0.06513939182610572,
inquiryshortterm12month__ln_binned,0.06279221987945566,0.0,0.0,12635,0.7879146919431279,0.26157499010684604,1,-0.7215155647365461,-0.045305563987386825,Indicates subject has one or more LexisNexis personal finance credit inquiries on file in the last 12 months (multiple personal finance inquiries within a 24-hour period are counted as one inquiry)
addrinputtimenewest__ln_binned,0.08018314210837049,1.0,3.0,11513,0.7179471189822898,0.2582298271519152,1,-0.5591422679639004,-0.044833783930946,Time on file (in months) since the subject was most recently reported at the input address
derogseverityindex__ln_binned,0.05133360069850618,0.0,3.0,14390,0.8973559491144923,0.26379430159833217,1,-0.7805022411431302,-0.040065990391130624,Index indicating severity of derogatory records on subject's file
