feature,score,target,diff
dti__app_binned,0.6512673979703894,0.6617724780197468,-0.010505080049357463
ENG-loan_to_value_binned,0.654791721808929,0.6617724780197468,-0.00698075621081784
bkc321__tu_binned,0.6563888920175279,0.6617724780197468,-0.0053835860022188875
balmag01__tu_binned,0.6573062969647822,0.6617724780197468,-0.0044661810549646574
derogseverityindex__ln_binned,0.6587454611269733,0.6617724780197468,-0.0030270168927735153
g106s__tu_binned,0.659082132014174,0.6617724780197468,-0.00269034600557283
int_n_months_open__tu_pmthx_binned,0.6591105341900798,0.6617724780197468,-0.0026619438296670017
re01s__tu_binned,0.6596506839361282,0.6617724780197468,-0.0021217940836185667
ENG-bk_binned,0.659665378762423,0.6617724780197468,-0.0021070992573237746
at21s__tu_binned,0.6596683509694713,0.6617724780197468,-0.002104127050275517
inquiryshortterm12month__ln_binned,0.6598674301797278,0.6617724780197468,-0.0019050478400189919
inquirybanking12month__ln_binned,0.6600450977668401,0.6617724780197468,-0.0017273802529067517
ENG-franchise_binned,0.6600549432026876,0.6617724780197468,-0.0017175348170591631
ENG-vehicle_age_binned,0.6604392182876457,0.6617724780197468,-0.0013332597321010775
g232s__tu_binned,0.6606071773168667,0.6617724780197468,-0.0011653007028801232
addrinputtimenewest__ln_binned,0.6607614192194796,0.6617724780197468,-0.001011058800267195
cv15__tu_binned,0.6608831330535079,0.6617724780197468,-0.0008893449662389363
flt_wtd_avg_closed__tu_pmthx_binned,0.6611963587022154,0.6617724780197468,-0.0005761193175314316
au21s__tu_binned,0.6614318963337982,0.6617724780197468,-0.0003405816859486377
