feature,importance,importance_abs,description
bkc321__tu_binned,-0.010694626826972845,0.010694626826972845,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
dti__app_binned,0.01057670767228977,0.01057670767228977,
re01s__tu_binned,-0.01032369526944467,0.01032369526944467,Number of revolving trades
miles_odometer__app_binned,0.007976613328111202,0.007976613328111202,
g106s__tu_binned,-0.0066939068793741415,0.0066939068793741415,Months on file
int_n_months_open__tu_pmthx_binned,-0.0059312708758774155,0.0059312708758774155,
at21s__tu_binned,0.0037264208078412364,0.0037264208078412364,Months since most recent trade opened
cv15__tu_binned,-0.0030789871228822092,0.0030789871228822092,Number of deduped auto inquiries
ENG-vehicle_age_binned,0.0023978642047596407,0.0023978642047596407,
flt_wtd_avg_closed__tu_pmthx_binned,-0.002329164903793046,0.002329164903793046,
g232s__tu_binned,-0.0021651963390315714,0.0021651963390315714,Number of inquiries (includes duplicates)
balmag01__tu_binned,-0.001972142015312069,0.001972142015312069,Non-mortgage balance magnitude algorithm over last 24 months
au21s__tu_binned,-0.001150848290990961,0.001150848290990961,Months since most recent auto trade opened
linka029__tu_binned,-0.0009641547053262761,0.0009641547053262761,Number of checking account inquiries in the last 3 years
ENG-loan_to_value_binned,0.000711761377718601,0.000711761377718601,
linka017__tu_binned,0.000396655440874692,0.000396655440874692,Number of checking account closures for cause in the last 5 years
au27s__tu_binned,-0.00037809331108148764,0.00037809331108148764,Number of currently open and satisfactory auto trades 24 months or older
