feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,0.723278552372066,0.1854683065279092,1.006807181889149,821,0.051197306061361934,0.15468940316686966,1,-0.8756896153355813,-0.6333675173071706,
ENG-loan_to_value_binned,0.23958407331419102,1.006825938566553,1.1416216216216217,2333,0.14548515839361437,0.22888984140591512,2,-0.8756896153355813,-0.20980128500103565,
ENG-loan_to_value_binned,0.039839389585957945,1.1416269841269842,1.2470198675496689,3680,0.22948366176103766,0.26603260869565215,3,-0.8756896153355813,-0.034886939741731876,
ENG-loan_to_value_binned,-0.04357652858630795,1.2470472440944882,1.2633315378400216,835,0.052070341731105016,0.28263473053892213,4,-0.8756896153355813,0.03815951355540397,
ENG-loan_to_value_binned,-0.06642832989120286,1.263348623853211,1.433861459100958,5799,0.36162384634572214,0.2872909122262459,5,-0.8756896153355813,0.05817059864981253,
ENG-loan_to_value_binned,-0.27132656861630894,1.4339508047373215,1.672390004599111,2568,0.1601396857071589,0.3309968847352025,6,-0.8756896153355813,0.2375978585019388,
ENG-vehicle_age_binned,0.7042751641252173,-1.0,0.0,897,0.05593664255425293,0.15719063545150502,1,-0.18850639235055214,-0.1327603704113377,
ENG-vehicle_age_binned,0.09676311146878531,1.0,2.0,2023,0.12615365427787478,0.2550667325753831,2,-0.18850639235055214,-0.018240465055595057,
ENG-vehicle_age_binned,0.02768268084164621,3.0,3.0,2634,0.16425542529309053,0.26841305998481396,3,-0.18850639235055214,-0.005218362296050473,
ENG-vehicle_age_binned,-0.05863816345376738,4.0,7.0,9041,0.5637939635819407,0.28569848468089815,4,-0.18850639235055214,0.011053668646731681,
ENG-vehicle_age_binned,-0.16933334625778929,8.0,11.0,1441,0.08986031429284111,0.30881332408049966,5,-0.18850639235055214,0.03192041820770273,
at21s__tu_binned,0.2966251311236034,68.0,379.0,959,0.05980294337740085,0.21897810218978103,4,-1.2413504340718626,-0.36821573527690826,Months since most recent trade opened
at21s__tu_binned,0.13200937778834199,34.0,67.0,2226,0.13881267148914941,0.24842767295597484,3,-1.2413504340718626,-0.1638698984191148,Months since most recent trade opened
at21s__tu_binned,0.05373628703147618,25.0,33.0,1238,0.07720129708156648,0.2633279483037157,2,-1.2413504340718626,-0.06670556323193316,Months since most recent trade opened
at21s__tu_binned,-0.05237785921744306,0.0,24.0,11613,0.7241830880518833,0.28442262981141825,1,-1.2413504340718626,0.06501927827532786,Months since most recent trade opened
au21s__tu_binned,0.47463914702402654,81.0,285.0,1247,0.07776253429782988,0.19005613472333602,6,-0.28690796821352527,-0.13617775330726414,Months since most recent auto trade opened
