feature,bin,min,max,count,prop,target,bin_label,coef,contribution,description
ENG-loan_to_value_binned,0.723278552372066,0.1854683065279092,1.006807181889149,821,0.051197306061361934,0.15468940316686966,1,-0.8756896153355813,-0.6333675173071706,
bkc321__tu_binned,0.5095772804191256,172.0,45840.0,1402,0.08742828635569967,0.1847360912981455,4,-0.9347074965578549,-0.47630570408332096,Min Total Open-to-Buy for Bankcard accounts over the past 3 months
at21s__tu_binned,0.2966251311236034,68.0,379.0,959,0.05980294337740085,0.21897810218978103,4,-1.2413504340718626,-0.36821573527690826,Months since most recent trade opened
int_n_months_open__tu_pmthx_binned,0.6344315907579531,44.0,82.0,1044,0.06510351708655525,0.16666666666666666,5,-0.5409476010732043,-0.3431942470655716,
g232s__tu_binned,0.33827836503908393,0.0,2.0,1156,0.07208780244449987,0.21193771626297578,1,-1.007063871828956,-0.3406679200522288,Number of inquiries (includes duplicates)
re01s__tu_binned,0.45714587648695293,9.0,50.0,1603,0.09996258418558245,0.19276356830941985,8,-0.7261532114736777,-0.3319579463229501,Number of revolving trades
dti__app_binned,0.3212417587589595,1.7025480246692337e-07,0.2950070919798958,1676,0.10451484160638563,0.21479713603818615,1,-0.9902337740205827,-0.318104439148894,
miles_odometer__app_binned,0.6034296424186735,1.0,12676.0,1111,0.06928161636318284,0.171017101710171,1,-0.525030197355164,-0.31681878424903215,
g106s__tu_binned,0.5439412375795785,431.0,768.0,991,0.061798453479670744,0.17961654894046417,9,-0.5785890677013582,-0.31471845353549127,Months on file
balmag01__tu_binned,0.2744147023447032,0.0,158.0,2114,0.1318283861312048,0.2228003784295175,1,-1.0034768519046893,-0.27536880162522515,Non-mortgage balance magnitude algorithm over last 24 months
au21s__tu_binned,0.47463914702402654,81.0,285.0,1247,0.07776253429782988,0.19005613472333602,6,-0.28690796821352527,-0.13617775330726414,Months since most recent auto trade opened
ENG-vehicle_age_binned,0.7042751641252173,-1.0,0.0,897,0.05593664255425293,0.15719063545150502,1,-0.18850639235055214,-0.1327603704113377,
flt_wtd_avg_closed__tu_pmthx_binned,0.2048819738968479,0.8380952380952381,1.0,4773,0.2976428036916937,0.2350722815839095,4,-0.4043448859353343,-0.0828429783655271,
cv15__tu_binned,0.13851710226187144,0.0,1.0,6193,0.3861935644799202,0.24721459712578717,1,-0.4429027273586029,-0.06134960237759337,Number of deduped auto inquiries
linka017__tu_binned,0.0761510844460026,0.0,0.0,9969,0.6216637565477675,0.25900290901795564,1,-0.8030237671246101,-0.061151130702453316,Number of checking account closures for cause in the last 5 years
linka029__tu_binned,0.09433374195981482,0.0,0.0,7009,0.43707907208780244,0.25552860607789984,1,-0.47807086094177226,-0.04509821323458766,Number of checking account inquiries in the last 3 years
au27s__tu_binned,0.3999809685290518,1.0,3.0,1873,0.11679970067348466,0.201815269620929,2,-0.09731194312128379,-0.03892292525909509,Number of currently open and satisfactory auto trades 24 months or older
flt_mean_months_to_first_bad__tu_pmthx_binned,-0.16042299991405198,0.0,0.0,4946,0.3084310301820903,0.3069146785281035,1,,,
