feature,score,target,diff
dti__app_binned,0.6410189347578652,0.6526323058413567,-0.011613371083491475
ENG-loan_to_value_binned,0.6449760373628327,0.6526323058413567,-0.007656268478523964
bkc321__tu_binned,0.6469972457026579,0.6526323058413567,-0.005635060138698744
g106s__tu_binned,0.6487120331835966,0.6526323058413567,-0.003920272657760071
balmag01__tu_binned,0.6489946079471185,0.6526323058413567,-0.003637697894238179
re01s__tu_binned,0.6496743341004756,0.6526323058413567,-0.0029579717408810824
g232s__tu_binned,0.6497270809985866,0.6526323058413567,-0.0029052248427701155
at21s__tu_binned,0.6498452848907386,0.6526323058413567,-0.002787020950618113
int_n_months_open__tu_pmthx_binned,0.650640946672974,0.6526323058413567,-0.001991359168382667
linka017__tu_binned,0.6511796885314731,0.6526323058413567,-0.0014526173098835526
miles_odometer__app_binned,0.6514677579672356,0.6526323058413567,-0.0011645478741211246
cv15__tu_binned,0.6518296046213753,0.6526323058413567,-0.0008027012199813832
flt_wtd_avg_closed__tu_pmthx_binned,0.6519029712058838,0.6526323058413567,-0.0007293346354728669
linka029__tu_binned,0.652255343950057,0.6526323058413567,-0.0003769618912996542
au27s__tu_binned,0.6525132806814675,0.6526323058413567,-0.0001190251598891523
au21s__tu_binned,0.6525156173837194,0.6526323058413567,-0.00011668845763723734
ENG-vehicle_age_binned,0.6526297247141832,0.6526323058413567,-2.5811271734399455e-06
